Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m (binary),MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
01/01/2014,3274,4642,1300,2324,5692,6398,5600,1073741824,4241,571,-5336,136,3,01/03/2014,0.3274,0.4642,0.13,0.2324,0.5692,0.6398,0.56,0.17281455280444669,0.13938702314965765,-0.15905797101449276,-0.09353641866822886,-0.46709470304975925,-0.10160634797754983,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.17281455280444669,0.13938702314965765,-0.15905797101449276,-0.09353641866822886,-0.46709470304975925,-0.10160634797754983
01/09/2014,3070,4328,1242,2167,5808,5990,5541,1073741824,4129,893,12796,136,10,01/10/2014,0.307,0.4328,0.1242,0.2167,0.5808,0.599,0.5541,0.17004595836712624,0.1342124354542739,-0.16107772824190736,-0.12291012260614044,-0.46867720975848964,-0.14601420678768745,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.17004595836712624,0.1342124354542739,-0.16107772824190736,-0.12291012260614044,-0.46867720975848964,-0.14601420678768745
01/17/2014,3429,4813,1325,2415,6270,6476,5928,1073741824,4120,607,-4923,136,19,01/19/2014,0.3429,0.4813,0.1325,0.2415,0.627,0.6476,0.5928,0.16792040766804173,0.13595551975480855,-0.14731154220923023,-0.10380783912112466,-0.4567540209200315,-0.13146260037895877,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.16792040766804173,0.13595551975480855,-0.14731154220923023,-0.10380783912112466,-0.4567540209200315,-0.13146260037895877
01/25/2014,3104,4399,1351,2293,5511,6038,5223,1073741824,4078,2049,-4332,200,28,01/28/2014,0.3104,0.4399,0.1351,0.2293,0.5511,0.6038,0.5223,0.17259762761562042,0.14143421943601056,-0.15703746287247294,-0.0856370816877988,-0.449525867242828,-0.11220988900100907,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.17259762761562042,0.14143421943601056,-0.15703746287247294,-0.0856370816877988,-0.449525867242828,-0.11220988900100907
02/02/2014,3295,4612,1304,2327,6085,6267,5926,1073741824,3848,636,-3678,136,35,02/04/2014,0.3295,0.4612,0.1304,0.2327,0.6085,0.6267,0.5926,0.16656127481977995,0.1338305828794407,-0.1521279529368508,-0.12469159233251091,-0.458459390272283,-0.13770215948396747,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.16656127481977995,0.1338305828794407,-0.1521279529368508,-0.12469159233251091,-0.458459390272283,-0.13770215948396747
02/10/2014,3300,4588,1265,2309,6086,6240,5916,1073741824,3588,874,13883,200,42,02/11/2014,0.33,0.4588,0.1265,0.2309,0.6086,0.624,0.5916,0.16328600405679514,0.12931467239613662,-0.15256741780568894,-0.12642802741812642,-0.45981986197216046,-0.14034101555180814,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.16328600405679514,0.12931467239613662,-0.15256741780568894,-0.12642802741812642,-0.45981986197216046,-0.14034101555180814
02/18/2014,3747,5078,1440,2659,6494,6737,6420,1073741824,3454,571,-3842,200,51,02/20/2014,0.3747,0.5078,0.144,0.2659,0.6494,0.6737,0.642,0.15082152974504248,0.12434603886397608,-0.1404147270418959,-0.11671595060010437,-0.4340144742443593,-0.1223643276875216,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.15082152974504248,0.12434603886397608,-0.1404147270418959,-0.11671595060010437,-0.4340144742443593,-0.1223643276875216
02/26/2014,3020,4232,1256,2169,5292,5940,5329,1073741824,3147,911,14311,200,58,02/27/2014,0.302,0.4232,0.1256,0.2169,0.5292,0.594,0.5329,0.16712630998345285,0.13212977498691783,-0.16791191506095163,-0.11473695220165255,-0.46503884572697,-0.11129777404451911,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.16712630998345285,0.13212977498691783,-0.16791191506095163,-0.11473695220165255,-0.46503884572697,-0.11129777404451911
03/06/2014,3502,4808,1455,2539,5820,6712,6069,1073741824,3001,607,-2464,200,67,03/08/2014,0.3502,0.4808,0.1455,0.2539,0.582,0.6712,0.6069,0.15716004813477738,0.13108501455384924,-0.16527777777777777,-0.11593270203181025,-0.4510863690411847,-0.0952201731275875,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.15716004813477738,0.13108501455384924,-0.16527777777777777,-0.11593270203181025,-0.4510863690411847,-0.0952201731275875
03/14/2014,3639,4932,1518,2657,5870,6735,6020,1073741824,2679,821,15202,200,74,03/15/2014,0.3639,0.4932,0.1518,0.2657,0.587,0.6735,0.602,0.15085754287714387,0.12735904810685159,-0.1545384417588069,-0.09934258582907232,-0.4341993185689949,-0.08683577115349009,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.15085754287714387,0.12735904810685159,-0.1545384417588069,-0.09934258582907232,-0.4341993185689949,-0.08683577115349009
