site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,28.8402,115.8013,28,6,343,277
2,28.8405,115.8013,28,6,343,277
3,28.8408,115.8012,28,6,343,277
4,43.135113,70.936508,23,4,422,1647
id,Date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,sur_refl_raz,sur_refl_qc_500m,sur_refl_day_of_year,sur_refl_vzen,sur_refl_state_500m,sur_refl_szen,real_date
1,2007/01/01,973,1459,501,873,1651,1466,828,-5578,1073741824,7,1905,72,5541,2007/01/07
1,2007/01/09,1020,2053,495,911,2269,2095,1334,-5431,1073741824,9,3991,200,5644,2007/01/09
1,2007/01/17,1204,1987,687,1058,2594,1642,1051,11860,1075576832,24,5412,1033,4965,2007/01/24
1,2007/01/25,949,1590,465,828,1678,1594,964,12297,1073741824,28,1972,136,5056,2007/01/28
1,2007/02/02,902,2257,471,807,2668,2165,1326,-4927,1073741824,34,4763,200,5308,2007/02/03
1,2007/02/10,821,1450,440,756,1470,1279,708,12351,1073741824,42,4023,200,4575,2007/02/11
1,2007/02/18,2008,2476,1929,2067,2490,2121,1531,12341,1073741824,49,4786,1032,4300,2007/02/18
1,2007/02/26,603,1902,337,641,2012,1416,673,-4145,1073741824,62,592,200,4149,2007/03/03
1,2007/03/06,653,1924,146,669,2241,1755,963,-3890,1073741824,68,5949,8206,4458,2007/03/09
1,2007/03/14,743,1359,375,760,1509,1271,771,-3979,1073741824,80,3009,200,3656,2007/03/21
1,2007/03/22,600,1480,317,625,1476,1005,517,12669,1075576832,88,5412,200,2760,2007/03/29
1,2007/03/30,720,1887,420,821,2060,1545,879,-3626,1073741824,89,3980,200,3431,2007/03/30
1,2007/04/07,711,1820,335,713,2039,1583,996,13888,1073741824,101,702,200,2644,2007/04/11
1,2007/04/15,850,1927,444,876,1859,1414,829,13614,1073741824,106,4003,200,2226,2007/04/16
1,2007/04/23,677,1854,338,714,1910,1202,612,14308,1073741824,115,3059,200,2026,2007/04/25
1,2007/05/01,680,1467,348,728,1505,1115,629,-2127,1073741824,126,662,200,2064,2007/05/06
1,2007/05/09,676,1225,363,747,1299,1002,665,15203,1073741824,131,3031,200,1644,2007/05/11
1,2007/05/17,614,2518,382,806,2522,1652,827,-1038,1073741824,139,5449,200,2497,2007/05/19
1,2007/05/25,3416,3981,3557,3556,3799,3329,2494,16178,1073741824,147,3013,1033,1437,2007/05/27
1,2007/06/02,506,2108,416,715,2028,1264,640,15531,1073741824,159,5909,200,924,2007/06/08
1,2007/06/10,1063,1765,1175,1275,1837,1246,603,-332,1073741824,167,1932,8200,1912,2007/06/16
1,2007/06/18,1543,2645,1890,1823,2320,1522,743,16112,1073741824,175,5920,205,943,2007/06/24
1,2007/06/26,2108,3098,2275,2314,3077,2409,1607,17211,1073741824,179,3059,1033,1449,2007/06/28
1,2007/07/04,1824,2546,1202,1810,2730,2298,1817,17190,1073741824,188,1963,138,1638,2007/07/07
1,2007/07/12,572,2951,277,746,2671,1881,905,-858,1073741824,199,1876,200,2116,2007/07/18
1,2007/07/20,421,826,284,591,1003,604,188,16191,1073741824,202,4023,136,1530,2007/07/21
1,2007/07/28,357,933,222,598,874,464,206,16069,1073741824,213,747,200,2021,2007/08/01
1,2007/08/05,479,1369,241,608,1638,1057,482,-1600,1073741824,222,574,72,2267,2007/08/10
1,2007/08/13,553,2599,408,722,2267,1328,516,14383,1073741824,225,4807,204,1806,2007/08/13
1,2007/08/21,1314,2067,1323,1494,2044,1589,1106,-2630,1073741824,238,556,8204,2560,2007/08/26
1,2007/08/29,314,3012,140,541,2854,1755,641,-2831,1073741824,242,4733,202,3062,2007/08/30
1,2007/09/06,414,3094,227,637,2851,1790,789,-3909,1073741824,256,2972,200,3175,2007/09/13
1,2007/09/14,471,2044,300,677,2006,1256,565,-4446,1073741824,263,1831,200,3281,2007/09/20
1,2007/09/22,540,2788,215,722,2629,1703,768,-4417,1073741824,270,548,204,3417,2007/09/27
1,2007/09/30,635,1759,321,742,1781,1283,720,-5328,1073741824,279,1831,8204,3767,2007/10/06
1,2007/10/08,637,2391,311,646,2521,1774,961,12083,1073741824,284,2017,136,3764,2007/10/11
1,2007/10/16,799,2089,402,769,2305,1822,1106,11897,1073741824,293,719,200,4113,2007/10/20
1,2007/10/24,804,1519,421,780,1731,1321,833,11727,1073741824,300,1944,200,4300,2007/10/27
1,2007/11/01,1086,2286,502,916,2734,2355,1577,-5990,1073741824,311,1959,136,4766,2007/11/07
1,2007/11/09,813,1815,427,734,2180,1746,1061,11391,1073741824,316,1890,200,4779,2007/11/12
1,2007/11/17,834,1540,420,745,1997,1566,930,11201,1075576832,325,649,72,5042,2007/11/21
1,2007/11/25,1047,1570,533,902,1893,1698,1255,11546,1073741824,332,1917,136,5154,2007/11/28
1,2007/12/03,1205,1974,626,1017,2389,2155,1597,11502,1073741824,341,665,200,5340,2007/12/07
1,2007/12/11,942,1822,496,825,1987,1780,1093,11721,1073741824,348,1935,200,5382,2007/12/14
1,2007/12/19,949,2027,448,788,2292,1901,1256,11422,1073741824,353,4767,204,5317,2007/12/19
1,2007/12/27,925,1714,468,807,2109,1811,1201,-6085,1073741824,1,635,136,5520,2007/01/01id,Date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,sur_refl_raz,sur_refl_qc_500m,sur_refl_day_of_year,sur_refl_vzen,sur_refl_state_500m,sur_refl_szen,real_date
1,2008/01/01,925,1714,468,807,2109,1811,1201,-6085,1073741824,1,635,136,5520,2008/01/01
1,2008/01/09,4938,5145,4830,4956,5609,5210,4428,-5645,1073741824,10,1913,1033,5517,2008/01/10
1,2008/01/17,6401,6445,6439,6502,6469,4810,2907,12360,1073741824,24,683,1033,5201,2008/01/24
1,2008/01/25,5885,6181,5854,5948,6140,5537,4538,12345,1073741824,31,1944,1033,4992,2008/01/31
1,2008/02/02,864,1520,428,729,1807,1462,1022,12508,1073741824,40,684,136,4812,2008/02/09
1,2008/02/10,828,1623,429,705,1809,1705,1150,12633,1073741824,47,1935,136,4539,2008/02/16
1,2008/02/18,887,2223,523,829,2403,2146,1292,-4699,1073741824,51,3055,200,4688,2008/02/20
1,2008/02/26,957,1742,471,802,2149,1943,1372,13066,1073741824,63,1899,72,3986,2008/03/03
1,2008/03/05,751,1604,410,695,1877,1563,1002,12966,1073741824,70,3003,200,3657,2008/03/10
1,2008/03/13,1651,2227,1598,1714,2443,1920,1193,-4139,1073741824,74,1987,1802,3806,2008/03/14
1,2008/03/21,841,1551,427,807,1668,1361,727,-3867,1073741824,83,3130,136,3567,2008/03/23
1,2008/03/29,1915,2898,1994,2098,2887,2416,1425,-3190,1073741824,94,5471,8206,3487,2008/04/03
1,2008/04/06,661,2697,341,843,2586,1811,881,-2991,1073741824,101,4823,200,3157,2008/04/10
1,2008/04/14,502,1309,302,558,1430,871,411,13695,1073741824,109,3956,200,2137,2008/04/18
1,2008/04/22,693,1609,350,735,1714,1368,795,-2647,1073741824,115,3074,136,2540,2008/04/24
1,2008/04/30,711,2114,368,781,2290,1662,918,-2298,1073741824,122,1932,200,2261,2008/05/01
