UniqueID	Latitude	Longitude
FC-049	40.54210000	-105.10675000
FC-050	40.52935000	-105.05065000
FC-052	40.56160000	-105.08685000
FC-053	40.49800000	-105.01140000
FC-054	40.50050000	-105.06360000
FC-057	40.48425000	-105.10500000
FC-058	40.54875000	-105.12565000
FC-059	40.54200000	-105.04810000
FC-060	40.57775000	-105.12025000
FC-061	40.56925000	-105.09210000
FC-062	40.54235000	-105.08765000
FC-063	40.56525000	-105.10485000
FC-064	40.49840000	-105.02990000
FC-066	40.55865000	-105.02265000
FC-067	40.57900000	-105.05560000
FC-068	40.51635000	-105.08560000
FC-069	40.61440000	-105.05365000
FC-071	40.52750000	-105.10790000
FC-072	40.56935000	-105.07165000
FC-073	40.58640000	-105.08890000
FC-074	40.51425000	-105.00315000
