1,48.883881,87.183541,23,4,879,133
2,44.5102,81.095575,23,4,939,658
3,43.986465,84.867825,24,4,127,721
4,44.027738,84.865906,24,4,122,716
5,44.656613,85.592055,24,4,106,641
6,44.536711,86.746385,24,4,219,655
7,39.050914,82.636719,24,5,500,113
8,40.15132,81.252441,24,4,252,1181
9,45.05919,84.91028,23,4,1197,592
10,44.62425,88.08103,24,4,322,645
11,44.40475,88.78764,24,4,411,671
12,45.20689,87.82028,24,4,224,575
13,44.95777,86.76782,24,4,167,605
14,44.43253,88.28219,24,4,364,668
15,44.57211,88.20683,24,4,340,651
16,45.29942,87.19083,24,4,159,564
17,45.39806,86.30056,24,4,71,552
18,45.5325,85.22444,23,4,1164,536

No data
No dataid,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
1,2002/07/04,14683,0,126,42,13978,0,30,114,247,248,12,12,N\A
1,2002/07/12,14813,0,127,51,14237,0,21,57,246,247,239,232,N\A
1,2002/07/20,14581,65,132,83,14121,65,17,61,247,248,225,161,N\A
1,2002/07/28,14527,65,136,113,0,2,255,255,247,248,2,0,N\A
1,2002/08/05,14955,0,126,45,14256,0,20,47,246,248,31,15,N\A
1,2002/08/13,14741,0,129,68,14017,0,22,59,247,248,226,112,N\A
1,2002/08/21,14450,0,129,60,13944,65,21,53,247,248,66,110,N\A
1,2002/08/29,14417,0,127,49,13816,65,19,38,246,247,62,122,N\A
1,2002/09/06,14309,65,125,38,13740,65,21,53,247,248,127,60,N\A
1,2002/09/14,14413,0,128,59,13669,65,22,65,247,248,236,254,N\A
1,2002/09/22,14393,0,127,51,13697,65,15,37,246,248,247,186,N\A
1,2002/09/30,14165,0,129,68,13629,65,21,61,246,247,173,141,N\A
1,2002/10/08,13589,65,124,30,13344,65,24,71,248,248,193,132,N\A
1,2002/10/16,13647,65,125,33,13260,65,20,54,249,249,215,255,N\A
1,2002/10/24,13818,65,124,33,13370,65,16,53,249,248,253,255,N\A
1,2002/11/01,13719,65,124,26,13271,65,19,46,248,248,87,123,N\A
1,2002/11/09,13433,65,125,35,13073,0,19,41,249,248,60,254,N\A
1,2002/11/17,13211,65,119,2,12917,65,21,56,248,248,2,65,N\A
1,2002/11/25,12915,65,119,3,12666,65,27,97,249,248,5,6,N\A
1,2002/12/03,12706,65,128,62,12510,65,22,66,247,248,42,100,N\A
1,2002/12/11,12551,65,130,75,0,2,255,255,246,248,64,0,N\A
1,2002/12/19,12371,65,129,67,12161,0,19,47,251,250,250,223,N\A
1,2002/12/27,12415,65,120,5,12188,65,15,16,252,250,1,1,N\A
1,2003/01/01,12702,65,131,80,12496,0,20,53,248,248,69,63,N\A
1,2003/01/09,13082,65,134,101,12649,0,20,54,250,249,9,171,N\A
