site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,29.1382,115.9708,28,6,153,102
2,29.1363,115.9707,28,6,154,103
3,29.1363,115.9705,28,6,154,103
4,29.0387,116.1672,28,6,186,114
5,29.0387,116.1665,28,6,186,114
6,29.0388,116.1655,28,6,185,114
7,29.0563,116.1938,28,6,186,112
8,29.056,116.1928,28,6,186,112
9,29.0387,116.1645,28,6,185,114
10,29.0372,116.1603,28,6,185,115
11,29.0385,116.1663,28,6,186,114
12,29.0348,116.1678,28,6,186,115
13,29.0348,116.1678,28,6,186,115
14,29.0348,116.1678,28,6,186,115
15,29.0552,116.1952,28,6,187,112
16,29.071,116.1947,28,6,185,110
17,29.0708,116.1947,28,6,185,111
18,29.0348,116.1678,28,6,186,115
19,29.0348,116.1678,28,6,186,115
20,29.0517,116.1643,28,6,184,113
21,29.0348,116.1678,28,6,186,115
22,29.0348,116.1678,28,6,186,115
23,29.0362,116.1663,28,6,186,115
24,29.0705,116.1952,28,6,185,111
25,29.0332,116.167,28,6,186,115
26,29.0337,116.1678,28,6,186,115
27,29.0347,116.1675,28,6,186,115
28,29.0357,116.1677,28,6,186,115
29,29.0358,116.1675,28,6,186,115
30,29.0355,116.1677,28,6,186,115
31,29.036,116.1667,28,6,186,115
32,29.0362,116.1665,28,6,186,115
33,29.0468,116.2013,28,6,188,113
34,29.0708,116.1945,28,6,185,111
35,29.071,116.1945,28,6,185,110
36,29.0357,116.1678,28,6,186,115
37,29.0357,116.1677,28,6,186,115
38,29.035,116.164,28,6,186,115
39,29.039,116.1652,28,6,185,114
40,29.0392,116.165,28,6,185,114
41,29.0363,116.167,28,6,186,115
42,29.0953,116.1983,28,6,182,108
43,29.099,116.2022,28,6,182,107
44,29.0352,116.168,28,6,186,115
45,29.0365,116.1663,28,6,186,115
46,29.0338,116.1655,28,6,186,115
47,29.0375,116.1625,28,6,185,114
48,29.0357,116.1677,28,6,186,115
49,29.0367,116.165,28,6,186,115
50,29.0363,116.165,28,6,186,115
51,29.0347,116.1667,28,6,186,115
52,29.0348,116.1668,28,6,186,115
53,29.037,116.1697,28,6,186,115
54,29.0377,116.1707,28,6,186,114
55,29.038,116.1702,28,6,186,114
56,29.0342,116.1668,28,6,186,115
57,29.0332,116.1707,28,6,187,115
58,29.0332,116.168,28,6,186,115
59,29.0332,116.1677,28,6,186,115
60,29.0385,116.1635,28,6,185,114
61,29.0385,116.1635,28,6,185,114
62,29.033,116.1707,28,6,187,115
63,29.033,116.1707,28,6,187,115
64,29.033,116.1708,28,6,187,115
65,29.0332,116.1708,28,6,187,115
66,29.0318,116.1612,28,6,186,115
67,29.0317,116.1627,28,6,186,115
68,29.0345,116.1673,28,6,186,115
69,29.0467,116.1948,28,6,188,113
70,29.0333,116.1672,28,6,186,115
71,29.037,116.1723,28,6,186,115
72,29.0328,116.1652,28,6,186,115
73,29.0328,116.165,28,6,186,115
74,29.0328,116.1652,28,6,186,115
75,29.0357,116.1677,28,6,186,115
76,29.0917,116.2122,28,6,184,108
77,29.0915,116.212,28,6,184,108
78,29.034,116.167,28,6,186,115
79,29.0338,116.1672,28,6,186,115
80,29.0338,116.1673,28,6,186,115
81,29.0337,116.1673,28,6,186,115
82,29.0328,116.168,28,6,186,115
83,29.0328,116.168,28,6,186,115
84,29.0328,116.1682,28,6,186,115
85,29.0343,116.1687,28,6,186,115
86,29.0263,116.1628,28,6,187,116
87,29.0263,116.1627,28,6,187,116
88,29.0272,116.1628,28,6,187,116
89,29.0327,116.1682,28,6,187,115
90,29.0325,116.1682,28,6,187,115
91,29.0292,116.1657,28,6,187,115
92,29.028,116.1663,28,6,187,116
93,29.0242,116.1685,28,6,188,116
94,29.0,116.1473,28,6,188,119
95,28.9998,116.1478,28,6,188,119
96,28.9997,116.1473,28,6,188,119
97,28.9887,116.1988,28,6,195,120
98,28.9957,116.2022,28,6,194,120
99,28.9957,116.2023,28,6,194,120
100,28.993,116.1977,28,6,194,120
101,28.993,116.1977,28,6,194,120
102,28.993,116.1977,28,6,194,120
103,28.9973,116.2043,28,6,194,119
104,28.9975,116.2042,28,6,194,119
105,28.9977,116.204,28,6,194,119
106,28.9977,116.204,28,6,194,119
107,28.9975,116.2043,28,6,194,119
108,28.9608,116.1963,28,6,198,124
109,28.9612,116.1963,28,6,198,124
110,28.961,116.1962,28,6,198,124
111,28.9703,116.236,28,6,201,123
112,28.9703,116.2358,28,6,201,123
113,28.9705,116.2358,28,6,201,123
114,28.963,116.1955,28,6,198,123
115,28.9627,116.1957,28,6,198,123
116,28.9628,116.1955,28,6,198,123
117,28.9703,116.2358,28,6,201,123
118,28.9705,116.2358,28,6,201,123
119,28.9705,116.2358,28,6,201,123
120,28.9703,116.2358,28,6,201,123
121,28.9705,116.2358,28,6,201,123
122,28.9705,116.2358,28,6,201,123
123,28.9703,116.2358,28,6,201,123
124,28.9623,116.199,28,6,198,124
125,28.9623,116.199,28,6,198,124
126,28.9842,116.203,28,6,196,121
127,28.9705,116.2358,28,6,201,123
128,28.9703,116.2358,28,6,201,123
129,28.9703,116.2358,28,6,201,123
130,28.9703,116.2358,28,6,201,123
131,28.9705,116.2358,28,6,201,123
132,28.9772,116.2003,28,6,196,122
133,28.9777,116.2003,28,6,196,122
134,28.977,116.2018,28,6,197,122
135,28.9703,116.2358,28,6,201,123
136,28.9703,116.2358,28,6,201,123
137,28.9703,116.2358,28,6,201,123
138,28.9705,116.2358,28,6,201,123
139,28.9703,116.2358,28,6,201,123
140,28.9703,116.2358,28,6,201,123
141,28.9705,116.2358,28,6,201,123
142,28.9705,116.236,28,6,201,123
143,28.9703,116.236,28,6,201,123
144,28.9773,116.2018,28,6,197,122
145,28.9773,116.2002,28,6,196,122
146,28.9703,116.2375,28,6,201,123
147,28.9705,116.236,28,6,201,123
148,28.9703,116.2358,28,6,201,123
149,28.9703,116.2358,28,6,201,123
150,28.9705,116.2358,28,6,201,123
151,28.9705,116.2358,28,6,201,123
152,28.9703,116.2358,28,6,201,123
153,28.9703,116.2358,28,6,201,123
154,28.9703,116.2358,28,6,201,123
155,28.9705,116.2358,28,6,201,123
156,28.9775,116.201,28,6,196,122
157,28.9773,116.201,28,6,196,122
158,28.9777,116.201,28,6,196,122
159,28.9775,116.201,28,6,196,122
160,28.9768,116.2017,28,6,197,122
161,28.9705,116.2358,28,6,201,123
162,28.9767,116.202,28,6,197,122
163,28.9777,116.201,28,6,196,122
164,28.9775,116.201,28,6,196,122
165,28.9773,116.2012,28,6,197,122
166,28.9768,116.202,28,6,197,122
167,28.9657,116.2763,28,6,206,123
168,28.9657,116.2798,28,6,206,123
169,28.9657,116.2798,28,6,206,123
170,28.9773,116.2008,28,6,196,122
171,28.9777,116.2008,28,6,196,122
172,28.9777,116.2008,28,6,196,122
173,28.9775,116.201,28,6,196,122
174,28.9773,116.2008,28,6,196,122
175,28.9705,116.2358,28,6,201,123
176,28.9657,116.2763,28,6,206,123
177,28.9657,116.2763,28,6,206,123
178,28.9658,116.2763,28,6,206,123
179,28.9767,116.2022,28,6,197,122
180,28.9767,116.202,28,6,197,122
181,28.9768,116.2022,28,6,197,122
182,29.003,116.2603,28,6,200,119
183,28.9705,116.2357,28,6,201,123
184,28.9707,116.2357,28,6,201,123
185,28.9705,116.2358,28,6,201,123
186,28.9772,116.2018,28,6,197,122
187,28.9808,116.2742,28,6,204,121
188,28.9808,116.2742,28,6,204,121
189,28.9795,116.2745,28,6,204,121
190,28.9795,116.2742,28,6,204,121
191,28.9795,116.2742,28,6,204,121
192,28.979,116.2747,28,6,204,122
193,28.9788,116.2737,28,6,204,122
194,28.9795,116.2723,28,6,204,121
195,28.9795,116.2742,28,6,204,121
196,28.9795,116.2742,28,6,204,121
197,28.9797,116.274,28,6,204,121
198,28.9798,116.2743,28,6,204,121
199,28.9792,116.274,28,6,204,121
200,28.9795,116.2742,28,6,204,121
201,28.9797,116.2737,28,6,204,121
202,28.9798,116.2725,28,6,204,121
203,28.9787,116.2735,28,6,204,122
204,28.98,116.2725,28,6,204,121
205,28.9812,116.2725,28,6,204,121
206,28.9795,116.274,28,6,204,121
207,28.9805,116.2725,28,6,204,121
208,28.981,116.2723,28,6,204,121
209,28.9785,116.2807,28,6,205,122
210,28.977,116.2813,28,6,205,122
211,28.9782,116.281,28,6,205,122
212,28.9775,116.2818,28,6,205,122
213,28.9788,116.2815,28,6,205,122
214,28.9795,116.2818,28,6,205,121
215,28.9775,116.2825,28,6,205,122
216,28.9778,116.2807,28,6,205,122
217,28.98,116.2813,28,6,205,121
218,28.977,116.2825,28,6,205,122
219,28.9775,116.283,28,6,205,122
220,28.9772,116.2832,28,6,205,122
221,28.976,116.2825,28,6,205,122
222,28.9762,116.2825,28,6,205,122
223,28.9762,116.2823,28,6,205,122
224,28.9775,116.283,28,6,205,122
225,28.9775,116.283,28,6,205,122
226,28.9777,116.2828,28,6,205,122
227,28.98,116.2822,28,6,205,121
228,28.9798,116.2823,28,6,205,121
229,28.9762,116.2825,28,6,205,122
