site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,29.066,116.0665,28,6,347,224
2,29.066,116.06667,28,6,347,224
3,29.066,116.06633,28,6,347,224
4,29.066,116.0665,28,6,347,224
5,29.0675,116.0705,28,6,348,223
6,29.0675,116.07117,28,6,348,223
7,29.06633,116.07383,28,6,349,224
8,29.06767,116.073,28,6,348,223
9,29.06717,116.07367,28,6,349,223
10,29.06633,116.07267,28,6,349,224
11,29.06733,116.07317,28,6,348,223
12,29.06767,116.0735,28,6,348,223
13,29.06717,116.07333,28,6,348,223
14,29.06733,116.07333,28,6,348,223
15,29.0675,116.069,28,6,347,223
16,29.06717,116.06933,28,6,348,223
17,29.06817,116.07333,28,6,348,223
18,29.06833,116.07333,28,6,348,223
19,29.06833,116.0735,28,6,348,223
20,29.06833,116.07317,28,6,348,223
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date
1,2007/01/01,1910,2732,1520,1796,3283,2591,1754,1073741824,5552,1741,-5646,1801,7,2007/01/07
1,2007/01/09,1229,2068,620,1037,2469,2222,1352,1073741824,5654,3866,-5479,202,9,2007/01/09
1,2007/01/17,2185,2435,2278,2288,1974,1499,744,1073741824,5152,4857,11902,8205,17,2007/01/17
1,2007/01/25,1075,1781,541,923,1809,1820,1220,1075576832,5135,439,-4719,136,30,2007/01/30
1,2007/02/02,1246,2319,612,1052,2660,2425,1669,1075576832,5314,4664,-4889,202,34,2007/02/03
1,2007/02/10,847,2004,451,761,2251,1909,962,1073741824,5058,3847,-4916,202,41,2007/02/10
1,2007/02/18,610,1841,177,535,1879,1593,836,1073741824,4019,5486,12302,208,56,2007/02/25
1,2007/02/26,894,1959,437,836,2004,1410,788,1075576832,4563,3838,-4455,208,57,2007/02/26
1,2007/03/06,884,2599,433,889,2528,2036,1113,1073741824,4457,5871,-3947,202,68,2007/03/09
1,2007/03/14,915,2306,462,902,2078,1805,1109,1073741824,3659,2869,-4074,136,80,2007/03/21
1,2007/03/22,876,2080,445,884,2062,1290,653,1075576832,2773,5475,12621,200,88,2007/03/29
1,2007/03/30,1210,2884,670,1224,2558,2015,1121,1073741824,3093,2869,-3541,210,96,2007/04/06
1,2007/04/07,886,2428,454,924,2333,1795,1019,1073741824,2645,873,14060,200,101,2007/04/11
1,2007/04/15,1220,2339,631,1103,2281,1772,951,1073741824,2328,2109,14137,136,108,2007/04/18
1,2007/04/23,1050,2236,539,997,2062,1711,948,1075576832,2028,3190,14107,200,115,2007/04/25
1,2007/05/01,849,2259,432,888,2089,1731,1079,1073741824,2059,490,-2315,200,126,2007/05/06
1,2007/05/09,557,2193,277,682,2132,1568,831,1073741824,1642,3162,15116,200,131,2007/05/11
1,2007/05/17,726,2700,326,781,2675,1979,1206,1073741824,1613,2045,15799,200,140,2007/05/20
1,2007/05/25,1531,3361,1757,1806,2933,2048,1060,1073741824,1429,3143,16081,1034,147,2007/05/27
1,2007/06/02,1137,2856,1242,1340,2565,1726,933,1073741824,922,5965,15346,8204,159,2007/06/08
1,2007/06/10,3956,4426,4253,4160,3922,2141,1078,1073741824,1027,5454,16221,1033,168,2007/06/17
1,2007/06/18,1812,4033,1935,2092,3601,2667,1368,1073741824,2064,2897,-336,1545,176,2007/06/25
1,2007/06/26,1554,3613,1806,1945,3246,2095,986,1073741824,2340,4683,-225,8206,178,2007/06/27
1,2007/07/04,711,3199,345,827,3180,2144,1175,1073741824,1625,2118,17149,136,188,2007/07/07
1,2007/07/12,1241,3172,479,1010,3551,3352,2205,1073741824,2101,1704,-716,201,199,2007/07/18
1,2007/07/20,757,2311,369,815,1760,1249,632,1073741824,2047,409,-1242,200,206,2007/07/25
1,2007/07/28,473,2431,162,676,1941,1258,571,1073741824,2593,4643,-1104,208,210,2007/07/29
1,2007/08/05,706,1944,338,734,1910,1311,748,1073741824,2260,393,-1654,72,222,2007/08/10
1,2007/08/13,416,2975,201,580,2729,1738,836,1073741824,2274,927,15034,72,229,2007/08/17
1,2007/08/21,391,2834,172,607,2433,1668,747,1073741824,3046,5303,-2389,200,235,2007/08/23
1,2007/08/29,301,4820,160,656,4085,2655,1034,1073741824,3058,4633,-2920,200,242,2007/08/30
1,2007/09/06,298,4320,155,554,3768,2006,777,1073741824,2543,4158,13062,200,250,2007/09/07
1,2007/09/14,527,2943,258,731,2529,1553,832,1073741824,3079,946,12991,200,261,2007/09/18
1,2007/09/22,566,3721,281,770,3318,2034,959,1073741824,3426,375,-4443,200,270,2007/09/27
1,2007/09/30,553,1667,298,610,1737,1143,575,1073741824,3591,946,12249,136,277,2007/10/04
1,2007/10/08,646,3246,357,736,3251,1926,933,1073741824,3777,2163,12100,136,284,2007/10/11
1,2007/10/16,783,2450,424,775,2368,1667,859,1073741824,3976,3226,11764,200,291,2007/10/18
1,2007/10/24,966,2520,525,908,2749,2040,1242,1073741824,4314,2099,11751,200,300,2007/10/27
1,2007/11/01,1136,2433,614,973,2925,2476,1661,1073741824,4633,810,11874,136,309,2007/11/05
1,2007/11/09,970,1851,513,859,2313,1776,1154,1075576832,4795,2045,11408,200,316,2007/11/12
1,2007/11/17,1057,2082,579,897,2488,2189,1515,1073741824,5057,819,11400,72,325,2007/11/21
1,2007/11/25,1052,1682,550,924,1978,1868,1260,1073741824,5283,491,-6069,136,334,2007/11/30
1,2007/12/03,1013,1617,549,909,1813,1582,984,1073741824,5355,837,11649,202,341,2007/12/07
1,2007/12/11,1254,2130,648,1041,2751,2563,1857,1073741824,5396,2091,11522,202,348,2007/12/14
1,2007/12/19,1129,2020,575,906,2453,2398,1566,1073741824,5336,4847,11406,202,353,2007/12/19
1,2007/12/27,1012,1819,524,866,2204,2141,1402,1075576832,5533,457,-5269,136,1,2007/01/01
2,2007/01/01,1910,2732,1520,1796,3283,2591,1754,1073741824,5552,1741,-5646,1801,7,2007/01/07
2,2007/01/09,1229,2068,620,1037,2469,2222,1352,1073741824,5654,3866,-5479,202,9,2007/01/09
2,2007/01/17,2185,2435,2278,2288,1974,1499,744,1073741824,5152,4857,11902,8205,17,2007/01/17
2,2007/01/25,1075,1781,541,923,1809,1820,1220,1075576832,5135,439,-4719,136,30,2007/01/30
2,2007/02/02,1246,2319,612,1052,2660,2425,1669,1075576832,5314,4664,-4889,202,34,2007/02/03
2,2007/02/10,847,2004,451,761,2251,1909,962,1073741824,5058,3847,-4916,202,41,2007/02/10
2,2007/02/18,610,1841,177,535,1879,1593,836,1073741824,4019,5486,12302,208,56,2007/02/25
2,2007/02/26,894,1959,437,836,2004,1410,788,1075576832,4563,3838,-4455,208,57,2007/02/26
2,2007/03/06,884,2599,433,889,2528,2036,1113,1073741824,4457,5871,-3947,202,68,2007/03/09
2,2007/03/14,915,2306,462,902,2078,1805,1109,1073741824,3659,2869,-4074,136,80,2007/03/21
2,2007/03/22,876,2080,445,884,2062,1290,653,1075576832,2773,5475,12621,200,88,2007/03/29
2,2007/03/30,1210,2884,670,1224,2558,2015,1121,1073741824,3093,2869,-3541,210,96,2007/04/06
2,2007/04/07,886,2428,454,924,2333,1795,1019,1073741824,2645,873,14060,200,101,2007/04/11
2,2007/04/15,1220,2339,631,1103,2281,1772,951,1073741824,2328,2109,14137,136,108,2007/04/18
2,2007/04/23,1050,2236,539,997,2062,1711,948,1075576832,2028,3190,14107,200,115,2007/04/25
2,2007/05/01,849,2259,432,888,2089,1731,1079,1073741824,2059,490,-2315,200,126,2007/05/06
2,2007/05/09,557,2193,277,682,2132,1568,831,1073741824,1642,3162,15116,200,131,2007/05/11
2,2007/05/17,726,2700,326,781,2675,1979,1206,1073741824,1613,2045,15799,200,140,2007/05/20
2,2007/05/25,1531,3361,1757,1806,2933,2048,1060,1073741824,1429,3143,16081,1034,147,2007/05/27
2,2007/06/02,1137,2856,1242,1340,2565,1726,933,1073741824,922,5965,15346,8204,159,2007/06/08
2,2007/06/10,3956,4426,4253,4160,3922,2141,1078,1073741824,1027,5454,16221,1033,168,2007/06/17
2,2007/06/18,1812,4033,1935,2092,3601,2667,1368,1073741824,2064,2897,-336,1545,176,2007/06/25
2,2007/06/26,1554,3613,1806,1945,3246,2095,986,1073741824,2340,4683,-225,8206,178,2007/06/27
2,2007/07/04,711,3199,345,827,3180,2144,1175,1073741824,1625,2118,17149,136,188,2007/07/07
2,2007/07/12,1241,3172,479,1010,3551,3352,2205,1073741824,2101,1704,-716,201,199,2007/07/18
2,2007/07/20,757,2311,369,815,1760,1249,632,1073741824,2047,409,-1242,200,206,2007/07/25
2,2007/07/28,473,2431,162,676,1941,1258,571,1073741824,2593,4643,-1104,208,210,2007/07/29
2,2007/08/05,706,1944,338,734,1910,1311,748,1073741824,2260,393,-1654,72,222,2007/08/10
2,2007/08/13,416,2975,201,580,2729,1738,836,1073741824,2274,927,15034,72,229,2007/08/17
2,2007/08/21,391,2834,172,607,2433,1668,747,1073741824,3046,5303,-2389,200,235,2007/08/23
2,2007/08/29,301,4820,160,656,4085,2655,1034,1073741824,3058,4633,-2920,200,242,2007/08/30
2,2007/09/06,298,4320,155,554,3768,2006,777,1073741824,2543,4158,13062,200,250,2007/09/07
2,2007/09/14,527,2943,258,731,2529,1553,832,1073741824,3079,946,12991,200,261,2007/09/18
2,2007/09/22,566,3721,281,770,3318,2034,959,1073741824,3426,375,-4443,200,270,2007/09/27
2,2007/09/30,553,1667,298,610,1737,1143,575,1073741824,3591,946,12249,136,277,2007/10/04
2,2007/10/08,646,3246,357,736,3251,1926,933,1073741824,3777,2163,12100,136,284,2007/10/11
2,2007/10/16,783,2450,424,775,2368,1667,859,1073741824,3976,3226,11764,200,291,2007/10/18
2,2007/10/24,966,2520,525,908,2749,2040,1242,1073741824,4314,2099,11751,200,300,2007/10/27
2,2007/11/01,1136,2433,614,973,2925,2476,1661,1073741824,4633,810,11874,136,309,2007/11/05
2,2007/11/09,970,1851,513,859,2313,1776,1154,1075576832,4795,2045,11408,200,316,2007/11/12
2,2007/11/17,1057,2082,579,897,2488,2189,1515,1073741824,5057,819,11400,72,325,2007/11/21
2,2007/11/25,1052,1682,550,924,1978,1868,1260,1073741824,5283,491,-6069,136,334,2007/11/30
2,2007/12/03,1013,1617,549,909,1813,1582,984,1073741824,5355,837,11649,202,341,2007/12/07
2,2007/12/11,1254,2130,648,1041,2751,2563,1857,1073741824,5396,2091,11522,202,348,2007/12/14
2,2007/12/19,1129,2020,575,906,2453,2398,1566,1073741824,5336,4847,11406,202,353,2007/12/19
2,2007/12/27,1012,1819,524,866,2204,2141,1402,1075576832,5533,457,-5269,136,1,2007/01/01
3,2007/01/01,1910,2732,1520,1796,3283,2591,1754,1073741824,5552,1741,-5646,1801,7,2007/01/07
3,2007/01/09,1229,2068,620,1037,2469,2222,1352,1073741824,5654,3866,-5479,202,9,2007/01/09
3,2007/01/17,2185,2435,2278,2288,1974,1499,744,1073741824,5152,4857,11902,8205,17,2007/01/17
3,2007/01/25,1075,1781,541,923,1809,1820,1220,1075576832,5135,439,-4719,136,30,2007/01/30
3,2007/02/02,1246,2319,612,1052,2660,2425,1669,1075576832,5314,4664,-4889,202,34,2007/02/03
3,2007/02/10,847,2004,451,761,2251,1909,962,1073741824,5058,3847,-4916,202,41,2007/02/10
3,2007/02/18,610,1841,177,535,1879,1593,836,1073741824,4019,5486,12302,208,56,2007/02/25
3,2007/02/26,894,1959,437,836,2004,1410,788,1075576832,4563,3838,-4455,208,57,2007/02/26
3,2007/03/06,884,2599,433,889,2528,2036,1113,1073741824,4457,5871,-3947,202,68,2007/03/09
3,2007/03/14,915,2306,462,902,2078,1805,1109,1073741824,3659,2869,-4074,136,80,2007/03/21
3,2007/03/22,876,2080,445,884,2062,1290,653,1075576832,2773,5475,12621,200,88,2007/03/29
3,2007/03/30,1210,2884,670,1224,2558,2015,1121,1073741824,3093,2869,-3541,210,96,2007/04/06
3,2007/04/07,886,2428,454,924,2333,1795,1019,1073741824,2645,873,14060,200,101,2007/04/11
3,2007/04/15,1220,2339,631,1103,2281,1772,951,1073741824,2328,2109,14137,136,108,2007/04/18
3,2007/04/23,1050,2236,539,997,2062,1711,948,1075576832,2028,3190,14107,200,115,2007/04/25
3,2007/05/01,849,2259,432,888,2089,1731,1079,1073741824,2059,490,-2315,200,126,2007/05/06
3,2007/05/09,557,2193,277,682,2132,1568,831,1073741824,1642,3162,15116,200,131,2007/05/11
3,2007/05/17,726,2700,326,781,2675,1979,1206,1073741824,1613,2045,15799,200,140,2007/05/20
3,2007/05/25,1531,3361,1757,1806,2933,2048,1060,1073741824,1429,3143,16081,1034,147,2007/05/27
3,2007/06/02,1137,2856,1242,1340,2565,1726,933,1073741824,922,5965,15346,8204,159,2007/06/08
