site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,15.502,120.90471,29,7,780,539
2,15.58777,120.85976,29,7,769,529
3,15.67305,120.89684,29,7,768,519
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
1,2014/01/01,14,2,0,136,7,1,N\A
1,2014/01/09,23,3,8,160,0,0,N\A
1,2014/01/17,35,6,0,136,0,0,N\A
1,2014/01/25,46,8,0,136,0,0,N\A
1,2014/02/02,61,12,0,160,3,1,N\A
1,2014/02/10,72,17,0,192,2,1,N\A
1,2014/02/18,78,27,0,128,3,3,N\A
1,2014/02/26,74,24,0,128,3,2,N\A
1,2014/03/06,78,26,0,200,3,3,N\A
1,2014/03/14,67,18,0,200,3,2,N\A
1,2014/03/22,61,15,0,128,3,1,N\A
1,2014/03/30,48,12,0,200,3,1,N\A
1,2014/04/07,38,7,16,192,5,1,N\A
1,2014/04/15,30,5,8,192,5,1,N\A
1,2014/04/23,27,5,8,160,6,1,N\A
1,2014/05/01,36,7,8,128,5,1,N\A
1,2014/05/09,35,7,8,192,5,1,N\A
1,2014/05/17,37,7,16,128,5,1,N\A
1,2014/05/25,43,10,0,128,4,1,N\A
1,2014/06/02,42,10,8,128,4,1,N\A
1,2014/06/10,22,4,8,176,5,1,N\A
1,2014/06/18,30,6,16,128,0,0,N\A
1,2014/06/26,17,3,8,192,6,1,N\A
2,2014/01/01,22,3,0,128,0,0,N\A
2,2014/01/09,22,3,0,136,0,0,N\A
2,2014/01/17,23,3,0,136,0,0,N\A
2,2014/01/25,35,6,0,128,0,0,N\A
2,2014/02/02,52,10,0,192,4,1,N\A
2,2014/02/10,74,19,0,136,3,2,N\A
2,2014/02/18,72,21,0,128,3,2,N\A
2,2014/02/26,72,22,0,192,3,2,N\A
2,2014/03/06,72,22,0,128,3,2,N\A
2,2014/03/14,64,17,0,128,3,2,N\A
2,2014/03/22,66,17,0,128,2,1,N\A
2,2014/03/30,55,13,0,128,4,2,N\A
2,2014/04/07,43,9,16,192,0,0,N\A
2,2014/04/15,43,9,16,128,0,0,N\A
2,2014/04/23,37,7,8,160,5,1,N\A
2,2014/05/01,32,7,0,128,7,2,N\A
2,2014/05/09,33,6,8,128,7,2,N\A
2,2014/05/17,28,6,16,128,6,2,N\A
2,2014/05/25,35,7,8,128,5,1,N\A
2,2014/06/02,37,7,8,136,5,1,N\A
2,2014/06/10,18,3,8,160,8,2,N\A
2,2014/06/18,28,6,8,136,4,1,N\A
2,2014/06/26,21,4,0,128,4,1,N\A
3,2014/01/01,7,1,0,136,0,0,N\A
3,2014/01/09,11,2,0,136,7,1,N\A
3,2014/01/17,22,3,0,136,0,0,N\A
3,2014/01/25,23,3,16,160,0,0,N\A
3,2014/02/02,48,9,0,136,2,1,N\A
3,2014/02/10,55,11,0,136,0,0,N\A
3,2014/02/18,69,19,0,128,3,2,N\A
3,2014/02/26,68,20,0,192,2,1,N\A
3,2014/03/06,72,22,0,128,4,3,N\A
3,2014/03/14,78,26,0,200,4,3,N\A
3,2014/03/22,66,17,0,128,2,1,N\A
3,2014/03/30,58,14,0,128,4,2,N\A
3,2014/04/07,52,11,16,192,0,0,N\A
3,2014/04/15,38,8,0,128,0,0,N\A
3,2014/04/23,36,7,8,192,5,1,N\A
3,2014/05/01,34,6,16,128,4,1,N\A
3,2014/05/09,24,5,0,128,5,1,N\A
3,2014/05/17,29,5,16,192,5,1,N\A
3,2014/05/25,36,7,8,136,5,1,N\A
3,2014/06/02,26,4,8,160,6,1,N\A
3,2014/06/10,23,5,16,160,5,1,N\A
3,2014/06/18,19,3,8,136,0,0,N\A
3,2014/06/26,15,3,16,128,6,1,N\A
