1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
6,No Data
7,No Data
8,No Data
9,No Data
10,No Data
id,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
1,2000/03/05,15428,0,111,79,14472,0,224,56,247,248,237,239,N\A
1,2000/03/13,15608,0,110,69,14456,0,226,73,247,249,254,191,N\A
1,2000/03/21,15758,0,111,73,14554,0,224,50,247,249,253,237,N\A
1,2000/03/29,15970,0,110,62,14688,0,226,69,247,249,255,255,N\A
1,2000/04/06,16135,0,111,73,14765,0,224,57,247,248,253,239,N\A
1,2000/04/14,16002,0,109,60,14850,0,227,79,209,210,250,247,N\A
1,2000/04/22,16064,0,111,77,14786,0,225,64,247,249,37,34,N\A
1,2000/04/30,16057,0,110,70,14933,0,225,67,247,248,127,63,N\A
1,2000/05/08,0,2,255,255,14774,0,222,36,247,248,0,140,N\A
1,2000/05/16,15984,65,107,37,15030,0,227,80,247,249,130,227,N\A
1,2000/05/24,16120,0,111,72,15132,0,224,50,247,248,29,15,N\A
1,2000/06/01,0,2,255,255,14960,0,228,99,247,249,0,5,N\A
1,2000/06/09,0,2,255,255,14965,0,225,63,246,248,0,40,N\A
1,2000/06/17,0,2,255,255,14832,0,227,77,247,249,0,192,N\A
1,2000/06/25,0,2,255,255,14855,0,226,75,247,249,0,34,N\A
1,2000/07/03,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/11,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/19,0,2,255,255,14414,0,232,127,247,248,0,32,N\A
1,2000/07/27,0,2,255,255,14696,0,228,85,247,249,0,96,N\A
1,2000/08/04,15054,65,110,67,14577,0,225,60,247,249,2,3,N\A
1,2000/08/12,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/20,15083,65,110,63,14904,0,224,51,247,249,96,80,N\A
1,2000/08/28,0,2,255,255,14798,0,226,77,246,248,0,8,N\A
1,2000/09/05,14871,65,110,64,14649,0,228,87,247,248,144,240,N\A
1,2000/09/13,15220,0,109,56,14696,0,225,55,247,249,213,225,N\A
1,2000/09/21,15207,0,110,71,14728,0,225,61,247,249,254,223,N\A
1,2000/09/29,15447,0,111,73,14721,0,224,57,247,248,253,239,N\A
1,2000/10/07,15424,0,109,54,14699,0,226,79,247,249,239,131,N\A
1,2000/10/15,15501,0,111,76,14613,0,225,65,247,249,249,235,N\A
1,2000/10/23,15399,0,109,53,14570,0,226,79,247,248,239,247,N\A
1,2000/10/31,15347,0,111,72,14543,0,224,56,247,249,253,239,N\A
1,2000/11/08,15317,0,110,61,14503,0,225,69,247,249,255,255,N\A
1,2000/11/16,15240,0,111,73,14439,0,224,57,246,248,253,239,N\A
1,2000/11/24,15075,0,110,61,14312,0,225,69,247,248,255,255,N\A
1,2000/12/02,15173,0,111,72,14203,0,223,56,247,248,253,239,N\A
1,2000/12/10,15169,0,110,61,14272,0,224,60,247,249,255,223,N\A
1,2000/12/18,15109,0,111,73,14186,0,224,57,247,248,253,239,N\A
1,2000/12/26,15058,0,110,60,14242,0,223,53,247,249,15,15,N\A
1,2001/01/01,14904,0,112,84,14127,0,223,57,247,248,245,191,N\A
1,2001/01/09,14979,0,110,69,14133,0,224,63,247,248,251,187,N\A
1,2001/01/17,15045,0,111,73,14309,0,223,57,247,248,247,191,N\A
1,2001/01/25,15140,0,109,55,14218,0,224,60,247,249,159,63,N\A
1,2001/02/02,15224,0,111,74,14221,0,223,57,247,249,247,191,N\A
1,2001/02/10,15221,0,109,60,14335,0,225,69,247,248,247,255,N\A
1,2001/02/18,15411,0,110,67,14415,0,223,57,247,249,119,191,N\A
1,2001/02/26,15317,0,109,53,14364,0,226,78,247,248,191,223,N\A
1,2001/03/06,15680,0,110,73,14501,0,224,58,247,248,247,63,N\A
1,2001/03/14,15717,0,109,58,14638,0,225,70,247,249,63,222,N\A
1,2001/03/22,15846,0,111,84,14666,0,223,57,247,249,245,191,N\A
1,2001/03/30,15816,0,108,56,14632,0,225,74,247,248,253,253,N\A
1,2001/04/07,16088,0,109,71,14739,0,223,57,247,248,151,191,N\A
1,2001/04/15,15985,0,109,60,14644,0,226,80,247,248,235,241,N\A
1,2001/04/23,16296,0,110,74,14891,0,223,57,247,249,247,191,N\A
1,2001/05/01,16151,0,108,53,15058,0,224,63,247,249,191,218,N\A
1,2001/05/09,16163,0,110,80,15031,0,223,57,247,249,21,191,N\A
1,2001/05/17,15517,65,114,119,14725,0,230,118,247,249,64,132,N\A
1,2001/05/25,15878,65,112,104,15005,0,223,54,247,248,1,185,N\A
1,2001/06/02,0,2,255,255,14952,0,224,62,247,249,0,64,N\A
1,2001/06/10,15182,65,112,104,14944,65,222,37,246,248,1,1,N\A
1,2001/07/04,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/07/12,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/07/20,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/07/28,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/08/05,15074,65,109,70,0,2,255,255,247,249,8,0,N\A
1,2001/08/13,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/08/21,0,2,255,255,14698,0,224,67,247,249,0,252,N\A
1,2001/08/29,14969,65,109,70,14768,0,222,43,247,249,147,129,N\A
1,2001/09/06,15196,0,108,58,14745,0,223,60,247,249,238,127,N\A
1,2001/09/14,15237,0,111,85,14710,0,222,53,246,248,245,182,N\A
