1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
id,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
1,2000/03/05,15504,0,111,75,14509,0,225,63,242,245,237,255,N\A
1,2000/03/13,15725,0,110,66,14530,0,225,71,243,245,254,191,N\A
1,2000/03/21,15898,0,111,69,14648,0,225,64,243,245,253,255,N\A
1,2000/03/29,16031,0,110,58,14786,0,225,67,243,245,255,255,N\A
1,2000/04/06,16215,0,111,69,14872,0,225,64,242,245,253,255,N\A
1,2000/04/14,15999,0,109,50,14913,0,225,61,242,245,239,127,N\A
1,2000/04/22,16159,0,111,72,14905,0,223,43,243,245,37,38,N\A
1,2000/04/30,16154,0,111,69,15069,0,224,53,242,245,31,31,N\A
1,2000/05/08,0,2,255,255,14890,65,225,66,243,246,0,158,N\A
1,2000/05/16,16024,0,112,81,15120,0,226,78,242,245,66,227,N\A
1,2000/05/24,16165,0,109,51,15219,0,225,64,243,245,17,31,N\A
1,2000/06/01,0,2,255,255,15034,0,227,83,242,245,0,17,N\A
1,2000/06/09,0,2,255,255,14919,0,227,84,242,245,0,106,N\A
1,2000/06/17,0,2,255,255,14877,65,230,114,243,245,0,128,N\A
1,2000/06/25,0,2,255,255,15101,0,228,97,241,244,0,2,N\A
1,2000/07/03,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/11,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/19,0,2,255,255,14530,0,232,125,245,247,0,32,N\A
1,2000/07/27,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/04,0,2,255,255,14751,0,224,58,243,246,0,3,N\A
1,2000/08/12,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/20,0,2,255,255,14919,0,228,93,243,246,0,48,N\A
1,2000/08/28,0,2,255,255,14896,0,225,74,241,244,0,8,N\A
1,2000/09/05,15084,0,104,6,14820,0,225,70,242,245,128,208,N\A
1,2000/09/13,15469,17,109,51,14891,0,225,64,242,245,21,235,N\A
1,2000/09/21,15598,0,111,75,14891,0,225,65,242,245,114,251,N\A
1,2000/09/29,15865,0,111,69,14941,0,223,55,242,245,253,239,N\A
1,2000/10/07,15753,0,107,38,14858,0,226,83,243,245,235,179,N\A
1,2000/10/15,15773,0,111,69,14791,0,224,63,242,244,253,235,N\A
1,2000/10/23,15688,0,109,50,14728,0,226,76,242,245,239,247,N\A
1,2000/10/31,15648,0,110,68,14682,0,225,64,243,245,253,255,N\A
1,2000/11/08,15519,0,109,58,14605,0,225,67,243,245,255,255,N\A
1,2000/11/16,15418,0,110,69,14511,0,225,64,243,245,253,255,N\A
1,2000/11/24,15249,0,109,58,14395,0,225,66,243,245,255,255,N\A
1,2000/12/02,15312,0,110,68,14257,0,225,63,242,245,253,255,N\A
1,2000/12/10,15186,0,109,63,14357,0,225,67,242,245,223,255,N\A
1,2000/12/18,15220,0,110,69,14265,0,225,64,243,245,253,255,N\A
1,2000/12/26,15122,0,111,75,14263,0,224,65,243,245,14,47,N\A
1,2001/01/01,15013,65,111,76,14227,0,225,64,242,245,244,255,N\A
1,2001/01/09,15081,0,110,74,14199,0,225,67,243,245,250,191,N\A
1,2001/01/17,15165,0,111,80,14332,0,225,64,242,245,245,255,N\A
1,2001/01/25,15162,0,108,51,14314,0,226,76,242,245,159,223,N\A
1,2001/02/02,15238,0,110,70,14258,0,225,65,243,245,247,255,N\A
1,2001/02/10,15219,0,107,45,14403,0,225,67,243,245,231,255,N\A
1,2001/02/18,15434,0,108,52,14544,0,223,55,243,245,87,191,N\A
1,2001/02/26,15309,0,107,39,14397,0,225,66,243,246,181,255,N\A
1,2001/03/06,15715,0,110,69,14569,0,225,64,243,245,247,255,N\A
1,2001/03/14,15709,0,109,63,14782,0,226,79,242,245,127,87,N\A
1,2001/03/22,15852,0,110,76,14771,0,223,48,243,245,183,183,N\A
1,2001/03/30,15867,0,109,57,14721,0,226,84,243,245,255,221,N\A
1,2001/04/07,16071,0,110,70,14860,0,224,56,243,245,55,63,N\A
1,2001/04/15,16026,0,109,65,14640,0,225,75,242,245,234,244,N\A
1,2001/04/23,16241,0,109,63,14940,0,225,64,242,245,119,255,N\A
1,2001/05/01,16119,0,109,58,15083,0,224,61,243,246,255,251,N\A
1,2001/05/09,16140,0,110,75,15089,0,224,64,242,245,21,255,N\A
1,2001/05/17,15552,65,114,116,14772,65,225,74,243,245,64,152,N\A
1,2001/05/25,15959,65,112,100,15189,0,225,72,241,244,1,168,N\A
1,2001/06/02,0,2,255,255,15037,65,225,72,242,245,0,3,N\A
1,2001/06/10,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/06/26,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/07/04,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/07/12,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/07/20,0,2,255,255,14564,65,218,10,243,245,0,8,N\A
1,2001/07/28,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/08/05,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/08/13,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/08/21,15210,65,107,42,14831,0,223,65,242,245,136,252,N\A
1,2001/08/29,15335,65,112,100,14926,0,222,51,241,243,1,161,N\A
1,2001/09/06,0,2,255,255,14951,0,223,58,243,245,0,127,N\A
1,2001/09/14,15784,0,111,86,14938,0,224,69,242,245,48,254,N\A
1,2001/09/22,15814,0,106,47,14901,0,224,66,243,245,236,255,N\A
1,2001/09/30,15381,17,105,27,14862,0,223,60,244,246,64,18,N\A
1,2001/10/08,15785,0,109,67,14776,65,224,66,243,245,192,227,N\A
1,2001/10/16,15715,0,109,70,14749,0,222,55,242,245,247,191,N\A
1,2001/10/24,15676,0,108,58,14740,0,224,66,243,245,255,255,N\A
1,2001/11/01,15633,0,108,61,14711,0,224,64,243,245,215,255,N\A
1,2001/11/09,15454,0,108,57,14508,0,224,66,243,246,255,255,N\A
1,2001/11/17,15406,0,109,70,14495,0,224,64,242,245,247,255,N\A
1,2001/11/25,15226,0,108,58,14372,0,225,76,243,245,255,223,N\A
1,2001/12/03,15344,0,110,81,14440,0,224,64,243,245,245,255,N\A
1,2001/12/11,15147,0,107,57,14373,0,223,66,243,245,247,255,N\A
1,2001/12/19,15139,0,110,80,14306,0,222,54,243,245,245,191,N\A
