1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
6,No Data
7,No Data
8,No Data
9,No Data
10,No Data
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date
1,2000/02/18,-28672,-28672,-28672,-28672,-28672,-28672,-28672,1002159035,3506,4798,-3290,8,55,2000/02/24
1,2000/02/26,1131,2186,524,787,2964,3045,2317,1073741824,2445,4709,13387,72,63,2000/03/03
1,2000/03/05,1364,2563,560,917,3550,3537,2754,1073741824,2702,38,803,72,67,2000/03/07
1,2000/03/13,1418,2472,625,959,3604,3573,2741,1107296256,2368,1409,14571,72,74,2000/03/14
1,2000/03/21,1651,2744,678,1077,3932,4139,3319,1073741824,2199,73,17059,72,83,2000/03/23
1,2000/03/29,1309,2352,636,914,3177,3389,2674,1073741824,1868,1581,15866,72,90,2000/03/30
1,2000/04/06,1598,2869,839,1156,3898,4162,3235,1073741824,2038,2691,-566,73,101,2000/04/10
1,2000/04/14,1700,2843,842,1205,3965,4210,3192,1073741824,1782,1347,-55,74,108,2000/04/17
1,2000/04/22,1281,2302,591,879,3167,3312,2795,1073741824,1278,2901,-17571,72,113,2000/04/22
1,2000/04/30,1791,2997,802,1212,4135,4431,3509,1073741824,1680,1302,1748,72,124,2000/05/03
1,2000/05/08,1474,2731,638,1004,3672,3936,3235,1073741824,1563,89,-15956,73,131,2000/05/10
1,2000/05/16,2098,3319,1096,1505,4188,4532,3556,1077411841,1772,1466,3260,8201,140,2000/05/19
1,2000/05/24,2080,3221,1152,1507,4162,4354,3309,1073741824,1694,56,-12311,8205,147,2000/05/26
1,2000/06/01,1729,3143,951,1251,4057,4133,2981,1073741824,2460,5416,3216,8205,160,2000/06/08
1,2000/06/09,4058,4623,3926,3966,5042,4230,2663,1107296256,1833,108,-16218,1033,163,2000/06/11
1,2000/06/17,1440,2680,716,1033,3636,3755,2998,1073741824,2016,1384,3905,8205,172,2000/06/20
1,2000/06/25,1501,2611,733,1077,3511,3669,2924,1073741824,1666,2838,-13349,76,177,2000/06/25
1,2000/07/03,4263,4625,4241,4278,4390,2343,1144,1073741824,2715,5993,3001,1033,185,2000/07/03
1,2000/07/11,2954,4069,2509,2798,4313,3932,2705,1073741824,2169,2646,3288,1033,197,2000/07/15
1,2000/07/19,1436,3108,746,1134,3754,3782,2894,1075576832,2012,1357,3137,8206,204,2000/07/22
1,2000/07/27,1673,3287,694,1195,4219,4358,3511,1073741824,2121,2783,2309,73,213,2000/07/31
1,2000/08/04,996,2795,628,931,3209,2600,1415,1073741824,2686,6057,1738,1290,217,2000/08/04
1,2000/08/12,3799,4732,3917,3913,4364,3615,2368,1073741824,1278,3965,-17369,1033,232,2000/08/19
1,2000/08/20,3082,4369,3048,3198,4304,3229,1909,1073741824,2452,5381,97,1033,240,2000/08/27
1,2000/08/28,3258,4200,3485,3414,3851,2363,1114,1073741824,1428,2938,17357,1033,241,2000/08/28
1,2000/09/05,1231,3648,611,1097,4219,3697,2526,1073741824,2213,3700,-1447,8204,254,2000/09/10
1,2000/09/13,980,2832,474,862,3366,2944,1824,1073741824,1877,233,15742,72,259,2000/09/15
1,2000/09/21,967,2395,804,956,2797,2284,1430,1073741824,1895,1645,14284,1032,266,2000/09/22
1,2000/09/29,874,3307,375,842,3498,2613,1490,1073741824,2730,4701,-3395,78,279,2000/10/05
1,2000/10/07,695,3317,73,606,3639,2962,1681,1077411841,2317,1536,12992,1032,282,2000/10/08
1,2000/10/15,793,2691,393,744,3164,2551,1495,1073741824,2455,2847,12448,140,289,2000/10/15
1,2000/10/23,787,2863,388,750,3227,2601,1658,1073741824,2993,1384,-5313,72,300,2000/10/26
1,2000/10/31,830,2759,436,764,3145,2546,1598,1073741824,3117,3889,11491,72,312,2000/11/07
1,2000/11/08,1005,2981,464,841,3586,3095,2052,1073741824,3436,1384,-5658,72,316,2000/11/11
1,2000/11/16,963,2685,468,788,3271,2861,1877,1073741824,3402,2818,11686,72,321,2000/11/16
1,2000/11/24,1146,2867,491,869,3558,3249,2262,1073741824,3808,1411,-5784,72,332,2000/11/27
1,2000/12/02,942,2672,374,744,3347,3028,2070,1073741824,4034,2821,-5583,72,341,2000/12/06
1,2000/12/10,1117,2470,446,786,3291,3248,2434,1073741824,3920,1444,11899,72,346,2000/12/11
1,2000/12/18,1144,2483,483,810,3267,3198,2345,1073741824,4053,79,9616,72,355,2000/12/20
1,2000/12/26,1221,3019,623,974,3785,3496,2303,1073741824,4456,5435,-4852,8204,2,2000/01/02
1,2001/01/01,1191,2334,630,908,3060,3102,2309,1073741824,4062,71,13367,72,5,2001/01/05
1,2001/01/09,1139,2273,541,815,3050,3221,2384,1073741824,3945,1481,12610,72,12,2001/01/12
1,2001/01/17,1445,2849,631,1013,3823,4003,3004,1073741824,4037,2738,-4678,72,23,2001/01/23
1,2001/01/25,1819,3302,804,1260,4353,4524,3462,1073741824,3970,3797,-4200,72,32,2001/02/01
1,2001/02/02,1149,2280,564,824,3021,3030,2274,1073741824,3586,116,13066,72,37,2001/02/06
1,2001/02/10,1565,2772,694,1070,3686,3890,3058,1073741824,3454,1331,-3821,72,46,2001/02/15
1,2001/02/18,1468,2500,707,1021,3491,3799,2974,1073741824,3161,119,15425,72,53,2001/02/22
1,2001/02/26,1476,2717,601,987,3670,3856,2993,1073741824,3006,1384,-3271,72,62,2001/03/03
1,2001/03/06,1890,3161,849,1293,4225,4637,3750,1073741824,2866,2765,-2669,72,71,2001/03/12
1,2001/03/14,1270,2307,646,910,3151,3342,2629,1073741824,2359,1445,15163,72,76,2001/03/17
1,2001/03/22,1421,2669,650,1000,3500,3576,2767,1073741824,2221,69,10863,72,85,2001/03/26
1,2001/03/30,1673,3000,691,1123,4017,4275,3411,1073741824,2143,1448,-1244,72,94,2001/04/04
1,2001/04/07,1500,2990,703,1073,3902,3994,3043,1073741824,2641,5457,-446,72,98,2001/04/08
1,2001/04/15,1492,2608,750,1099,3335,3594,2844,1073741824,1611,1536,17966,72,108,2001/04/18
1,2001/04/23,1704,3127,943,1402,3645,3629,2684,1073741824,2447,5415,849,8205,114,2001/04/24
1,2001/05/01,1815,3160,930,1319,4125,4499,3578,1075576832,1830,1367,2148,73,126,2001/05/06
1,2001/05/09,1480,2710,660,1042,3568,3743,2967,1073741824,1716,89,-14691,72,133,2001/05/13
1,2001/05/17,1096,2304,515,800,2971,2987,2274,1073741824,1344,3937,-14310,72,138,2001/05/18
1,2001/05/25,2066,3505,1045,1477,4537,4728,3722,1073741824,2130,2664,3290,8205,151,2001/05/31
1,2001/06/02,1908,3037,1257,1551,3733,3708,2753,1073741824,1784,1564,-14089,1545,156,2001/06/05
1,2001/06/10,2489,3239,2408,2451,3429,2413,1329,1073741824,1723,2837,-13569,1801,163,2001/06/12
1,2001/06/26,2350,3376,2243,2318,3423,2994,1895,1073741824,1462,5455,-12905,1033,184,2001/07/03
1,2001/07/04,3001,4005,2874,2988,4087,3070,1750,1073741824,2202,1384,3586,1801,190,2001/07/09
1,2001/07/12,2168,3105,2145,2188,3247,2754,1650,1073741824,1795,2846,-14187,1033,195,2001/07/14
1,2001/07/20,2003,2817,1839,2019,2888,2393,1519,1073741824,2596,4680,2629,1545,201,2001/07/20
1,2001/07/28,4982,5567,5017,5093,5288,4254,2479,1073741824,1445,4827,-14644,1033,209,2001/07/28
1,2001/08/05,1322,2936,876,1175,3591,3152,2184,1073741824,2081,1257,1678,1545,222,2001/08/10
1,2001/08/13,1839,3171,1942,1956,3238,2372,1179,1073741824,1160,5528,-17414,8206,232,2001/08/20
1,2001/08/21,1115,3430,894,1152,3549,2726,1385,1073741824,2494,4640,652,1034,233,2001/08/21
1,2001/08/29,1470,3640,749,1237,4233,3861,2719,1073741824,2222,2645,-651,8200,247,2001/09/04
1,2001/09/06,1050,2684,543,838,3279,3143,2206,1073741824,1844,1554,16449,73,252,2001/09/09
1,2001/09/14,956,2539,461,782,3079,2816,1947,1073741824,1549,4767,14948,74,257,2001/09/14
1,2001/09/22,2023,3633,1913,2065,3768,2920,1818,1073741824,2107,1545,14507,1801,268,2001/09/25
1,2001/09/30,1972,3918,1543,1851,4461,4036,2944,1073741824,2420,76,12114,1033,277,2001/10/04
1,2001/10/08,1222,3572,690,1107,3959,3447,2294,1075576832,2506,1582,13237,1033,284,2001/10/11
1,2001/10/16,586,2605,267,605,2842,2208,1189,1073741824,2842,155,14197,136,293,2001/10/20
1,2001/10/24,1079,2939,487,868,3583,3432,2400,1073741824,3180,1402,-5020,72,302,2001/10/29
1,2001/11/01,860,2505,442,721,3034,2732,1860,1073741824,3299,62,12690,72,309,2001/11/05
1,2001/11/09,901,2597,433,758,3151,2830,1934,1073741824,3423,1499,12356,72,316,2001/11/12
1,2001/11/17,1156,2660,695,994,3138,2830,2018,1073741824,3704,91,11287,72,325,2001/11/21
1,2001/11/25,1157,2639,552,862,3422,3367,2496,1073741824,3954,1330,-5609,72,334,2001/11/30
1,2001/12/03,1182,2487,491,815,3280,3414,2538,1073741824,4006,126,12837,72,341,2001/12/07
1,2001/12/11,1365,2662,617,958,3587,3542,2752,1073741824,4188,1430,-5228,72,350,2001/12/16
1,2001/12/19,1420,2359,726,1043,2989,2984,2214,1073741824,4323,2719,-5086,200,359,2001/12/25
1,2001/12/27,1019,2136,473,731,2796,2773,2055,1073741824,3992,3908,12124,72,362,2001/12/28
1,2002/01/01,1041,2179,498,758,2855,2787,2056,1073741824,3918,4776,12197,72,4,2002/01/04
1,2002/01/09,1202,2279,599,865,3117,3160,2438,1073741824,4029,1481,12876,72,15,2002/01/15
1,2002/01/17,1379,2444,677,978,3341,3448,2621,1073741824,3987,108,12429,72,24,2002/01/24
1,2002/01/25,1048,2139,405,694,2917,2974,2313,1073741824,3776,1554,13510,72,31,2002/01/31
1,2002/02/02,1044,2132,536,763,2748,2736,1999,1073741824,3538,2791,13548,137,38,2002/02/07
1,2002/02/10,1043,2042,464,708,2800,3004,2459,1073741824,3402,1463,13846,72,47,2002/02/16
1,2002/02/18,1281,2333,471,816,3276,3538,2944,1073741824,3252,80,14578,72,56,2002/02/25
1,2002/02/26,1187,2168,586,832,3130,3206,2586,1075576832,2937,1527,14517,72,63,2002/03/04
1,2002/03/06,1458,2460,643,976,3351,3735,3112,1073741824,2790,19,12712,72,72,2002/03/13
1,2002/03/14,1897,3101,793,1245,4322,4890,4061,1073741824,2984,2747,-2266,72,74,2002/03/15
1,2002/03/22,1390,2533,669,990,3405,3552,2803,1073741824,2348,73,15054,72,88,2002/03/29
1,2002/03/30,1311,2366,597,902,3207,3396,2739,1073741824,2050,1490,16926,72,95,2002/04/05
1,2002/04/07,1459,2463,640,969,3425,3832,3229,1073741824,2031,59,11417,72,104,2002/04/14
