1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
6,No Data
7,No Data
8,No Data
9,No Data
10,No Data
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
1,2000/02/26,27,5,0,128,7,2,N\A
1,2000/03/05,24,5,0,128,5,1,N\A
1,2000/03/13,23,5,0,128,5,1,N\A
1,2000/03/21,24,5,0,128,5,1,N\A
1,2000/03/29,21,4,16,136,4,1,N\A
1,2000/04/06,22,5,8,128,5,1,N\A
1,2000/04/14,21,4,16,128,5,1,N\A
1,2000/04/22,21,5,0,128,5,1,N\A
1,2000/04/30,20,4,0,128,5,1,N\A
1,2000/05/08,27,6,0,128,7,2,N\A
1,2000/05/16,23,5,8,192,5,1,N\A
1,2000/05/24,24,5,8,176,5,1,N\A
1,2000/06/01,22,4,8,192,5,1,N\A
1,2000/06/09,8,2,105,160,248,248,N\A
1,2000/06/17,24,5,8,192,7,2,N\A
1,2000/06/25,20,4,0,128,5,1,N\A
1,2000/07/03,3,1,105,160,248,248,N\A
1,2000/07/11,6,1,8,160,0,0,N\A
1,2000/07/19,31,6,8,192,7,2,N\A
1,2000/07/27,34,7,8,160,5,1,N\A
1,2000/08/20,11,2,105,160,248,248,N\A
1,2000/08/28,10,2,105,160,248,248,N\A
1,2000/09/05,45,11,0,192,0,0,N\A
1,2000/09/13,50,14,0,136,6,2,N\A
1,2000/09/21,51,14,16,160,5,2,N\A
1,2000/09/29,54,14,16,192,5,2,N\A
1,2000/10/07,39,9,16,160,4,1,N\A
1,2000/10/15,44,11,0,200,5,2,N\A
1,2000/10/23,52,13,0,128,5,2,N\A
