site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,14.889385,104.76996,28,7,601,2453
2,16.310529,99.870842,27,7,2808,1770
3,13.221547,99.8441,27,7,3454,3253
4,15.26056,100.154376,27,7,3178,2274
5,16.860409,99.783051,27,7,2637,1507
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2004/01/01,3772,2378,2116,1192,2636,615,2124,1930,4418,503,2,0,N\A
1,2004/01/17,3756,2536,2116,1329,2928,686,2593,3241,4287,422,27,0,N\A
1,2004/02/02,3696,2221,2185,1134,2464,573,2272,625,3814,378,41,1,N\A
1,2004/02/18,3738,2186,2185,1067,2341,557,2272,3378,2921,2182,62,1,N\A
1,2004/03/05,3598,2606,2120,1553,3299,783,3055,4278,3424,255,68,0,N\A
1,2004/03/21,4416,3040,2261,1234,3186,605,2510,5758,3230,134,86,1,N\A
1,2004/04/06,5084,3661,2262,1181,3624,537,2646,4351,2659,55,100,3,N\A
1,2004/04/22,5464,3130,35038,737,2513,367,1507,5722,1128,1778,115,3,N\A
1,2004/05/08,4724,3120,34842,838,2339,712,1152,5733,1093,1530,131,3,N\A
1,2004/05/24,3917,2857,2116,1514,3464,732,1994,680,2074,-362,153,0,N\A
1,2004/06/09,3516,2184,36074,1226,2556,625,761,5104,2750,-292,173,3,N\A
1,2004/06/25,4505,938,35874,247,652,179,99,2146,1978,1432,183,3,N\A
1,2004/07/11,4484,3657,35874,866,2274,1046,694,3369,1804,1522,206,3,N\A
1,2004/07/27,5492,4783,34842,733,2519,1011,822,6260,1170,1573,218,3,N\A
1,2004/08/12,6669,3837,35874,506,2533,315,812,3349,1727,1826,238,3,N\A
1,2004/08/28,6291,3085,2185,481,2113,237,442,669,2210,96,249,1,N\A
1,2004/09/13,6937,4622,2185,634,3506,237,834,3250,2680,240,267,1,N\A
1,2004/09/29,6820,3921,2257,515,2725,230,782,829,2822,2234,288,1,N\A
1,2004/10/15,6232,3836,2116,668,2878,331,1055,643,3154,499,297,0,N\A
1,2004/10/31,5021,3078,2116,948,2860,403,1377,2049,3479,494,306,0,N\A
1,2004/11/16,3862,2376,2116,1137,2568,578,1960,720,4039,2355,336,0,N\A
1,2004/12/02,3679,2350,2116,1242,2688,635,2059,716,4239,508,345,0,N\A
1,2004/12/18,3428,2223,2116,1335,2728,677,2273,689,4361,487,361,0,N\A
2,2004/01/01,5751,3700,2185,776,2877,445,1554,1095,4416,487,14,1,N\A
2,2004/01/17,5603,3047,2185,665,2360,326,1089,2994,4136,2325,19,1,N\A
2,2004/02/02,5011,2827,2185,749,2254,459,1721,2957,3830,2288,35,1,N\A
2,2004/02/18,4748,2754,2185,847,2379,474,1769,1681,3212,2175,60,1,N\A
2,2004/03/05,4982,3096,2185,881,2631,505,1850,245,3034,2211,69,1,N\A
2,2004/03/21,3880,2243,2257,1029,2334,529,1977,2879,2368,2087,83,1,N\A
2,2004/04/06,4638,2592,3298,863,2356,418,1563,6481,1218,2075,102,3,N\A
2,2004/04/22,4446,2760,2258,1019,2651,531,2052,3947,1408,1725,122,3,N\A
2,2004/05/08,5927,4237,2116,876,3426,485,1404,3664,2284,-221,144,0,N\A
2,2004/05/24,6238,4352,2116,767,3311,440,1658,1654,1802,1490,156,0,N\A
2,2004/06/09,6912,4921,3154,604,3308,426,802,3946,1634,1420,170,3,N\A
2,2004/06/25,7419,6027,3154,628,4239,404,1332,2554,2356,-293,183,3,N\A
2,2004/07/11,7515,5635,34961,563,3970,298,1009,246,2094,1645,197,1,N\A
2,2004/07/27,6703,7290,34838,1077,5457,920,1693,1203,2203,-96,222,3,N\A
2,2004/08/12,6324,6853,2062,1148,5099,1010,1321,3674,2519,36,240,3,N\A
2,2004/08/28,7653,6413,35038,652,4906,298,910,4575,2706,105,249,3,N\A
2,2004/09/13,5508,2185,34837,371,1281,413,224,1696,2350,2161,268,1,N\A
2,2004/09/29,6965,4264,2257,536,2997,238,827,1700,2762,2279,284,1,N\A
2,2004/10/15,6084,4411,2185,883,3627,450,1183,3649,3646,471,304,1,N\A
2,2004/10/31,6108,4247,2116,827,3423,414,1255,3693,4052,508,320,0,N\A
2,2004/11/16,6107,3998,2116,740,3062,398,1113,1285,4211,547,334,0,N\A
2,2004/12/02,6389,3894,2116,607,2755,348,1076,2864,4119,2397,339,0,N\A
2,2004/12/18,4864,2934,2185,898,2599,466,1532,1222,4507,503,366,1,N\A
3,2004/01/01,3947,2221,2185,969,2233,510,1672,3156,4303,441,16,1,N\A
3,2004/01/17,4065,2602,2120,1142,2707,603,2100,5012,4473,413,18,1,N\A
3,2004/02/02,4130,2312,2257,894,2152,522,1555,553,3577,349,46,1,N\A
3,2004/02/18,3425,1589,2185,806,1646,436,1158,911,3288,2151,53,1,N\A
3,2004/03/05,5101,2525,2261,640,1973,349,1072,4263,3220,205,73,1,N\A
3,2004/03/21,6173,2948,2185,471,1991,257,753,714,2315,94,94,1,N\A
3,2004/04/06,6954,3493,2185,400,2227,207,572,757,2041,1839,101,1,N\A
3,2004/04/22,7585,4350,2185,372,2710,201,613,821,1866,1659,117,1,N\A
3,2004/05/08,7228,4333,35874,355,2207,487,797,3425,1582,1519,131,3,N\A
3,2004/05/24,7708,4560,2120,369,2852,194,502,4402,1658,1355,154,0,N\A
3,2004/06/09,4645,2850,34961,978,2675,488,906,3277,2578,-349,176,1,N\A
3,2004/06/25,3998,2037,35874,806,1880,472,1306,838,2200,1401,181,3,N\A
3,2004/07/11,4249,2403,2066,833,2064,568,816,5799,1522,1371,200,3,N\A
3,2004/07/27,2901,6823,2066,1096,1992,2038,1962,4402,1657,1553,218,3,N\A
3,2004/08/12,5236,2505,2185,614,1964,290,511,625,2162,-12,238,1,N\A
3,2004/08/28,5244,2683,2186,643,2061,361,575,865,2018,1831,245,3,N\A
3,2004/09/13,8414,5300,34837,281,3263,118,595,2284,2131,2102,268,1,N\A
3,2004/09/29,7567,5401,2261,517,3733,260,721,6324,2233,2399,287,1,N\A
3,2004/10/15,8260,5122,2257,293,3076,167,532,911,2833,2275,293,1,N\A
3,2004/10/31,7122,4147,2116,463,2755,229,696,2238,3390,2362,316,0,N\A
3,2004/11/16,5085,3018,2116,805,2471,467,1393,793,3675,2340,325,0,N\A
3,2004/12/02,4392,2861,2185,1114,2859,573,1797,643,4157,498,350,1,N\A
3,2004/12/18,3812,2316,2116,1118,2496,578,1622,847,4138,2328,357,0,N\A
4,2004/01/01,4355,2607,2116,1040,2645,466,1751,1994,4437,495,7,0,N\A
4,2004/01/17,5829,3587,2185,739,2805,379,1424,3378,4028,2327,19,1,N\A
4,2004/02/02,3742,1950,2185,974,2139,407,1570,2156,3580,2244,44,1,N\A
4,2004/02/18,3260,1695,2185,951,1871,535,2232,715,3264,332,62,1,N\A
4,2004/03/05,6279,4077,2257,678,2967,400,1090,2122,3113,271,71,1,N\A
4,2004/03/21,6371,4486,2257,739,3334,441,1648,841,2370,157,94,1,N\A
4,2004/04/06,7128,4371,2257,484,2887,273,1140,3219,1847,1940,99,1,N\A
4,2004/04/22,7379,5143,2262,489,3243,372,1417,5050,1304,1813,113,3,N\A
4,2004/05/08,7416,5529,35998,577,3889,317,1260,2110,1695,1542,140,3,N\A
4,2004/05/24,6880,4698,2118,576,3117,407,1344,2110,1814,1458,156,3,N\A
4,2004/06/09,4936,4292,34838,1111,3277,977,1560,769,2198,-328,174,3,N\A
4,2004/06/25,4093,2357,34838,920,2195,559,1341,2141,2364,-321,183,3,N\A
4,2004/07/11,4751,4784,2066,1378,3873,1214,1805,6268,3079,-226,196,3,N\A
4,2004/07/27,6927,4161,34842,497,2738,301,628,4294,1600,1621,218,3,N\A
4,2004/08/12,7901,5216,2116,355,3028,313,735,751,2170,-7,238,0,N\A
4,2004/08/28,6600,6458,2066,776,3790,904,901,5070,1472,1905,241,3,N\A
4,2004/09/13,8252,5528,2116,327,3416,188,579,2147,2254,2136,268,0,N\A
4,2004/09/29,7830,6020,2257,493,4051,298,788,688,2888,432,286,1,N\A
4,2004/10/15,5416,3312,2116,800,2691,429,1114,3306,3542,460,304,0,N\A
4,2004/10/31,5011,2228,2116,541,1628,357,852,761,3749,502,318,0,N\A
4,2004/11/16,5602,2817,2116,566,2008,348,635,814,4102,543,334,0,N\A
4,2004/12/02,6494,3455,2185,478,2249,307,810,2073,4182,2375,348,1,N\A
4,2004/12/18,7316,4297,2185,416,2685,264,725,743,4399,483,366,1,N\A
5,2004/01/01,3105,1367,2185,826,1570,390,1473,193,4458,2470,5,1,N\A
5,2004/01/17,3477,1500,2185,724,1496,397,1547,2827,4191,2325,19,1,N\A
5,2004/02/02,3209,1685,2185,1023,1990,505,2290,1508,3735,2246,44,1,N\A
5,2004/02/18,2646,1618,2185,1471,2530,667,3046,1375,3405,353,62,1,N\A
5,2004/03/05,3325,1634,2261,842,1681,520,1675,6443,2389,2278,70,1,N\A
5,2004/03/21,2750,1718,2257,1477,2598,687,3117,42,2589,-375,85,1,N\A
5,2004/04/06,3423,2462,2262,1645,3358,778,3223,5458,2937,99,98,3,N\A
5,2004/04/22,3172,1638,34842,1075,2074,438,1400,5384,1152,1791,120,3,N\A
5,2004/05/08,3611,2275,2116,1293,2755,593,764,3797,2283,-206,144,0,N\A
5,2004/05/24,4067,2666,2116,1206,2860,612,1541,1463,1792,1502,156,0,N\A
5,2004/06/09,2905,1896,34961,1631,2967,686,666,38,1988,1973,165,1,N\A
5,2004/06/25,4638,3236,3226,1202,3282,590,1009,4691,2632,-248,185,3,N\A
5,2004/07/11,4943,3877,34842,1173,3467,762,768,4681,2658,-198,201,3,N\A
5,2004/07/27,3450,3020,2062,1652,3393,1186,1177,2763,1787,1620,211,3,N\A
5,2004/08/12,6123,4721,2190,940,3910,510,1185,4691,2664,-9,233,3,N\A
5,2004/08/28,6256,5899,2066,1052,4569,797,1341,6460,3133,57,244,3,N\A
5,2004/09/13,6938,4831,2185,638,3530,319,922,1349,2654,320,270,1,N\A
5,2004/09/29,7263,4687,2185,501,3161,264,744,2791,2478,2246,275,1,N\A
5,2004/10/15,6001,4237,2185,897,3590,411,1208,3778,3698,470,304,1,N\A
5,2004/10/31,4958,3234,2116,1062,3151,450,1236,2692,3803,512,311,0,N\A
5,2004/11/16,3802,2312,2116,1201,2675,526,1751,47,4016,198,325,0,N\A
5,2004/12/02,3740,2256,2116,1175,2579,543,1663,2698,4174,2394,339,0,N\A
5,2004/12/18,3730,2734,2120,1514,3316,790,2557,5416,4827,494,354,1,N\A
