site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,14.889385,104.76996,28,7,601,2453
2,16.310529,99.870842,27,7,2808,1770
3,13.221547,99.8441,27,7,3454,3253
4,15.26056,100.154376,27,7,3178,2274
5,16.860409,99.783051,27,7,2637,1507
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2005/01/01,3400,2122,2116,1286,2611,629,2287,776,4291,2359,2,0,N\A
1,2005/01/17,3426,2167,2116,1270,2594,659,2269,774,4166,2295,18,0,N\A
1,2005/02/02,3065,2131,2116,1615,3043,798,2841,751,3769,384,43,0,N\A
1,2005/02/18,3276,2350,2185,1603,3165,823,2919,2177,3639,356,52,1,N\A
1,2005/03/06,3325,2454,2185,1670,3334,854,3169,2131,3180,282,68,1,N\A
1,2005/03/22,3636,2318,2190,1287,2758,616,2032,5733,1836,2116,85,3,N\A
1,2005/04/07,3722,2246,2262,1152,2518,564,2018,5744,1370,1963,101,3,N\A
1,2005/04/23,3978,2348,35038,1052,2442,528,2129,5111,1234,1602,126,3,N\A
1,2005/05/09,4031,3367,2062,1532,3602,990,2529,3306,2293,-249,141,3,N\A
1,2005/05/25,4371,3052,34842,971,2479,794,1653,4294,1548,1411,151,3,N\A
1,2005/06/10,4532,3654,2062,1311,3485,864,1812,2154,2309,-329,164,3,N\A
1,2005/06/26,3782,1894,34837,802,1778,495,808,3340,1853,1457,192,1,N\A
1,2005/07/12,3439,1991,2116,1150,2356,549,717,2146,1967,1504,201,0,N\A
1,2005/07/28,2851,2250,2062,1735,3119,1087,1099,2146,1905,1612,217,3,N\A
1,2005/08/13,4522,3462,35037,1064,2821,869,1148,6253,1153,1873,236,1,N\A
1,2005/08/29,2578,8434,2062,2446,4146,3171,2696,2113,2332,47,244,3,N\A
1,2005/09/14,7862,3994,34893,278,2323,159,479,3330,2239,2198,272,1,N\A
1,2005/09/30,8106,4445,34837,293,2802,60,699,3359,2683,2309,288,1,N\A
1,2005/10/16,6948,4876,2120,636,3533,333,912,4272,3366,408,294,0,N\A
1,2005/11/01,5211,3138,2116,763,2424,503,1045,2229,3472,2369,313,0,N\A
1,2005/11/17,4409,2632,2116,958,2469,516,1537,571,4020,566,331,0,N\A
1,2005/12/03,4346,2537,2116,941,2388,504,1672,3405,4131,2380,352,0,N\A
1,2005/12/19,4122,2670,2116,1154,2773,605,2081,679,4371,531,363,0,N\A
2,2005/01/01,4315,2366,2185,913,2299,418,1256,224,4411,2321,7,1,N\A
2,2005/01/17,4346,2656,2185,1034,2624,515,1685,2563,4369,447,25,1,N\A
2,2005/02/02,3654,1756,2185,798,1717,457,1734,1572,3631,2232,46,1,N\A
2,2005/02/18,2654,1524,2185,1284,2212,626,2491,126,3467,2263,55,1,N\A
