id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m,MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
1,2002/01/01,1118,1633,593,859,2399,2851,2048,1073741824,6196,1743,11579,72,7,2002/01/07,0.1118,0.1633,0.0593,0.0859,0.2399,0.2851,0.2048,0.187204652854,0.0926692338144,-0.271632471008,-0.112741102961,-0.53692722372,-0.18998015873,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.187204652854,0.0926692338144,-0.271632471008,-0.112741102961,-0.53692722372,-0.18998015873
1,2002/01/09,1140,1619,580,881,2208,2540,1894,1073741824,6111,602,11585,136,16,2002/01/16,0.114,0.1619,0.058,0.0881,0.2208,0.254,0.1894,0.173613628126,0.0848749025445,-0.221447463333,-0.0782806717905,-0.484945922245,-0.153906454142,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.173613628126,0.0848749025445,-0.221447463333,-0.0782806717905,-0.484945922245,-0.153906454142
1,2002/01/17,1292,1839,693,1012,2671,3076,2455,1073741824,5916,3688,11699,72,21,2002/01/21,0.1292,0.1839,0.0693,0.1012,0.2671,0.3076,0.2455,0.174704567231,0.0950081634071,-0.251678535097,-0.143455985095,-0.504892367906,-0.184478935698,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.174704567231,0.0950081634071,-0.251678535097,-0.143455985095,-0.504892367906,-0.184478935698
1,2002/01/25,1214,1745,626,940,2636,3023,2437,1073741824,5977,519,-5483,72,25,2002/01/25,0.1214,0.1745,0.0626,0.094,0.2636,0.3023,0.2437,0.179452517742,0.0926119715362,-0.268036912752,-0.165471066475,-0.525611910169,-0.20337822415,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.179452517742,0.0926119715362,-0.268036912752,-0.165471066475,-0.525611910169,-0.20337822415
1,2002/02/02,1707,2513,877,1327,3294,3632,2555,1073741824,5923,5087,-5326,138,38,2002/02/07,0.1707,0.2513,0.0877,0.1327,0.3294,0.3632,0.2555,0.190995260664,0.124555710091,-0.182099267697,-0.00828729281768,-0.464811453922,-0.134492853453,0000000010001010,mixed,no,land,average,none,no cloud,no fire,no,no,no,no,Yes,Yes,0.178679373836,0.0943245691332,-0.272994834329,-0.165727802451,-0.528191477367,-0.193770962609
1,2002/02/10,1280,1834,679,995,2662,3246,2564,1073741824,5556,609,-5303,72,41,2002/02/10,0.128,0.1834,0.0679,0.0995,0.2662,0.3246,0.2564,0.177906229929,0.0960371667302,-0.277952755906,-0.165984538427,-0.530771044565,-0.184163701068,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.177906229929,0.0960371667302,-0.277952755906,-0.165984538427,-0.530771044565,-0.184163701068
1,2002/02/18,1640,2323,866,1283,3257,3726,3022,1073741824,5362,3667,-5196,74,52,2002/02/21,0.164,0.2323,0.0866,0.1283,0.3257,0.3726,0.3022,0.172344183699,0.108980086801,-0.231939163498,-0.130776426567,-0.48772210022,-0.167383512545,0000000001001010,mixed,no,land,low,none,no cloud,no fire,no,no,no,no,Yes,Yes,0.176643586777,0.0988615948352,-0.264655474562,-0.156487992298,-0.519207409501,-0.183879399965
1,2002/02/26,1570,2266,819,1219,3153,3642,2899,1073741824,5052,2750,-5254,74,59,2002/02/28,0.157,0.2266,0.0819,0.1219,0.3153,0.3642,0.2899,0.181438998957,0.111943899379,-0.232904536222,-0.122555663117,-0.498457107591,-0.163683336409,0000000001001010,mixed,no,land,low,none,no cloud,no fire,no,no,no,no,Yes,Yes,0.175380943625,0.10168602294,-0.251358193219,-0.146991446169,-0.507643774437,-0.183595098862
1,2002/03/06,1487,2114,805,1157,3063,3435,2788,1073741824,4732,1732,-5138,72,66,2002/03/07,0.1487,0.2114,0.0805,0.1157,0.3063,0.3435,0.2788,0.174118300472,0.104510451045,-0.238060911876,-0.137494900041,-0.496080139373,-0.183310797759,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.174118300472,0.104510451045,-0.238060911876,-0.137494900041,-0.496080139373,-0.183310797759
1,2002/03/14,1519,2148,809,1178,3107,3552,2922,1073741824,4405,611,-4651,72,73,2002/03/14,0.1519,0.2148,0.0809,0.1178,0.3107,0.3552,0.2922,0.171529860922,0.103491394913,-0.246315789474,-0.152662721893,-0.501902748414,-0.182492863939,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.171529860922,0.103491394913,-0.246315789474,-0.152662721893,-0.501902748414,-0.182492863939
1,2002/03/22,2006,2866,1057,1585,3788,4329,3312,1073741824,4322,6075,-4233,136,88,2002/03/29,0.2006,0.2866,0.1057,0.1585,0.3788,0.4329,0.3312,0.176518883415,0.126660579104,-0.203335649757,-0.0721916477825,-0.463983767332,-0.138563270213,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.176518883415,0.126660579104,-0.203335649757,-0.0721916477825,-0.463983767332,-0.138563270213
1,2002/03/30,1663,2378,846,1275,3217,3696,2976,1073741824,3776,582,-4696,136,89,2002/03/30,0.1663,0.2378,0.0846,0.1275,0.3217,0.3696,0.2976,0.176936401881,0.111641996128,-0.216990451103,-0.111692192753,-0.487024743512,-0.149955317248,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.176936401881,0.111641996128,-0.216990451103,-0.111692192753,-0.487024743512,-0.149955317248
1,2002/04/07,1407,2077,731,1078,2878,3224,2449,1073741824,3139,1707,12804,72,103,2002/04/13,0.1407,0.2077,0.0731,0.1078,0.2878,0.3224,0.2449,0.192307692308,0.11139560403,-0.216374269006,-0.0821917808219,-0.498837749884,-0.161654894046,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.192307692308,0.11139560403,-0.216374269006,-0.0821917808219,-0.498837749884,-0.161654894046
1,2002/04/15,1441,2091,769,1122,3005,3539,2848,1073741824,2885,613,12566,136,112,2002/04/22,0.1441,0.2091,0.0769,0.1122,0.3005,0.3539,0.2848,0.184031710079,0.108554059922,-0.257193605684,-0.153269892691,-0.518558249303,-0.179356357928,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.184031710079,0.108554059922,-0.257193605684,-0.153269892691,-0.518558249303,-0.179356357928
