id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m,MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
1,2006/01/01,1264,1850,327,887,1662,1335,1037,1073741824,6019,4080,11670,201,7,2006/01/07,0.1264,0.185,0.0327,0.0887,0.1662,0.1335,0.1037,0.188182402055,0.0862703530312,0.16169544741,0.281607204711,-0.201620162016,0.0535307517084,0000000011001001,cloudy,no,land,high,none,no cloud,no fire,no,no,no,no,Yes,NA,0.188182402055,0.0862703530312,0.16169544741,0.281607204711,-0.201620162016,0.0535307517084
1,2006/01/09,2857,2821,2761,2867,2663,1866,1266,1073741824,5929,3208,11841,73,16,2006/01/16,0.2857,0.2821,0.2761,0.2867,0.2663,0.1866,0.1266,-0.00634026065516,-0.00972394792286,0.203755067207,0.380474675801,0.211493767167,0.028811086798,0000000001001001,cloudy,no,land,low,none,no cloud,no fire,no,no,no,no,Yes,NA,-0.00634026065516,-0.00972394792286,0.203755067207,0.380474675801,0.211493767167,0.028811086798
1,2006/01/17,824,1247,422,646,1621,1638,1375,1073741824,5763,4042,11946,136,23,2006/01/23,0.0824,0.1247,0.0422,0.0646,0.1621,0.1638,0.1375,0.204249154998,0.0811837862736,-0.135528596187,-0.048817696415,-0.434325744308,-0.13040446304,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.204249154998,0.0811837862736,-0.135528596187,-0.048817696415,-0.434325744308,-0.13040446304
1,2006/01/25,1123,1608,509,871,2028,1966,1706,1073741824,5833,96,-2980,202,27,2006/01/27,0.1123,0.1608,0.0509,0.0871,0.2028,0.1966,0.1706,0.177590626144,0.0834566541625,-0.100167879127,-0.0295715147858,-0.385971096228,-0.115511551155,0000000011001010,mixed,no,land,high,none,no cloud,no fire,no,no,no,no,Yes,Yes,0.207860878869,0.085318823457,-0.124051535472,-0.0364778137247,-0.435090836541,-0.129281097817
1,2006/02/02,921,1415,418,697,1831,1774,1485,1073741824,5611,1125,12329,136,34,2006/02/03,0.0921,0.1415,0.0418,0.0697,0.1831,0.1774,0.1485,0.21147260274,0.0894538606403,-0.112574474757,-0.0241379310345,-0.435855928774,-0.128157732594,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.21147260274,0.0894538606403,-0.112574474757,-0.0241379310345,-0.435855928774,-0.128157732594
1,2006/02/10,1090,1698,540,844,1997,2189,1773,1073741824,5395,66,-1271,200,43,2006/02/12,0.109,0.1698,0.054,0.0844,0.1997,0.2189,0.1773,0.218077474892,0.107132788272,-0.126318497556,-0.0216076058773,-0.443455324761,-0.0809201623816,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.218077474892,0.107132788272,-0.126318497556,-0.0216076058773,-0.443455324761,-0.0809201623816
1,2006/02/18,1082,1716,581,880,2105,2083,1735,1073741824,5113,1162,12575,200,50,2006/02/19,0.1082,0.1716,0.0581,0.088,0.2105,0.2083,0.1735,0.22659042173,0.114436301939,-0.0966043695709,-0.00550565053608,-0.406007424907,-0.101805809997,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.22659042173,0.114436301939,-0.0966043695709,-0.00550565053608,-0.406007424907,-0.101805809997
1,2006/02/26,953,1851,533,844,1999,2037,1449,1073741824,4887,2335,-5034,200,61,2006/03/02,0.0953,0.1851,0.0533,0.0844,0.1999,0.2037,0.1449,0.320256776034,0.165420181999,-0.0478395061728,0.121818181818,-0.414092329052,-0.0384415584416,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.320256776034,0.165420181999,-0.0478395061728,0.121818181818,-0.414092329052,-0.0384415584416
1,2006/03/06,1358,2338,731,1247,2558,2285,1704,1073741824,4683,4844,-4648,202,72,2006/03/13,0.1358,0.2338,0.0731,0.1247,0.2558,0.2285,0.1704,0.265151515152,0.163295231113,0.0114644170452,0.156853043048,-0.293884484711,-0.0449346405229,0000000011001010,mixed,no,land,high,none,no cloud,no fire,no,no,no,no,Yes,NA,0.265151515152,0.163295231113,0.0114644170452,0.156853043048,-0.293884484711,-0.0449346405229
1,2006/03/14,1096,2230,581,1007,2263,2210,1593,1073741824,4229,10,-11899,202,75,2006/03/16,0.1096,0.223,0.0581,0.1007,0.2263,0.221,0.1593,0.340950090198,0.196214139876,0.0045045045045,0.166623070887,-0.373950885919,-0.00734475851324,0000000011001010,mixed,no,land,high,none,no cloud,no fire,no,no,no,no,Yes,NA,0.340950090198,0.196214139876,0.0045045045045,0.166623070887,-0.373950885919,-0.00734475851324
