site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,36.690822481,118.712596893,27,5,623,397
2,36.7231130556,118.60625267,27,5,608,393
3,36.7352202425,118.585481644,27,5,604,391
id,Date,MODIS/Terra Gross Primary Production (GPP) 8-Day L4 Global 1km SIN Grid,MODIS/Terra Net Photosynthesis (GPP - maint resp) 8-Day L4 Global 1km SIN Grid,MODIS/Terra QC for 8-day GPP/PSN,actual_date
1,2000/02/18,0,0,105,N\A
1,2000/02/26,17,13,0,N\A
1,2000/03/05,31,26,8,N\A
1,2000/03/13,48,40,16,N\A
1,2000/03/21,71,61,16,N\A
1,2000/03/29,165,140,16,N\A
1,2000/04/06,130,109,16,N\A
1,2000/04/14,318,254,16,N\A
1,2000/04/22,157,121,0,N\A
1,2000/04/30,200,159,0,N\A
1,2000/05/08,21,19,8,N\A
1,2000/05/16,258,202,0,N\A
1,2000/05/24,169,132,16,N\A
1,2000/06/01,262,206,0,N\A
1,2000/06/09,153,101,0,N\A
1,2000/06/17,73,53,8,N\A
1,2000/06/25,154,111,0,N\A
1,2000/07/03,158,115,8,N\A
1,2000/07/11,125,84,16,N\A
1,2000/07/19,119,82,0,N\A
1,2000/07/27,122,90,0,N\A
1,2000/08/04,21,13,105,N\A
1,2000/08/12,24,16,105,N\A
1,2000/08/20,200,156,0,N\A
1,2000/08/28,163,95,0,N\A
1,2000/09/05,260,199,0,N\A
1,2000/09/13,317,251,0,N\A
1,2000/09/21,218,149,0,N\A
1,2000/09/29,272,162,0,N\A
1,2000/10/07,156,105,0,N\A
1,2000/10/15,158,106,0,N\A
1,2000/10/23,68,45,0,N\A
1,2000/10/31,80,62,0,N\A
1,2000/11/08,21,12,0,N\A
1,2000/11/16,11,10,16,N\A
1,2000/11/24,0,0,105,N\A
1,2000/12/02,5,4,0,N\A
1,2000/12/10,0,0,0,N\A
1,2000/12/18,0,0,16,N\A
1,2000/12/26,0,0,8,N\A
2,2000/02/18,0,0,105,N\A
2,2000/02/26,17,13,0,N\A
2,2000/03/05,27,23,16,N\A
2,2000/03/13,50,43,0,N\A
2,2000/03/21,71,63,0,N\A
2,2000/03/29,225,191,16,N\A
2,2000/04/06,131,109,0,N\A
2,2000/04/14,292,235,0,N\A
2,2000/04/22,171,132,0,N\A
2,2000/04/30,200,157,0,N\A
2,2000/05/08,205,153,0,N\A
2,2000/05/16,307,225,0,N\A
2,2000/05/24,203,152,0,N\A
2,2000/06/01,203,159,0,N\A
2,2000/06/09,108,73,0,N\A
2,2000/06/17,115,78,8,N\A
2,2000/06/25,193,135,0,N\A
2,2000/07/03,296,202,0,N\A
2,2000/07/11,341,184,0,N\A
2,2000/07/19,347,206,0,N\A
2,2000/07/27,326,217,0,N\A
2,2000/08/04,79,51,105,N\A
2,2000/08/12,89,61,105,N\A
2,2000/08/20,345,235,0,N\A
2,2000/08/28,245,119,0,N\A
2,2000/09/05,293,222,0,N\A
2,2000/09/13,222,175,0,N\A
2,2000/09/21,133,103,0,N\A
2,2000/09/29,83,67,0,N\A
2,2000/10/07,38,29,0,N\A
2,2000/10/15,56,46,16,N\A
2,2000/10/23,20,14,8,N\A
2,2000/10/31,37,31,0,N\A
2,2000/11/08,6,4,0,N\A
2,2000/11/16,10,8,0,N\A
2,2000/11/24,7,4,8,N\A
2,2000/12/02,13,8,0,N\A
2,2000/12/10,5,5,0,N\A
2,2000/12/18,0,0,16,N\A
2,2000/12/26,0,0,16,N\A
3,2000/02/18,0,0,105,N\A
3,2000/02/26,18,15,0,N\A
3,2000/03/05,32,29,0,N\A
3,2000/03/13,58,50,0,N\A
3,2000/03/21,103,90,0,N\A
3,2000/03/29,262,226,16,N\A
3,2000/04/06,149,126,0,N\A
3,2000/04/14,330,269,0,N\A
3,2000/04/22,194,153,0,N\A
3,2000/04/30,258,200,0,N\A
3,2000/05/08,216,163,0,N\A
3,2000/05/16,307,248,0,N\A
3,2000/05/24,223,172,0,N\A
3,2000/06/01,198,162,0,N\A
3,2000/06/09,103,75,0,N\A
3,2000/06/17,77,58,0,N\A
3,2000/06/25,106,82,0,N\A
3,2000/07/03,262,186,0,N\A
3,2000/07/11,292,185,0,N\A
3,2000/07/19,343,224,0,N\A
3,2000/07/27,357,244,0,N\A
3,2000/08/04,13,13,105,N\A
3,2000/08/12,14,14,105,N\A
3,2000/08/20,363,263,0,N\A
3,2000/08/28,237,128,0,N\A
3,2000/09/05,283,220,0,N\A
3,2000/09/13,216,174,0,N\A
3,2000/09/21,121,96,0,N\A
3,2000/09/29,79,65,0,N\A
3,2000/10/07,27,21,0,N\A
3,2000/10/15,53,45,16,N\A
3,2000/10/23,31,24,0,N\A
3,2000/10/31,44,37,0,N\A
3,2000/11/08,8,4,0,N\A
3,2000/11/16,13,10,0,N\A
3,2000/11/24,7,5,8,N\A
3,2000/12/02,14,10,0,N\A
3,2000/12/10,5,5,0,N\A
3,2000/12/18,1,0,0,N\A
3,2000/12/26,1,0,0,N\A
