1,No Data
site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
2,37.2,12.0,18,5,1147,335

No dataid,Date,MODIS/Terra Gross Primary Production (GPP) 8-Day L4 Global 1km SIN Grid,MODIS/Terra Net Photosynthesis (GPP - maint resp) 8-Day L4 Global 1km SIN Grid,MODIS/Terra QC for 8-day GPP/PSN,actual_date
2,2000/02/18,32766,32766,255,N\A
2,2000/02/26,32766,32766,255,N\A
2,2000/03/05,32766,32766,255,N\A
2,2000/03/13,32766,32766,255,N\A
2,2000/03/21,32766,32766,255,N\A
2,2000/03/29,32766,32766,255,N\A
2,2000/04/06,32766,32766,255,N\A
2,2000/04/14,32766,32766,255,N\A
2,2000/04/22,32766,32766,255,N\A
2,2000/04/30,32766,32766,255,N\A
2,2000/05/08,32766,32766,255,N\A
2,2000/05/16,32766,32766,255,N\A
2,2000/05/24,32766,32766,255,N\A
2,2000/06/01,32766,32766,255,N\A
2,2000/06/09,32766,32766,255,N\A
2,2000/06/17,32766,32766,255,N\A
2,2000/06/25,32766,32766,255,N\A
2,2000/07/03,32766,32766,255,N\A
2,2000/07/11,32766,32766,255,N\A
2,2000/07/19,32766,32766,255,N\A
2,2000/07/27,32766,32766,255,N\A
2,2000/08/04,32766,32766,255,N\A
2,2000/08/20,32766,32766,255,N\A
2,2000/08/28,32766,32766,255,N\A
2,2000/09/05,32766,32766,255,N\A
2,2000/09/13,32766,32766,255,N\A
2,2000/09/21,32766,32766,255,N\A
2,2000/09/29,32766,32766,255,N\A
2,2000/10/07,32766,32766,255,N\A
2,2000/10/15,32766,32766,255,N\A
2,2000/10/23,32766,32766,255,N\A
2,2000/10/31,32766,32766,255,N\A
2,2000/11/08,32766,32766,255,N\A
2,2000/11/16,32766,32766,255,N\A
2,2000/11/24,32766,32766,255,N\A
2,2000/12/02,32766,32766,255,N\A
2,2000/12/10,32766,32766,255,N\A
2,2000/12/18,32766,32766,255,N\A
2,2000/12/26,32766,32766,255,N\A
