site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
61,12.971637,120.830057,29,7,3718,3373
62,12.40737,121.046508,29,7,3945,3644
63,12.340134,121.170515,29,7,4018,3676
64,13.230624,121.257164,29,7,3858,3249
65,10.652135,119.493672,29,7,3568,4486
66,10.668567,119.470909,29,7,3554,4479
67,9.366401,118.456632,29,8,3301,304
68,8.714167,117.743065,29,8,3064,617
69,8.08227,123.506419,30,8,1094,920
70,7.868412,123.484973,30,8,1114,1023
71,7.786051,122.982379,30,8,887,1062
72,7.650617,122.850755,30,8,843,1127
73,7.507213,123.351302,30,8,1101,1196
74,7.861127,122.520327,30,8,657,1026
75,14.14799,122.924476,29,7,4414,2808
76,13.604707,123.122114,29,7,4640,3069
77,13.50613,123.277828,29,7,4736,3117
78,13.283444,123.527968,30,7,107,3223
79,12.927565,123.805392,30,7,320,3394
80,12.89,123.799085,30,7,326,3412
81,12.716405,124.008861,30,7,464,3496
82,10.898434,122.647957,30,7,209,4368
83,10.752442,122.485416,30,7,160,4438
84,11.363732,122.739258,30,7,159,4145
85,10.759446,121.998863,29,7,4729,4435
86,10.763421,121.986677,29,7,4723,4433
87,11.143128,122.468119,30,7,76,4251
88,10.556672,122.920172,30,7,403,4532
89,10.189371,122.944362,30,7,482,4709
90,9.963671,122.817143,30,8,463,17
91,9.119513,123.035243,30,8,710,422
92,9.889339,124.022938,30,8,1046,53
93,11.048044,124.527249,30,7,1065,4296
94,11.170972,124.512619,30,7,1033,4237
95,11.184684,124.942315,30,7,1233,4231
96,11.120902,124.96439,30,7,1256,4261
97,11.049578,124.990612,30,7,1283,4296
98,10.690659,125.000179,30,7,1358,4468
99,10.38718,124.763971,30,7,1305,4614
100,7.95065,123.737432,30,8,1223,983
101,7.944943,123.784221,30,8,1246,986
102,8.091085,124.233147,30,8,1438,916
103,8.27297,124.711303,30,8,1638,828
104,7.981357,125.161778,30,8,1895,968
105,7.83664,125.140285,30,8,1906,1038
106,7.659747,126.05561,30,8,2366,1123
107,7.414352,125.737122,30,8,2249,1241
108,6.939792,126.005324,30,8,2439,1468
109,6.703197,125.300778,30,8,2133,1582
110,7.056759,124.858556,30,8,1878,1412
111,6.54765,124.877744,30,8,1950,1657
112,6.538818,124.665855,30,8,1850,1661
113,6.647342,124.07798,30,8,1557,1609
114,9.299643,125.969187,30,8,2070,336
115,9.064081,125.596527,30,8,1933,449
116,8.922705,125.992527,30,8,2144,517
117,8.568238,125.894741,30,8,2155,687
118,8.060933,126.037643,30,8,2300,930
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
61,2008/01/01,3277,1052,2116,522,1031,276,509,2526,4241,442,16,0,N\A
61,2008/01/17,3040,852,2116,468,877,226,357,1185,4070,442,23,0,N\A
61,2008/02/02,5504,2002,2185,405,1397,192,456,1718,3629,2233,37,1,N\A
61,2008/02/18,7789,5252,2116,433,3484,208,806,2581,3255,275,64,0,N\A
61,2008/03/05,7267,4333,2116,440,2780,256,745,1267,2939,258,71,0,N\A
61,2008/03/21,8424,5101,2116,252,2947,167,690,3956,2099,2033,83,0,N\A
61,2008/04/06,7959,4850,2116,354,3116,134,619,2939,1700,1776,108,0,N\A
61,2008/04/22,7487,4923,36002,469,3265,251,710,5550,1204,1717,113,3,N\A
61,2008/05/08,6458,3114,35878,457,2124,198,585,4033,1504,1505,131,3,N\A
61,2008/05/24,5008,2676,2116,760,2285,347,1024,1185,2202,-355,151,0,N\A
61,2008/06/09,5102,2612,2116,679,2094,350,927,3673,2595,-348,169,0,N\A
61,2008/06/25,6579,3386,34842,465,2254,245,629,4043,1870,1348,179,3,N\A
61,2008/07/11,4847,1726,3222,448,1291,236,453,2977,1943,1461,204,3,N\A
61,2008/07/27,5652,2954,34842,585,2106,366,666,5958,3038,-209,212,3,N\A
61,2008/08/12,6255,2414,2116,358,1554,176,454,2986,1753,1744,236,0,N\A
61,2008/08/28,5528,2268,2116,474,1646,210,573,1184,2198,47,247,0,N\A
61,2008/09/13,6429,5852,2066,838,3856,799,953,5946,2975,115,260,3,N\A
61,2008/09/29,6877,3062,2116,355,1919,171,516,1736,2330,2182,277,0,N\A
61,2008/10/15,7023,3652,2116,416,2379,192,766,1194,2972,454,295,0,N\A
61,2008/10/31,6179,3271,2116,563,2384,246,865,1673,3192,2351,309,0,N\A
61,2008/11/16,6072,3075,2120,528,2161,274,984,4014,3435,2401,323,0,N\A
61,2008/12/02,5893,2745,2116,503,1947,242,738,2994,3927,2377,348,0,N\A
61,2008/12/18,4055,1451,34965,513,1213,298,680,4898,3890,2389,362,1,N\A
62,2008/01/01,5196,3486,2116,964,3050,517,1670,2259,4182,457,16,0,N\A
62,2008/01/17,5285,3599,2116,991,3213,497,1561,613,3805,2269,30,0,N\A
62,2008/02/02,5107,3578,4164,1045,3227,567,2033,878,3719,367,39,0,N\A
62,2008/02/18,5200,1223,3098,227,719,270,328,3224,2851,2153,60,3,N\A
62,2008/03/05,4210,2967,2116,1349,3311,650,2144,949,2888,245,71,0,N\A
62,2008/03/21,6292,3710,34841,584,2566,362,1416,6195,1530,2061,88,1,N\A
62,2008/04/06,3651,2571,2120,1503,3232,725,2233,4483,2697,22,98,0,N\A
62,2008/04/22,4259,2766,36889,1014,2519,667,1515,5690,1179,1693,113,1,N\A
62,2008/05/08,5877,3756,34893,768,2958,399,1454,603,1998,1449,142,1,N\A
