site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,16.157,95.668,27,7,906,1844
2,16.940821,96.645938,27,7,1177,1468
3,16.903272,97.345542,27,7,1507,1486
4,18.045487,96.621695,27,7,897,938
5,20.25627,93.137471,26,6,3541,4676
6,17.623545,95.68156,27,7,571,1140
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2003/01/01,2997,1804,2116,1252,2324,665,2096,585,4363,2320,7,0,N\A
1,2003/01/17,2758,1833,2116,1487,2620,812,2650,2158,4314,461,25,0,N\A
1,2003/02/02,2625,1573,2116,1334,2284,693,2435,694,3851,2259,39,0,N\A
1,2003/02/18,2693,1686,2116,1374,2387,749,2659,640,3413,2164,55,0,N\A
1,2003/03/06,2374,1472,2185,1469,2384,755,2685,623,2917,2159,71,1,N\A
1,2003/03/22,2098,1045,2189,1103,1689,572,2076,4246,1913,2049,92,1,N\A
1,2003/04/07,1802,1093,2185,1435,2066,834,3103,657,2038,1899,103,1,N\A
1,2003/04/23,1785,1044,2185,1456,2089,757,2499,2007,1638,1683,126,1,N\A
1,2003/05/09,1951,1306,2258,1709,2538,923,3036,3371,2215,-145,130,3,N\A
1,2003/05/25,202,295,2062,2907,3027,2711,1361,3294,1574,1487,149,3,N\A
1,2003/06/10,155,399,2066,4125,4255,4116,2599,5094,2637,-266,164,3,N\A
1,2003/06/26,346,355,2066,2355,2524,1970,1125,4226,1655,1445,188,3,N\A
1,2003/07/12,1758,743,36074,923,1317,482,310,4409,2635,-205,203,3,N\A
1,2003/07/28,3455,3555,2066,1389,2856,1450,711,5636,1301,1643,218,3,N\A
1,2003/08/13,5271,3534,35878,850,2745,592,658,4385,2608,-4,235,3,N\A
1,2003/08/29,3424,4052,2066,1882,3842,1739,1086,5807,2974,121,253,3,N\A
1,2003/09/14,6740,6956,36002,602,3092,1034,848,4197,2114,2220,268,3,N\A
1,2003/09/30,7112,4669,34897,527,3123,318,804,4217,2574,2329,284,1,N\A
1,2003/10/16,7487,6480,2189,693,4824,406,1079,5135,3480,400,292,1,N\A
1,2003/11/01,5731,3978,2116,864,3184,505,1203,2141,3755,520,313,0,N\A
1,2003/11/17,4158,2574,2116,1067,2586,565,1336,803,3958,2408,327,0,N\A
