id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m,MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
1,2000/02/18,3001,2745,3509,3223,1707,953,736,1073741824,5687,2948,11542,1545,56,2000/02/25,0.3001,0.2745,0.3509,0.3223,0.1707,0.0953,0.0736,-0.0445527323355,-0.144355475358,0.484586262845,0.577133007756,0.543582375479,0.233153638814,0000011000001001,cloudy,no,land,climatology,average,cloud,no fire,no,no,no,no,Yes,NA,-0.0445527323355,-0.144355475358,0.484586262845,0.577133007756,0.543582375479,0.233153638814
1,2000/02/26,3900,3987,4102,4145,2002,737,378,1073741824,5525,5747,11204,45064,59,2000/02/28,0.39,0.3987,0.4102,0.4145,0.2002,0.0737,0.0378,0.011030810194,0.0328450619148,0.687976291279,0.826804123711,0.698074559607,0.331440975121,1011000000001000,clear,no,land,climatology,none,no cloud,no fire,yes,yes,no,yes,No,No,0.011030810194,0.0328450619148,0.687976291279,0.826804123711,0.698074559607,0.331440975121
1,2000/03/05,1317,2235,1171,1246,2242,1902,1241,1073741824,5065,2966,11535,72,72,2000/03/12,0.1317,0.2235,0.1171,0.1246,0.2242,0.1902,0.1241,0.258445945946,0.202122506495,0.08049311095,0.285960874568,-0.208386277001,-0.00156354701809,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.258445945946,0.202122506495,0.08049311095,0.285960874568,-0.208386277001,-0.00156354701809
1,2000/03/13,6368,6559,5789,6159,3362,1055,436,1073741824,4991,4157,-5757,36936,80,2000/03/20,0.6368,0.6559,0.5789,0.6159,0.3362,0.1055,0.0436,0.014775276553,0.0420723379885,0.722878907276,0.875339528234,0.707513168838,0.322245741357,1001000001001000,clear,no,land,low,none,no cloud,no fire,yes,no,no,yes,No,No,0.014775276553,0.0420723379885,0.722878907276,0.875339528234,0.707513168838,0.322245741357
1,2000/03/21,7189,6662,6604,7023,2363,574,230,1073741824,4721,2182,11537,36936,81,2000/03/21,0.7189,0.6662,0.6604,0.7023,0.2363,0.0574,0.023,-0.0380477943831,-0.128336255601,0.841348811498,0.933255948926,0.848887718836,0.476343490305,1001000001001000,clear,no,land,low,none,no cloud,no fire,yes,no,no,yes,No,No,-0.0380477943831,-0.128336255601,0.841348811498,0.933255948926,0.848887718836,0.476343490305
1,2000/03/29,1142,2303,1195,1150,2540,2141,1427,1073741824,4137,3793,11224,8206,95,2000/04/04,0.1142,0.2303,0.1195,0.115,0.254,0.2141,0.1427,0.337010159652,0.284768211921,0.0364536453645,0.234852546917,-0.301124278335,-0.0489366095395,0010000000001110,mixed,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,Yes,0.213426433934,0.0641447948827,0.411357635563,0.554769426205,0.154232520941,0.189784648378
1,2000/04/06,808,2212,451,685,2686,2296,1549,1073741824,4058,306,10904,200,99,2000/04/08,0.0808,0.2212,0.0451,0.0685,0.2686,0.2296,0.1549,0.464900662252,0.256625845366,-0.0186335403727,0.176282903483,-0.540422676954,-0.0967741935484,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.464900662252,0.256625845366,-0.0186335403727,0.176282903483,-0.540422676954,-0.0967741935484
1,2000/04/14,422,2506,188,466,2453,1878,799,1073741824,3777,4116,-5537,200,112,2000/04/21,0.0422,0.2506,0.0188,0.0466,0.2453,0.1878,0.0799,0.71174863388,0.382301144702,0.143248175182,0.516490166415,-0.602389078498,0.0106876386368,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.71174863388,0.382301144702,0.143248175182,0.516490166415,-0.602389078498,0.0106876386368
1,2000/04/22,501,2722,320,580,2731,1806,950,1073741824,3508,2264,11348,200,113,2000/04/22,0.0501,0.2722,0.032,0.058,0.2731,0.1806,0.095,0.689109525287,0.416604141657,0.202296819788,0.4825708061,-0.513830678961,-0.0016504676325,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.689109525287,0.416604141657,0.202296819788,0.4825708061,-0.513830678961,-0.0016504676325
1,2000/04/30,137,1880,96,258,1797,923,338,1073741824,3237,664,-5662,8204,124,2000/05/03,0.0137,0.188,0.0096,0.0258,0.1797,0.0923,0.0338,0.864154685176,0.363670505759,0.341419907242,0.695220919748,-0.563082133785,0.0225727495241,0010000000001100,clear,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,Yes,0.760385552002,0.523905142455,0.309411479034,0.606729458274,-0.495915766648,0.0654414508271
