site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,26.7478,115.0631,28,6,330,390
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
1,2006/01/01,35,6,16,200,0,0,N\A
1,2006/01/09,23,3,16,136,0,0,N\A
1,2006/01/17,8,1,8,160,0,0,N\A
1,2006/01/25,32,7,0,136,5,1,N\A
1,2006/02/02,3,0,105,160,248,248,N\A
1,2006/02/10,35,8,0,136,5,1,N\A
1,2006/02/18,36,8,0,160,7,2,N\A
1,2006/02/26,35,8,0,136,4,1,N\A
1,2006/03/06,13,2,8,160,6,1,N\A
1,2006/03/14,12,3,16,136,0,0,N\A
1,2006/03/22,28,8,16,192,4,1,N\A
1,2006/03/30,42,13,0,136,5,2,N\A
1,2006/04/07,9,2,8,176,5,1,N\A
1,2006/04/15,38,12,0,136,5,2,N\A
1,2006/04/23,12,3,8,176,7,2,N\A
1,2006/05/01,58,23,0,136,3,2,N\A
1,2006/05/09,38,11,8,192,5,2,N\A
1,2006/05/17,59,24,0,136,3,2,N\A
1,2006/05/25,13,3,8,176,6,2,N\A
1,2006/06/02,61,26,0,136,3,2,N\A
1,2006/06/10,34,12,0,200,3,1,N\A
1,2006/06/18,74,36,0,160,3,4,N\A
1,2006/06/26,62,25,0,128,4,3,N\A
1,2006/07/04,59,25,16,192,4,3,N\A
1,2006/07/12,50,18,16,160,5,3,N\A
1,2006/07/20,65,27,0,136,4,3,N\A
1,2006/07/28,71,27,0,192,4,3,N\A
1,2006/08/05,50,19,8,160,4,2,N\A
1,2006/08/13,81,36,0,136,3,4,N\A
1,2006/08/21,60,19,16,192,5,3,N\A
1,2006/08/29,79,34,0,136,4,4,N\A
1,2006/09/06,82,38,0,136,4,5,N\A
1,2006/09/14,59,19,0,192,4,2,N\A
1,2006/09/22,73,29,0,136,3,3,N\A
1,2006/09/30,70,22,0,136,4,2,N\A
1,2006/10/08,56,14,16,136,4,2,N\A
1,2006/10/16,36,9,0,136,0,0,N\A
1,2006/10/24,53,15,16,136,3,1,N\A
1,2006/11/01,53,14,0,136,4,2,N\A
1,2006/11/09,48,12,0,136,3,1,N\A
1,2006/11/17,1,0,105,160,248,248,N\A
1,2006/11/25,2,0,105,160,248,248,N\A
1,2006/12/03,26,6,0,200,0,0,N\A
1,2006/12/11,37,6,0,136,0,0,N\A
1,2006/12/19,43,8,0,136,5,1,N\A
1,2006/12/27,52,10,0,136,5,1,N\A
