1,38.4316,-120.966,8,5,628,188
2,38.4133,-120.9507,8,5,627,190
3,29.9495,-97.9962,9,6,610,6
4,31.8214,-110.8661,8,5,695,981
5,-25.0197,31.4969,20,11,1024,602
6,-19.9155,23.5605,20,10,258,1189
7,39.9415,-5.7734,17,5,668,7

No data
No dataid,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
1,2002/07/04,16250,0,128,35,14609,0,17,40,246,248,15,15,N\A
1,2002/07/12,16019,0,132,76,14433,0,18,48,246,248,247,254,N\A
1,2002/07/20,16002,0,130,52,14417,0,19,56,246,248,255,255,N\A
1,2002/07/28,15722,0,137,118,14407,0,23,79,247,248,1,3,N\A
1,2002/08/05,16146,0,129,47,14547,0,18,52,246,248,31,31,N\A
1,2002/08/13,15819,0,132,68,14390,0,19,57,246,248,255,255,N\A
1,2002/08/21,15830,0,132,67,14325,0,19,56,246,248,255,255,N\A
1,2002/08/29,15943,0,131,61,14430,0,19,55,246,248,127,191,N\A
1,2002/09/06,15769,0,131,60,14306,0,19,57,246,248,63,126,N\A
1,2002/09/14,15756,0,131,61,14376,0,18,50,246,248,254,252,N\A
1,2002/09/22,15750,0,130,59,14359,0,19,56,246,248,191,127,N\A
1,2002/09/30,15460,0,128,45,14277,0,18,49,246,248,254,254,N\A
1,2002/10/08,15446,0,131,64,14253,0,20,70,246,248,247,187,N\A
1,2002/10/16,15185,0,128,41,14061,0,18,48,246,248,122,254,N\A
1,2002/10/24,15060,0,129,50,13988,0,18,48,246,248,236,252,N\A
1,2002/11/01,14958,65,129,45,13848,0,19,56,246,248,26,59,N\A
1,2002/11/09,14581,65,125,11,14028,0,17,41,248,248,16,241,N\A
1,2002/11/17,14580,0,132,68,13981,0,19,59,247,248,15,78,N\A
1,2002/11/25,14582,0,130,53,13750,0,18,48,246,248,219,28,N\A
1,2002/12/03,14525,0,128,42,13831,0,18,52,247,248,50,179,N\A
1,2002/12/11,14351,65,130,47,0,2,255,255,246,248,129,0,N\A
1,2002/12/19,14242,0,131,70,13741,0,19,57,246,248,28,24,N\A
1,2002/12/27,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2003/01/01,14369,0,129,44,13885,0,16,29,246,248,85,80,N\A
1,2003/01/09,14485,0,130,55,13879,0,19,58,246,248,192,192,N\A
1,2003/01/17,14170,65,132,76,13860,0,21,83,246,248,1,1,N\A
1,2003/01/25,14575,0,136,112,13978,0,20,64,247,248,16,56,N\A
1,2003/02/02,14558,0,131,61,13731,0,20,66,246,248,255,255,N\A
1,2003/02/10,14415,0,129,52,13770,0,12,5,247,248,65,5,N\A
1,2003/02/18,14658,0,132,77,13843,0,21,82,246,248,61,61,N\A
1,2003/02/26,14667,0,131,65,13790,0,17,45,246,248,218,245,N\A
1,2003/03/06,14807,0,129,50,13902,0,19,62,246,248,95,127,N\A
1,2003/03/14,14643,0,129,50,13805,0,17,39,246,248,251,180,N\A
1,2003/03/22,14774,0,132,69,13998,0,21,75,246,248,252,205,N\A
1,2003/03/30,14612,65,130,60,13937,0,18,55,247,248,113,65,N\A
1,2003/04/07,14839,0,128,37,14027,0,20,66,247,248,19,15,N\A
1,2003/04/15,14644,65,129,51,13919,0,18,51,247,248,28,49,N\A
1,2003/04/23,14919,0,131,60,13962,0,19,57,246,248,144,192,N\A
1,2003/05/01,14415,65,137,118,14000,0,21,72,247,248,20,48,N\A
1,2003/05/09,15016,0,130,58,14061,0,20,68,246,248,127,238,N\A
1,2003/05/17,15319,0,129,45,14215,0,18,49,246,248,255,255,N\A
1,2003/05/25,15555,0,130,59,14331,0,21,77,246,248,254,222,N\A
1,2003/06/02,15586,0,129,45,14357,0,18,48,246,248,255,255,N\A
1,2003/06/10,15626,0,131,61,14262,0,19,63,246,248,255,254,N\A
1,2003/06/18,15702,0,130,55,14269,0,18,48,246,248,222,255,N\A
1,2003/06/26,16059,0,131,61,14389,0,20,66,246,248,255,255,N\A
1,2003/07/04,15968,0,129,45,14349,0,18,48,246,248,255,255,N\A
1,2003/07/12,16110,0,131,61,14521,0,19,62,246,248,255,127,N\A
1,2003/07/20,16023,0,130,52,14614,0,17,47,246,248,243,198,N\A
1,2003/07/28,15728,0,133,77,14547,0,18,50,247,248,194,195,N\A
1,2003/08/05,15858,0,131,67,14358,0,18,48,246,248,254,255,N\A
1,2003/08/13,15973,0,131,61,14379,0,20,65,246,248,255,255,N\A
1,2003/08/21,15930,0,130,57,14360,0,18,55,246,248,248,220,N\A
1,2003/08/29,15893,0,131,61,14462,0,20,67,246,248,255,251,N\A
1,2003/09/06,15703,0,130,53,14375,0,17,48,246,248,243,247,N\A
1,2003/09/14,15825,0,132,70,14376,0,20,66,246,248,253,255,N\A
1,2003/09/22,15591,0,129,45,14360,0,18,48,246,248,255,255,N\A
1,2003/09/30,15461,0,131,63,14256,0,20,65,246,248,251,255,N\A
1,2003/10/08,15377,0,129,45,14171,0,18,55,246,248,255,251,N\A
1,2003/10/16,15469,0,133,80,14230,0,20,66,246,248,183,255,N\A
1,2003/10/24,15413,0,128,42,14228,0,18,53,246,248,63,127,N\A
1,2003/11/01,14723,65,126,17,13766,0,19,65,247,248,64,35,N\A
1,2003/11/09,14642,0,129,46,13863,0,16,33,246,248,158,142,N\A
1,2003/11/17,14546,0,130,55,13753,0,17,43,246,248,126,114,N\A
1,2003/11/25,14435,0,127,28,13624,0,13,8,248,248,131,133,N\A
1,2003/12/03,14513,0,134,92,13777,0,24,109,246,248,33,32,N\A
1,2003/12/11,14291,0,133,78,13726,0,21,72,246,248,24,48,N\A
1,2003/12/19,14417,0,132,71,13753,65,22,93,246,248,132,128,N\A
1,2003/12/27,14220,0,124,7,13608,65,17,41,248,248,1,3,N\A
1,2004/01/01,14197,0,127,30,13625,0,18,49,248,249,28,12,N\A
1,2004/01/09,14511,0,133,87,0,2,255,255,246,248,4,0,N\A
1,2004/01/17,14420,0,127,28,13736,0,16,32,247,248,48,48,N\A
1,2004/01/25,14263,0,132,74,13679,65,18,46,247,248,65,82,N\A
1,2004/02/02,14446,0,132,70,13728,0,19,60,246,248,232,248,N\A
1,2004/02/10,14704,0,131,69,13785,0,19,58,248,249,23,15,N\A
1,2004/02/18,14499,0,134,97,0,2,255,255,246,248,2,0,N\A
1,2004/02/26,14492,0,129,54,13808,0,18,53,247,248,166,236,N\A
1,2004/03/05,14963,0,130,56,14075,0,19,56,246,248,254,255,N\A
1,2004/03/13,15011,0,130,54,14124,0,19,58,246,248,255,255,N\A
1,2004/03/21,14942,0,131,65,14019,65,16,29,246,248,79,180,N\A
1,2004/03/29,14878,0,132,72,14022,0,19,59,246,248,252,191,N\A
1,2004/04/06,15116,0,129,51,14060,0,18,48,246,248,223,63,N\A
1,2004/04/14,14968,65,136,112,13835,65,24,108,246,248,128,1,N\A
1,2004/04/22,15527,0,130,51,14230,0,19,56,246,248,255,255,N\A
1,2004/04/30,15618,0,130,54,14206,0,19,58,246,248,255,255,N\A
1,2004/05/08,15547,0,132,75,14090,0,18,52,246,248,59,187,N\A
1,2004/05/16,15487,0,130,54,14123,0,17,43,246,248,255,123,N\A
1,2004/05/24,15665,0,131,61,14174,0,20,61,246,248,103,231,N\A
1,2004/06/01,15852,0,130,61,14285,0,19,58,246,248,231,255,N\A
1,2004/06/09,15944,0,130,58,14316,0,18,47,246,248,251,191,N\A
1,2004/06/17,15896,0,132,70,14290,0,18,50,246,248,255,127,N\A
1,2004/06/25,15957,0,130,59,14369,0,19,56,246,248,239,223,N\A
1,2004/07/03,15937,0,130,54,14364,0,19,56,246,248,255,239,N\A
1,2004/07/11,16063,0,130,52,14385,0,18,48,246,248,255,63,N\A
1,2004/07/19,16074,0,129,47,14503,0,18,51,246,248,254,254,N\A
1,2004/07/27,15906,0,130,52,14379,0,18,46,246,248,255,191,N\A
1,2004/08/04,16029,0,129,46,14447,0,18,53,246,248,127,251,N\A
1,2004/08/12,15932,0,130,57,14455,0,19,56,246,248,251,255,N\A
1,2004/08/20,15778,0,130,57,14393,0,23,88,246,248,243,179,N\A
1,2004/08/28,15997,0,128,42,14414,0,19,56,246,248,191,255,N\A
1,2004/09/05,16002,0,130,54,14521,0,18,50,246,248,255,127,N\A
1,2004/09/13,15756,0,128,42,14301,0,18,44,246,248,31,159,N\A
1,2004/09/21,15647,0,132,69,14259,0,18,49,246,248,255,127,N\A
1,2004/09/29,15447,0,128,41,14210,0,18,52,246,248,191,247,N\A
1,2004/10/07,15482,0,131,63,14209,0,19,58,246,248,127,255,N\A
1,2004/10/15,14988,65,132,68,14106,0,21,72,246,248,195,195,N\A
1,2004/10/23,14708,65,132,76,13963,0,20,65,246,248,212,244,N\A
1,2004/10/31,14727,0,130,56,13928,0,20,60,246,248,231,231,N\A
1,2004/11/08,14637,0,135,93,14140,65,18,47,247,248,48,64,N\A
1,2004/11/16,14516,0,127,27,13815,0,20,64,246,248,177,242,N\A
1,2004/11/24,14362,0,131,64,13727,0,19,64,246,248,241,117,N\A
1,2004/12/02,14369,0,130,57,13625,0,18,48,247,248,139,7,N\A
1,2004/12/10,14477,65,127,32,13786,0,22,85,247,248,43,196,N\A
1,2004/12/18,14286,0,132,72,13674,0,22,74,246,248,249,241,N\A
1,2004/12/26,14149,65,129,53,0,2,255,255,248,249,33,0,N\A
1,2005/01/01,14426,65,132,76,0,2,255,255,246,248,32,0,N\A
1,2005/01/09,14236,65,126,17,13789,0,18,50,246,248,8,26,N\A
1,2005/01/17,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2005/01/25,14452,0,126,24,13773,0,17,43,247,248,224,240,N\A
1,2005/02/02,14544,0,130,57,13930,0,17,38,246,248,31,5,N\A
1,2005/02/10,14557,0,136,112,13839,65,25,115,247,248,5,5,N\A
1,2005/02/18,14635,0,132,76,13965,65,19,67,247,249,32,98,N\A
1,2005/02/26,14606,0,130,64,13816,65,13,10,247,248,148,168,N\A
1,2005/03/06,14893,0,129,52,14160,0,19,63,246,248,127,111,N\A
1,2005/03/14,14817,0,133,75,13798,0,19,60,246,248,3,129,N\A
1,2005/03/22,14446,65,131,65,13936,0,16,37,247,248,92,92,N\A
1,2005/03/30,14642,0,128,44,13998,0,19,58,246,248,227,143,N\A
1,2005/04/07,14655,0,129,44,13888,0,23,93,246,248,253,232,N\A
1,2005/04/15,14857,0,131,61,13951,0,17,47,246,248,127,187,N\A
1,2005/04/23,14842,0,127,26,14025,0,14,16,246,248,196,68,N\A
1,2005/05/01,14898,0,132,71,14163,0,22,90,246,248,67,68,N\A
1,2005/05/09,14835,0,132,77,14109,0,21,82,246,248,46,46,N\A
1,2005/05/17,15230,0,127,35,14242,0,15,27,247,248,248,224,N\A
1,2005/05/25,15383,0,131,63,14273,0,18,50,246,248,247,247,N\A
1,2005/06/02,15364,0,131,61,14158,0,20,65,246,248,63,63,N\A
1,2005/06/10,15512,0,130,59,14289,0,21,75,246,248,191,47,N\A
1,2005/06/18,15498,0,128,45,14211,0,17,49,246,248,254,254,N\A
1,2005/06/26,15765,0,130,52,14381,0,19,57,246,248,255,255,N\A
1,2005/07/04,15755,0,130,54,14368,0,19,58,246,248,255,255,N\A
1,2005/07/12,16064,0,130,52,14610,0,19,57,246,248,255,255,N\A
1,2005/07/20,16011,0,130,57,14548,0,19,58,246,248,253,255,N\A
1,2005/07/28,15999,0,130,52,14469,0,18,50,246,248,255,247,N\A
1,2005/08/05,15971,0,130,54,14483,0,17,43,246,248,255,235,N\A
1,2005/08/13,15706,0,130,56,14328,0,20,68,246,248,251,235,N\A
1,2005/08/21,15878,0,130,54,14426,0,19,58,246,248,255,255,N\A
