site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,10.368208,105.301456,28,7,1719,4623
2,10.376321,105.269218,28,7,1702,4619
3,10.378323,105.185852,28,7,1663,4618
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2000/02/18,7515,5840,34837,358,2524,720,506,3305,2466,2189,60,1,N\A
1,2000/03/05,8790,6782,34837,292,4536,86,850,3319,1965,2081,76,1,N\A
1,2000/03/21,7571,5442,2185,515,3727,275,749,662,2058,79,87,1,N\A
1,2000/04/06,5094,7565,3102,1337,4114,1728,1436,5820,995,1921,97,3,N\A
1,2000/04/22,3671,2366,34842,1334,2882,604,1627,4285,2160,-158,114,3,N\A
1,2000/05/08,6353,3759,35874,553,2480,398,792,3341,1533,1318,140,3,N\A
1,2000/05/24,8163,4524,2185,267,2641,150,612,804,1969,1344,158,1,N\A
1,2000/06/09,8490,6833,3226,355,4349,249,841,5771,2755,-377,164,3,N\A
1,2000/06/25,8781,6375,34965,253,3900,149,662,5803,1584,1138,177,1,N\A
1,2000/07/11,4564,2606,2189,952,2551,390,689,6302,2942,-298,205,1,N\A
1,2000/07/27,1114,336,35878,550,688,499,188,4352,1560,1371,211,3,N\A
1,2000/08/12,322,183,34838,1261,1345,999,947,2002,1963,-77,240,3,N\A
1,2000/08/28,40,107,2062,5456,5500,5069,1742,1975,1954,103,256,3,N\A
1,2000/09/13,-205,-184,2066,2860,2745,2967,1365,4471,1302,2045,259,3,N\A
1,2000/09/29,-34,-42,2066,4919,4885,5017,1495,6314,1625,2432,280,3,N\A
1,2000/10/15,-101,-147,2066,4062,3980,3255,2277,5136,3039,400,299,3,N\A
1,2000/10/31,-393,-409,2066,3715,3434,4067,2246,4376,3117,452,306,3,N\A
1,2000/11/16,-81,-118,2066,7140,7025,7392,2252,5162,3205,2469,330,3,N\A
1,2000/12/02,809,359,2118,1056,1242,619,257,2149,3860,540,352,3,N\A
1,2000/12/18,2502,6670,2066,653,1089,1783,959,6315,4360,439,365,3,N\A
2,2000/02/18,8136,7702,2062,568,5527,1646,1215,640,2625,2130,62,3,N\A
2,2000/03/05,7428,8446,2062,832,5638,854,908,3447,2692,203,73,3,N\A
2,2000/03/21,6515,4949,2116,846,4010,414,1130,698,2061,81,87,0,N\A
2,2000/04/06,3603,6032,2066,1650,3509,2094,2316,4391,1248,1839,99,3,N\A
2,2000/04/22,3211,1545,34837,1037,2018,316,1084,3285,2014,-230,121,1,N\A
2,2000/05/08,8312,4639,34961,239,2593,179,827,3312,1535,1319,140,1,N\A
2,2000/05/24,8824,5870,2185,219,3507,109,650,767,1971,1286,158,1,N\A
2,2000/06/09,8150,6857,34837,436,4278,385,701,3370,1856,1250,172,1,N\A
2,2000/06/25,8556,6268,34965,307,3946,170,576,5792,1584,1137,177,1,N\A
2,2000/07/11,4053,1847,2261,713,1685,375,553,5173,1542,1274,202,1,N\A
2,2000/07/27,1039,207,34842,349,430,366,499,5833,2776,-272,212,3,N\A
2,2000/08/12,320,372,2066,1704,1817,1928,1246,6334,845,1530,232,3,N\A
2,2000/08/28,121,429,2062,5899,6044,5732,2906,2002,1957,100,256,3,N\A
2,2000/09/13,-67,-416,2062,8295,8184,8172,1147,597,1877,222,263,3,N\A
2,2000/09/29,2,5,2066,3541,3543,3365,895,6303,1628,2432,280,3,N\A
2,2000/10/15,0,0,2062,7321,7321,5458,1964,3353,2795,437,297,3,N\A
2,2000/10/31,-679,-956,34842,2672,2332,2597,1053,4395,3120,450,306,3,N\A
2,2000/11/16,-83,-106,2066,5262,5175,5444,1676,5788,2968,2494,321,3,N\A
2,2000/12/02,-45,-188,2062,6498,6439,6348,2488,851,3693,528,343,3,N\A
2,2000/12/18,1731,740,2189,905,1284,522,726,5155,4170,468,363,1,N\A
3,2000/02/18,8869,8924,2189,396,6608,211,1322,6378,3527,229,61,1,N\A
3,2000/03/05,9163,8135,34837,237,5427,120,850,3239,1975,2082,76,1,N\A
3,2000/03/21,7977,6380,2185,497,4417,272,778,778,2069,91,87,1,N\A
3,2000/04/06,7354,5783,3102,613,4022,395,1044,4343,1256,1837,99,3,N\A
3,2000/04/22,3877,2199,34837,1147,2600,396,1245,3351,2023,-227,121,1,N\A
3,2000/05/08,4516,1979,35874,658,1742,267,702,3256,1541,1319,140,3,N\A
3,2000/05/24,7698,4605,34897,384,2953,175,791,5836,2638,-348,148,1,N\A
3,2000/06/09,8311,6405,34961,368,3992,274,868,3305,1861,1250,172,1,N\A
3,2000/06/25,9110,7091,35033,204,4382,117,583,749,2088,1317,190,1,N\A
3,2000/07/11,7500,5388,2185,541,3787,263,721,677,1999,1432,206,1,N\A
3,2000/07/27,6439,4959,34841,798,3684,523,508,4275,1570,1368,211,1,N\A
3,2000/08/12,407,702,2066,2731,2963,2812,1708,6310,853,1535,232,3,N\A
3,2000/08/28,105,353,2062,5130,5239,5109,3078,2071,1964,92,256,3,N\A
3,2000/09/13,-74,-92,2062,4917,4844,5023,1431,671,1883,148,263,3,N\A
3,2000/09/29,1620,106,35038,106,147,152,83,5779,1453,2323,273,3,N\A
3,2000/10/15,5266,918,36002,173,558,149,35,5113,2326,2433,298,3,N\A
3,2000/10/31,6144,1190,2185,166,695,77,154,676,3121,2351,318,1,N\A
3,2000/11/16,6450,1744,3226,219,1015,123,182,4314,3089,2446,323,3,N\A
3,2000/12/02,6748,3115,2120,365,1880,255,356,4245,3415,2439,339,0,N\A
3,2000/12/18,2092,761,2189,716,1095,394,369,5196,4176,467,363,1,N\A
