site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
61,12.971637,120.830057,29,7,3718,3373
62,12.40737,121.046508,29,7,3945,3644
63,12.340134,121.170515,29,7,4018,3676
64,13.230624,121.257164,29,7,3858,3249
65,10.652135,119.493672,29,7,3568,4486
66,10.668567,119.470909,29,7,3554,4479
67,9.366401,118.456632,29,8,3301,304
68,8.714167,117.743065,29,8,3064,617
69,8.08227,123.506419,30,8,1094,920
70,7.868412,123.484973,30,8,1114,1023
71,7.786051,122.982379,30,8,887,1062
72,7.650617,122.850755,30,8,843,1127
73,7.507213,123.351302,30,8,1101,1196
74,7.861127,122.520327,30,8,657,1026
75,14.14799,122.924476,29,7,4414,2808
76,13.604707,123.122114,29,7,4640,3069
77,13.50613,123.277828,29,7,4736,3117
78,13.283444,123.527968,30,7,107,3223
79,12.927565,123.805392,30,7,320,3394
80,12.89,123.799085,30,7,326,3412
81,12.716405,124.008861,30,7,464,3496
82,10.898434,122.647957,30,7,209,4368
83,10.752442,122.485416,30,7,160,4438
84,11.363732,122.739258,30,7,159,4145
85,10.759446,121.998863,29,7,4729,4435
86,10.763421,121.986677,29,7,4723,4433
87,11.143128,122.468119,30,7,76,4251
88,10.556672,122.920172,30,7,403,4532
89,10.189371,122.944362,30,7,482,4709
90,9.963671,122.817143,30,8,463,17
91,9.119513,123.035243,30,8,710,422
92,9.889339,124.022938,30,8,1046,53
93,11.048044,124.527249,30,7,1065,4296
94,11.170972,124.512619,30,7,1033,4237
95,11.184684,124.942315,30,7,1233,4231
96,11.120902,124.96439,30,7,1256,4261
97,11.049578,124.990612,30,7,1283,4296
98,10.690659,125.000179,30,7,1358,4468
99,10.38718,124.763971,30,7,1305,4614
100,7.95065,123.737432,30,8,1223,983
101,7.944943,123.784221,30,8,1246,986
102,8.091085,124.233147,30,8,1438,916
103,8.27297,124.711303,30,8,1638,828
104,7.981357,125.161778,30,8,1895,968
105,7.83664,125.140285,30,8,1906,1038
106,7.659747,126.05561,30,8,2366,1123
107,7.414352,125.737122,30,8,2249,1241
108,6.939792,126.005324,30,8,2439,1468
109,6.703197,125.300778,30,8,2133,1582
110,7.056759,124.858556,30,8,1878,1412
111,6.54765,124.877744,30,8,1950,1657
112,6.538818,124.665855,30,8,1850,1661
113,6.647342,124.07798,30,8,1557,1609
114,9.299643,125.969187,30,8,2070,336
115,9.064081,125.596527,30,8,1933,449
116,8.922705,125.992527,30,8,2144,517
117,8.568238,125.894741,30,8,2155,687
118,8.060933,126.037643,30,8,2300,930
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
61,2006/01/01,3499,1410,2116,704,1462,300,649,233,4150,2313,8,0,N\A
61,2006/01/17,5371,1863,2116,377,1252,237,454,1626,3768,2250,31,0,N\A
61,2006/02/02,5827,2797,2116,538,2041,245,816,3740,4080,373,35,0,N\A
61,2006/02/18,6912,3362,2116,391,2142,196,531,243,3245,2194,56,0,N\A
61,2006/03/06,7728,3728,2116,284,2217,128,489,1708,2459,2029,79,0,N\A
61,2006/03/22,7350,4110,2116,401,2626,200,574,1203,2668,182,81,0,N\A
61,2006/04/07,7098,4062,2116,450,2652,240,592,279,2053,1775,104,0,N\A
61,2006/04/23,6207,3648,2116,609,2603,346,924,271,1931,1580,120,0,N\A
61,2006/05/09,5858,3900,2116,800,3063,448,1213,1212,2085,-235,129,0,N\A
61,2006/05/25,6537,3447,2116,477,2278,277,717,234,2104,1474,152,0,N\A
61,2006/06/10,6220,2916,2116,460,1974,234,577,1718,2123,1397,175,0,N\A
61,2006/06/26,4205,2610,2062,808,1981,746,645,2535,2537,-338,186,3,N\A
61,2006/07/12,4127,3001,2066,902,2170,936,600,5342,2943,-275,197,3,N\A
61,2006/07/28,3371,2667,2062,1213,2447,1088,1100,3004,1887,1536,214,3,N\A
61,2006/08/13,7090,3162,3226,324,1903,182,494,4043,1618,1763,237,3,N\A
61,2006/08/29,8203,5509,35037,340,3445,186,910,6448,3101,13,247,1,N\A
61,2006/09/14,6760,3459,2116,442,2287,214,674,1216,2274,138,257,0,N\A
61,2006/09/30,7387,4395,2257,421,2802,238,650,2609,2791,337,282,1,N\A
61,2006/10/16,6887,3780,2116,444,2409,277,726,188,2938,2289,296,0,N\A
61,2006/11/01,7001,4259,2116,488,2767,309,859,1239,3260,474,305,0,N\A
61,2006/11/17,7179,4984,2116,532,3240,380,1107,1203,3661,508,321,0,N\A
61,2006/12/03,5479,2854,2120,650,2226,310,883,4631,4378,480,348,1,N\A
61,2006/12/19,5221,2411,2116,588,1873,277,652,1718,4083,2344,2,0,N\A
62,2006/01/01,5269,3471,2116,968,3125,453,1536,558,4089,2319,8,0,N\A
62,2006/01/17,4721,2885,2116,961,2680,474,1583,1936,3708,2253,31,0,N\A
62,2006/02/02,4351,2972,2116,1193,3031,631,1950,959,3856,396,33,0,N\A
62,2006/02/18,3735,2358,2116,1312,2877,555,1750,3209,3032,2175,54,0,N\A
62,2006/03/06,3421,2631,2116,1767,3605,899,2881,2278,2936,201,74,0,N\A
62,2006/03/22,3558,2657,2116,1593,3353,847,2433,886,2622,164,81,0,N\A
62,2006/04/07,3661,2367,2116,1250,2694,659,2096,3247,1754,1820,102,0,N\A
62,2006/04/23,3424,2309,2185,1351,2758,751,2284,595,1915,1613,120,1,N\A
62,2006/05/09,5509,2743,34893,590,2038,318,764,1964,1899,1436,143,1,N\A
62,2006/05/25,6737,3369,2120,423,2170,233,525,5030,1571,1338,148,1,N\A
62,2006/06/10,7879,4857,34965,362,3052,184,674,5701,1651,1262,171,1,N\A
62,2006/06/26,3236,4700,4110,1676,3280,1974,1197,3456,2661,-355,179,3,N\A
62,2006/07/12,2118,1741,2066,1261,1939,1303,642,5060,1744,1362,196,3,N\A
62,2006/07/28,2877,2519,2066,1437,2598,1293,1073,6339,3172,-198,215,3,N\A
62,2006/08/13,4253,1700,34837,487,1208,471,171,3247,1767,1667,230,1,N\A
62,2006/08/29,8265,5312,34961,306,3222,178,621,3237,1741,1853,246,1,N\A
62,2006/09/14,7871,5272,2116,410,3443,203,825,904,2231,142,257,0,N\A
62,2006/09/30,7508,6273,34841,564,3963,507,668,5668,2116,2329,283,1,N\A
62,2006/10/16,7211,4768,2116,526,3247,285,859,3172,2660,2306,294,0,N\A
62,2006/11/01,5330,2803,2120,707,2321,289,1237,4236,3244,2392,317,0,N\A
62,2006/11/17,4130,2442,2116,1107,2665,448,1634,585,3685,2360,328,0,N\A
62,2006/12/03,4378,2332,2116,841,2151,421,686,2305,4132,504,346,0,N\A
62,2006/12/19,5144,3818,2189,1242,3874,546,1941,6351,4684,435,359,1,N\A
63,2006/01/01,3153,1564,2116,788,1514,619,1356,693,4076,2277,8,0,N\A
63,2006/01/17,5406,2589,2116,570,1912,317,951,2055,3695,2240,31,0,N\A
63,2006/02/02,6776,4249,2116,504,2623,424,984,2092,3316,2195,47,0,N\A
63,2006/02/18,7011,6997,2116,749,4263,827,1847,2177,3352,281,58,0,N\A
63,2006/03/06,5994,5617,2120,1286,5135,763,2313,5791,3371,137,78,1,N\A
63,2006/03/22,6348,5347,2116,836,3743,689,1780,753,2607,129,81,0,N\A
63,2006/04/07,4468,2319,2189,793,2074,403,1658,4333,1506,1737,109,1,N\A
63,2006/04/23,3346,2371,2116,1487,2983,818,2511,730,1903,1648,120,0,N\A
63,2006/05/09,4862,2013,34965,543,1571,275,1009,5734,1337,1353,139,1,N\A
63,2006/05/25,5339,3200,34966,889,2926,313,1494,4365,2661,-335,156,3,N\A
63,2006/06/10,6550,3896,2122,576,2764,291,1105,5755,1646,1258,171,3,N\A
63,2006/06/26,3549,1854,34837,716,1504,690,651,3350,2017,1359,182,1,N\A
63,2006/07/12,2129,1298,34838,1031,1589,937,675,2131,2502,-304,202,3,N\A
63,2006/07/28,3591,3300,2066,1168,2477,1276,977,6303,3163,-199,215,3,N\A
63,2006/08/13,3859,4461,2062,1148,2591,1519,1253,3350,1755,1658,230,3,N\A
63,2006/08/29,6904,3493,2116,406,2217,226,502,750,2166,-19,241,0,N\A
63,2006/09/14,8182,5474,2185,339,3392,198,682,769,2216,116,257,1,N\A
63,2006/09/30,7437,6527,35874,661,4499,502,856,2222,2721,338,282,3,N\A
63,2006/10/16,6356,3885,2116,646,2900,303,945,649,2865,2247,296,0,N\A
63,2006/11/01,5314,3222,2120,880,2876,356,1080,4323,3234,2390,317,0,N\A
63,2006/11/17,3812,2580,2120,1369,3056,657,2025,4370,4059,483,332,0,N\A
63,2006/12/03,2997,1249,2116,736,1366,423,1090,2110,3959,2358,351,0,N\A
63,2006/12/19,2885,1240,2116,779,1411,446,1268,3331,3937,2360,358,0,N\A
64,2006/01/01,5552,2856,2189,728,2546,134,768,4444,4472,435,12,1,N\A
64,2006/01/17,4729,3059,34837,1132,3164,447,843,1945,3766,2241,31,1,N\A
64,2006/02/02,8759,5050,2185,196,2965,58,646,1982,3381,2199,47,1,N\A
64,2006/02/18,8556,6207,2185,314,4038,123,804,2268,3405,297,58,1,N\A
64,2006/03/06,9020,6448,34965,205,3982,76,816,5049,2434,2157,68,1,N\A
64,2006/03/22,7171,4229,2185,529,3211,71,824,851,2644,162,81,1,N\A
64,2006/04/07,4749,2867,2185,958,2691,444,1500,631,2018,1836,104,1,N\A
64,2006/04/23,6245,4413,2261,878,3799,336,1163,5824,2768,-172,126,1,N\A
64,2006/05/09,6666,3501,3102,487,2435,193,775,6218,1060,1439,130,3,N\A
64,2006/05/25,3768,2527,34961,1170,2585,748,1486,586,2057,1406,152,1,N\A
64,2006/06/10,5204,2556,2116,639,2026,306,447,2037,2076,1383,175,0,N\A
64,2006/06/26,4822,2974,34842,750,2147,654,613,6327,3165,-292,183,3,N\A
64,2006/07/12,4136,1760,35874,674,1625,289,553,2055,2027,1501,207,3,N\A
64,2006/07/28,5790,4298,2066,794,2978,672,747,6327,3141,-185,215,3,N\A
64,2006/08/13,7387,3756,35878,282,1877,394,450,4255,1583,1775,237,3,N\A
64,2006/08/29,8254,4979,2116,283,2959,163,640,2018,1958,1969,255,0,N\A
64,2006/09/14,8259,4530,2116,251,2634,132,489,597,2205,2094,264,0,N\A
64,2006/09/30,7076,5117,2185,640,3738,326,982,2305,2779,356,282,1,N\A
64,2006/10/16,6894,4066,2116,517,2813,240,876,3181,2725,2306,294,0,N\A
64,2006/11/01,4548,2683,34837,709,1892,683,1440,603,3369,2310,312,1,N\A
64,2006/11/17,5383,3103,34961,683,2276,472,1072,859,3664,539,321,1,N\A
64,2006/12/03,4050,1770,2189,589,1391,480,596,4425,4377,481,348,1,N\A
64,2006/12/19,1520,1286,2062,1668,2266,1420,1312,3447,4359,495,355,3,N\A
65,2006/01/01,5874,8368,2062,888,3417,1492,1379,2321,3864,2300,6,3,N\A
65,2006/01/17,4957,3174,34961,977,2898,484,1064,634,3869,449,24,1,N\A
65,2006/02/02,4710,3444,2120,1339,3724,593,1417,4278,4003,345,35,0,N\A
65,2006/02/18,3369,2090,2062,1224,2468,658,1000,938,2877,2075,63,3,N\A
65,2006/03/06,5019,3781,34837,1267,3821,605,1389,3216,2984,161,74,1,N\A
