1,56.6358,-99.9483,12,3,603,403
2,31.7365,-109.9419,8,5,779,991
3,42.5378,-72.1715,12,4,818,895
id,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
1,2000/03/05,13724,0,119,81,12979,65,219,68,251,249,3,134,N\A
1,2000/03/13,12734,0,114,56,12404,65,217,52,251,249,11,85,N\A
1,2000/03/21,13668,0,113,51,13129,0,221,72,251,249,19,167,N\A
1,2000/03/29,13441,0,115,57,13135,0,218,54,250,249,48,212,N\A
1,2000/04/06,13188,0,115,57,12598,0,214,32,251,250,175,12,N\A
1,2000/04/14,13673,0,118,74,13028,65,215,41,251,250,214,166,N\A
1,2000/04/22,13674,65,107,11,13562,65,220,67,251,249,1,7,N\A
1,2000/04/30,14431,0,117,72,13623,0,211,21,247,245,44,216,N\A
1,2000/05/08,14091,0,120,85,13556,65,215,40,248,247,232,240,N\A
1,2000/05/16,0,2,255,255,13582,65,216,51,248,247,0,198,N\A
1,2000/05/24,14287,65,110,26,13741,65,223,90,248,247,131,70,N\A
1,2000/06/01,14633,0,117,73,13809,0,217,56,248,248,134,57,N\A
1,2000/06/09,14379,0,111,34,13909,0,216,44,248,247,130,3,N\A
1,2000/06/17,15006,0,119,84,14084,65,219,72,248,247,3,143,N\A
1,2000/06/25,14603,65,114,58,14046,65,221,78,247,246,50,253,N\A
1,2000/07/03,14881,0,116,64,14154,0,218,64,248,248,129,131,N\A
1,2000/07/11,14849,0,117,72,14380,0,213,26,248,248,76,153,N\A
1,2000/07/19,14802,65,111,36,14335,65,216,45,248,247,124,220,N\A
1,2000/07/27,14932,0,115,62,14418,0,216,44,247,247,191,180,N\A
1,2000/08/04,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/12,14766,0,108,15,14158,0,213,26,247,246,2,2,N\A
1,2000/08/20,14627,65,112,42,14265,0,217,59,247,247,252,188,N\A
1,2000/08/28,14521,0,117,74,13956,0,211,18,247,246,242,101,N\A
1,2000/09/05,14367,0,115,57,14132,0,223,87,248,247,132,27,N\A
1,2000/09/13,13984,65,109,22,13703,65,220,71,248,247,12,31,N\A
1,2000/09/21,13778,65,114,52,13611,65,216,54,247,246,89,201,N\A
1,2000/09/29,13639,0,108,15,13001,65,213,25,247,247,128,128,N\A
1,2000/10/07,13990,0,112,44,13600,0,217,55,248,247,95,119,N\A
1,2000/10/15,14054,0,104,3,13336,65,212,26,247,245,20,72,N\A
1,2000/10/23,13616,65,127,125,0,2,255,255,246,244,16,0,N\A
1,2000/10/31,13658,65,107,11,12950,65,214,44,247,245,1,208,N\A
1,2000/11/08,13047,65,120,85,12782,65,223,93,250,249,28,174,N\A
1,2000/11/16,12835,0,113,48,12728,65,212,23,250,249,106,249,N\A
1,2000/11/24,12873,0,113,50,13192,0,217,56,250,249,123,34,N\A
1,2000/12/02,12254,81,123,107,12610,65,218,56,251,250,108,37,N\A
1,2000/12/10,12129,81,118,82,11972,145,218,59,250,248,236,178,N\A
1,2000/12/18,12287,0,121,98,11995,81,213,31,251,250,158,111,N\A
1,2000/12/26,12759,0,118,84,12374,65,214,39,251,249,32,55,N\A
1,2001/01/01,12487,0,116,64,12444,0,214,37,250,247,96,23,N\A
1,2001/01/09,12672,0,117,72,12648,0,215,41,250,247,115,255,N\A
1,2001/01/17,12829,0,121,96,12478,65,222,85,251,249,210,198,N\A
1,2001/01/25,13208,65,122,107,12736,0,213,34,250,248,8,7,N\A
1,2001/02/02,12518,0,111,35,12175,81,217,56,251,250,166,236,N\A
1,2001/02/10,12441,65,117,74,12022,81,214,40,250,248,109,23,N\A
1,2001/02/18,12596,65,120,88,11951,145,217,52,249,247,240,168,N\A
1,2001/02/26,12815,0,114,55,12583,65,215,40,251,250,99,123,N\A
1,2001/03/06,13078,0,122,107,12782,0,213,24,251,250,20,144,N\A
1,2001/03/14,12937,0,117,73,12511,0,223,95,251,250,133,140,N\A
