site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,29.46741944,116.6451222,28,6,373,127
2,29.01164167,116.6422833,28,6,481,237
3,29.12755833,116.5612694,28,6,436,209
4,28.61323056,116.4501361,28,6,534,332
5,28.68159722,116.4612167,28,6,521,316
6,28.61115278,116.4471611,28,6,534,333
7,28.82416111,116.4363528,28,6,482,282
8,28.88801389,116.514125,28,6,483,266
9,29.05591667,116.550125,28,6,451,226
10,29.13203611,116.585375,28,6,440,208
id,Date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,sur_refl_qc_500m,sur_refl_szen,sur_refl_vzen,sur_refl_raz,sur_refl_state_500m,sur_refl_day_of_year,actual_date
1,2000/02/18,4587,1033,5191,56,1073741824,-4868,4818,6835,7972,7779,7599,8022,7828,2000/02/25
1,2000/02/26,4187,136,2603,61,1073741824,-4953,1593,2169,2860,925,531,2497,1096,2000/03/01
1,2000/03/05,3810,72,1182,66,1073741824,12326,1108,1810,2197,1120,984,2081,1119,2000/03/06
1,2000/03/13,3671,200,4446,79,1073741824,-4410,1166,2075,2593,990,529,2573,1047,2000/03/19
1,2000/03/21,3240,136,1323,84,1075576832,-4599,1154,1884,2581,954,504,2315,1061,2000/03/24
1,2000/03/29,2845,136,2504,89,1073741824,12645,1469,2055,2453,912,482,2300,1062,2000/03/29
1,2000/04/06,2207,200,4351,103,1073741824,12408,1177,1827,2337,905,506,2306,970,2000/04/12
1,2000/04/14,2327,136,61,107,1073741824,4384,1058,1743,2266,898,510,2307,991,2000/04/16
1,2000/04/22,2019,1033,1362,114,1073741824,13474,834,1842,4261,4527,4519,4849,4465,2000/04/23
1,2000/04/30,2184,200,4385,127,1073741824,-2512,1394,2271,2771,1068,540,2908,1118,2000/05/06
1,2000/05/08,1768,136,1322,132,1073741824,-2856,1480,2114,2490,987,540,2489,1151,2000/05/11
1,2000/05/16,1976,136,4445,143,1073741824,-1611,1172,2020,2590,870,438,2661,845,2000/05/22
1,2000/05/24,886,202,5625,149,1073741824,13041,1015,1892,2694,814,340,2700,737,2000/05/28
1,2000/06/01,1655,8206,2500,157,1073741824,-1312,1219,2423,3428,1279,919,3730,1087,2000/06/05
1,2000/06/09,1790,136,3534,166,1610612736,-861,1035,2226,3259,789,360,3352,685,2000/06/14
1,2000/06/17,1180,204,2477,169,1073741824,16236,609,1226,2129,913,779,2333,801,2000/06/17
1,2000/06/25,1598,8202,1277,180,1073741824,-1083,1451,2610,3674,1139,701,3738,1038,2000/06/28
1,2000/07/03,1523,72,52,187,1073741824,15962,1494,2437,3190,923,445,3287,956,2000/07/05
1,2000/07/11,1729,72,1249,196,1073741824,-1440,1725,2778,3552,1076,570,3433,1187,2000/07/14
1,2000/07/19,1220,201,5060,206,1073741824,14263,1160,2009,2557,767,375,2558,815,2000/07/24
1,2000/07/27,2199,136,3618,214,1073741824,-1965,1484,2462,3095,930,480,3085,1010,2000/08/01
1,2000/08/04,1701,1033,2402,217,1073741824,14637,2419,4193,5627,5438,5469,5907,5342,2000/08/04
1,2000/08/12,2697,1033,5084,232,1073741824,-2763,1542,2891,4100,4370,4327,5073,4174,2000/08/19
1,2000/08/20,2255,136,98,235,1073741824,11469,1108,1975,3110,649,272,3405,575,2000/08/22
1,2000/08/28,2353,136,1418,242,1073741824,13124,933,1790,2990,601,251,3332,506,2000/08/29
1,2000/09/05,2492,8204,2614,249,1073741824,12689,866,1590,2370,901,666,2852,814,2000/09/05
1,2000/09/13,3022,136,1178,260,1073741824,-4902,1084,2069,3148,743,331,3409,665,2000/09/16
1,2000/09/21,3190,140,114,267,1073741824,9138,1497,2416,3107,773,368,2991,842,2000/09/23
1,2000/09/29,3469,1801,4362,279,1610612736,11199,921,1691,2340,1323,1305,2369,1168,2000/10/05
1,2000/10/07,3742,72,7,283,1073741824,14046,1424,2253,2823,740,383,2570,853,2000/10/09
1,2000/10/15,4271,1033,5686,289,1073741824,-5464,2933,3872,4244,2972,2766,4085,2931,2000/10/15
1,2000/10/23,4370,136,3481,304,1073741824,10962,1220,2059,2504,764,433,2158,864,2000/10/30
1,2000/10/31,4482,136,1246,306,1073741824,10973,1357,2165,2558,763,416,2165,892,2000/11/01
1,2000/11/08,4904,1033,2509,317,1073741824,-6439,2819,3623,3747,2670,2643,3425,2726,2000/11/12
1,2000/11/16,5169,72,3543,326,1073741824,-6356,1255,2084,2616,868,498,2305,1014,2000/11/21
1,2000/11/24,5070,1033,2475,329,1073741824,11039,1208,1813,2122,1075,985,1852,1081,2000/11/24
1,2000/12/02,5359,72,1431,340,1073741824,-6538,938,1719,2231,725,419,2001,803,2000/12/05
1,2000/12/10,5503,76,2555,349,1073741824,-6383,1229,2067,2513,760,427,2124,846,2000/12/14
1,2000/12/18,5505,136,1315,356,1073741824,-6094,1001,1758,2236,667,377,1992,743,2000/12/21
1,2000/12/26,5404,200,2494,361,1073741824,11407,1060,1753,2133,678,386,1902,789,2000/12/26id,Date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,sur_refl_qc_500m,sur_refl_szen,sur_refl_vzen,sur_refl_raz,sur_refl_state_500m,sur_refl_day_of_year,actual_date
1,2001/01/01,5651,200,4407,1,1073741824,-5908,1516,2416,2898,1011,592,2634,1154,2001/01/01
1,2001/01/09,5427,136,2565,15,1073741824,-5805,1254,2087,2580,845,485,2416,930,2001/01/15
1,2001/01/17,5199,200,1235,20,1073741824,12008,778,1535,2109,631,352,2001,668,2001/01/20
1,2001/01/25,5055,136,61,29,1073741824,-3525,1256,1982,2516,993,550,2460,1081,2001/01/29
1,2001/02/02,5198,200,4388,33,1073741824,-5317,1631,2447,2989,1129,599,2828,1290,2001/02/02
1,2001/02/10,4671,136,2473,47,1073741824,-5175,1360,2103,2652,958,501,2591,1079,2001/02/16
1,2001/02/18,4444,136,3525,56,1073741824,-4850,1113,1942,2630,977,520,2678,1011,2001/02/25
1,2001/02/26,4064,136,4,61,1073741824,-9212,953,1761,2357,847,445,2409,894,2001/03/02
1,2001/03/06,3741,136,1254,68,1073741824,12480,1102,1774,2306,821,447,2302,873,2001/03/09
1,2001/03/14,3384,200,4313,73,1073741824,12329,1202,1876,2241,715,338,2226,808,2001/03/14
1,2001/03/22,3290,200,3562,88,1073741824,-4074,1186,1909,2463,962,522,2506,984,2001/03/29
1,2001/03/30,2751,136,4352,89,1073741824,12465,1152,1712,2120,814,444,2176,909,2001/03/30
1,2001/04/07,2627,136,1322,102,1073741824,-4041,1158,1850,2375,981,526,2413,1044,2001/04/12
1,2001/04/15,2217,1288,2494,107,1073741824,13361,1262,1962,2442,1184,914,2417,1231,2001/04/17
1,2001/04/23,2018,136,1326,116,1073741824,14081,1230,1859,2228,827,430,2175,978,2001/04/26
1,2001/05/01,1746,136,2504,123,1073741824,14150,1086,1647,2005,956,551,2148,1058,2001/05/03
1,2001/05/09,1827,136,1287,134,1073741824,-2147,1982,2637,2963,1117,604,2915,1369,2001/05/14
1,2001/05/17,1622,200,74,141,1073741824,10269,1658,2315,2730,882,439,2718,992,2001/05/21
1,2001/05/25,921,200,5657,151,1073741824,14040,757,1577,2276,614,246,2438,493,2001/05/31
1,2001/06/02,1533,200,42,157,1073741824,12969,898,1736,2402,623,280,2574,527,2001/06/06
1,2001/06/10,1673,136,1304,166,1073741824,-943,1141,2143,2961,808,369,3160,718,2001/06/15
1,2001/06/26,2039,1033,3580,184,1073741824,-670,1518,2574,3348,1420,1142,3585,1393,2001/07/03
1,2001/07/04,1179,72,4343,185,1073741824,16049,945,1778,2595,657,273,2749,604,2001/07/04
1,2001/07/12,1380,1545,3528,194,1073741824,16074,599,1206,2007,1188,1155,2238,1027,2001/07/13
1,2001/07/20,1859,72,73,205,1073741824,17854,1212,2039,2711,882,473,2873,907,2001/07/24
1,2001/07/28,1421,205,5679,215,1073741824,13867,750,1691,2531,481,136,2725,352,2001/08/03
1,2001/08/05,1626,8206,4430,217,1073741824,14449,957,1874,2713,802,317,3110,704,2001/08/05
1,2001/08/13,2374,136,1195,230,1073741824,-3021,1321,2446,3403,768,331,3644,694,2001/08/18
1,2001/08/21,2668,136,2425,239,1073741824,-3457,1342,2571,3636,788,301,3993,698,2001/08/27
