site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,33.9641666667,120.4077778,27,5,2367,1448
2,33.8177777778,120.4769444,28,5,22,1483
3,33.2672222222,120.7738889,28,5,235,1615
4,32.9522222222,120.8955556,28,5,347,1691
5,32.8741666667,120.9105556,28,5,371,1710
6,32.4116666667,121.3525,28,5,587,1821
7,32.2844444444,121.4027778,28,5,632,1851
8,32.0138888889,121.7438889,28,5,774,1916
9,31.8497222222,121.8708333,28,5,845,1956
10,31.6416666667,121.6897222,28,5,864,2005
11,31.5113888889,121.9572222,28,5,953,2037
12,30.3358333333,121.1775,28,5,1100,2319
13,30.3308333333,121.1625,28,5,1098,2320
14,29.1430555556,121.7791667,28,6,1527,205
15,29.1358333333,121.7836111,28,6,1529,207
16,28.6169444444,121.5261111,28,6,1603,331
17,28.6052777778,121.5291667,28,6,1606,334
18,28.6975,121.4438889,28,6,1566,312
19,28.6936111111,121.4594444,28,6,1570,313
20,28.0902777778,121.0058333,28,6,1620,458
21,28.0363888889,121.0025,28,6,1632,471
22,27.9561111111,121.9469444,28,6,1851,490
23,27.8933333333,120.87,28,6,1638,505
24,26.9730555556,120.1933333,28,6,1708,726
25,26.8902777778,120.0713889,28,6,1701,746
26,26.8494444444,119.8483333,28,6,1662,756
27,26.765,119.5841667,28,6,1625,776
28,26.5894444444,119.6138889,28,6,1671,818
29,26.0194444444,119.6725,28,6,1810,955
30,24.8722222222,118.6363889,28,6,1831,1230
31,24.8583333333,118.655,28,6,1838,1234
32,24.4655555556,118.0333333,28,6,1784,1328
33,24.4705555556,117.9386111,28,6,1762,1327
id,Date,500m 16 days NDVI,500m 16 days EVI,500m 16 days VI Quality,500m 16 days red reflectance,500m 16 days NIR reflectance,500m 16 days blue reflectance,500m 16 days MIR reflectance,500m 16 days view zenith angle,500m 16 days sun zenith angle,500m 16 days relative azimuth angle,500m 16 days composite day of the year,500m 16 days pixel reliability,actual_date
1,2010/01/01,2421,1001,1550,2975,5732,4164,0,13,1079,1475,754,643,N\A
1,2010/01/17,581,1336,948,536,5672,4164,0,24,1336,1616,555,938,N\A
1,2010/02/02,2383,759,757,757,4996,36885,1,47,1367,1591,449,978,N\A
1,2010/02/18,521,777,1263,1704,5047,4164,0,49,1158,1493,597,591,N\A
1,2010/03/06,2333,947,870,1945,4104,2116,0,70,1164,1386,457,833,N\A
1,2010/03/22,2288,898,608,747,3198,4164,0,95,1358,1534,393,1135,N\A
1,2010/04/07,333,686,1656,6213,3620,4309,1,103,1267,1770,853,619,N\A
1,2010/04/23,384,702,2993,1748,2743,4164,0,113,1002,1858,1835,828,N\A
1,2010/05/09,2153,940,1450,758,1901,4164,0,143,1167,1563,838,901,N\A
1,2010/05/25,258,899,1793,1713,2079,4164,0,145,1027,1476,912,712,N\A
1,2010/06/10,2004,1000,667,764,1795,5202,3,175,1650,1886,571,1529,N\A
1,2010/06/26,145,482,984,3752,2274,2116,0,179,1246,1518,656,1151,N\A
1,2010/07/12,181,667,1991,501,2140,2116,0,200,1327,1987,1797,1436,N\A
1,2010/07/28,2188,335,4182,2965,2226,4164,0,221,667,1626,2009,493,N\A
1,2010/08/13,309,647,3347,521,2728,2116,0,232,1241,2490,2694,1113,N\A
1,2010/08/29,2347,321,3264,766,3291,4164,0,255,1048,2064,2429,1053,N\A
1,2010/09/14,486,247,5035,483,3639,4164,0,264,743,2250,2698,366,N\A
1,2010/09/30,2400,417,4746,1953,4019,2116,0,278,602,1690,2078,295,N\A
1,2010/10/16,599,959,2083,1695,4527,4164,0,289,1227,1873,1373,997,N\A
1,2010/11/01,628,769,3439,481,5211,4164,0,312,1054,2159,1949,575,N\A
1,2010/11/17,2461,458,3379,1953,5508,4164,0,326,713,1441,1388,348,N\A
1,2010/12/03,603,765,2479,491,5881,4164,0,344,1104,1832,1356,672,N\A
