1,19.551494,109.183507,28,7,1386,215
2,19.775155,109.53659,28,7,1476,107
3,19.730128,109.598528,28,7,1518,129
4,19.796258,109.887691,28,7,1628,97
5,19.579773,110.287299,28,7,1876,201
6,20.419787,110.182594,28,6,1564,4598
7,20.448591,110.165351,28,6,1547,4584
8,19.582171,109.42635,28,7,1486,200
9,19.801162,109.506521,28,7,1455,95
10,19.588664,109.161938,28,7,1365,197
11,19.547504,109.195969,28,7,1393,217
12,19.555333,109.208758,28,7,1396,213
13,19.514474,109.3492,28,7,1472,233
14,19.509084,109.467281,28,7,1527,235
15,19.605338,109.863499,28,7,1677,189
16,19.585005,109.827214,28,7,1667,199
17,19.789013,109.931682,28,7,1651,101
18,19.593503,110.242798,28,7,1852,195
19,19.669583,110.619936,28,7,1999,158
20,19.729427,110.639322,28,7,1989,129
21,19.788795,110.543059,28,7,1927,101
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_250m_quality_control_flags,actual_date
1,2000/02/18,-28672,-28672,65535,N\A
1,2000/02/26,4386,4734,4096,N\A
1,2000/03/05,1439,2809,4096,N\A
1,2000/03/13,361,2469,4096,N\A
1,2000/03/21,517,2789,4096,N\A
1,2000/03/29,448,3406,4096,N\A
1,2000/04/06,4844,5942,4096,N\A
1,2000/04/14,558,3061,4096,N\A
1,2000/04/22,325,3523,4096,N\A
1,2000/04/30,801,4277,4096,N\A
1,2000/05/08,1340,3716,4096,N\A
1,2000/05/16,1853,4919,4096,N\A
1,2000/05/24,289,3436,4096,N\A
1,2000/06/01,204,3442,4096,N\A
1,2000/06/09,763,3691,4096,N\A
1,2000/06/17,798,3686,4096,N\A
1,2000/06/25,154,3003,4096,N\A
1,2000/07/03,721,3529,4096,N\A
1,2000/07/11,2862,4389,4096,N\A
1,2000/07/19,510,3663,4096,N\A
1,2000/07/27,174,2090,4096,N\A
1,2000/08/04,2157,4335,4096,N\A
1,2000/08/12,-28672,-28672,65535,N\A
1,2000/08/20,283,2010,4096,N\A
1,2000/08/28,324,3371,4096,N\A
1,2000/09/05,204,3362,4096,N\A
1,2000/09/13,214,2784,4096,N\A
1,2000/09/21,567,3364,4096,N\A
1,2000/09/29,163,2632,4096,N\A
1,2000/10/07,541,3810,4096,N\A
1,2000/10/15,3136,4136,4096,N\A
1,2000/10/23,268,2934,4096,N\A
1,2000/10/31,293,2727,4096,N\A
1,2000/11/08,275,2961,4096,N\A
1,2000/11/16,287,2806,4096,N\A
1,2000/11/24,284,2660,4096,N\A
1,2000/12/02,3194,4027,4096,N\A
1,2000/12/10,272,2506,4096,N\A
1,2000/12/18,342,2323,4096,N\A
1,2000/12/26,348,2525,4096,N\A
1,2001/01/01,348,2525,4096,N\A
1,2001/01/09,513,2299,4096,N\A
1,2001/01/17,349,2713,4096,N\A
1,2001/01/25,422,2049,4096,N\A
1,2001/02/02,443,2214,4096,N\A
1,2001/02/10,565,1907,4096,N\A
1,2001/02/18,763,2252,4096,N\A
1,2001/02/26,647,1809,4096,N\A
1,2001/03/06,692,2420,4096,N\A
1,2001/03/14,592,2684,4096,N\A
1,2001/03/22,376,3323,4096,N\A
1,2001/03/30,444,3014,4096,N\A
1,2001/04/07,629,2937,4096,N\A
1,2001/04/15,437,3223,4096,N\A
1,2001/04/23,509,3335,4096,N\A
1,2001/05/01,229,2524,4096,N\A
1,2001/05/09,780,3981,4096,N\A
1,2001/05/17,494,3561,4096,N\A
1,2001/05/25,873,4243,4096,N\A
1,2001/06/02,1100,2878,4096,N\A
1,2001/06/10,4047,5206,4096,N\A
1,2001/06/26,3870,4934,4096,N\A
1,2001/07/04,323,3878,4096,N\A
1,2001/07/12,607,3443,4096,N\A
1,2001/07/20,285,2662,4096,N\A
1,2001/07/28,329,4423,4096,N\A
1,2001/08/05,3502,4785,4096,N\A
1,2001/08/13,340,3767,4096,N\A
1,2001/08/21,418,4094,4096,N\A
1,2001/08/29,4290,5080,4096,N\A
1,2001/09/06,2225,3117,4096,N\A
1,2001/09/14,521,3615,4096,N\A
1,2001/09/22,288,3480,4096,N\A
1,2001/09/30,251,3194,4096,N\A
1,2001/10/08,136,2158,4096,N\A
1,2001/10/16,330,3366,4096,N\A
1,2001/10/24,134,3122,4096,N\A
1,2001/11/01,181,3590,4096,N\A
1,2001/11/09,189,2718,4096,N\A
1,2001/11/17,276,3185,4096,N\A
1,2001/11/25,251,2717,4096,N\A
1,2001/12/03,333,2883,4096,N\A
1,2001/12/11,5694,6278,4096,N\A
1,2001/12/19,374,3034,4096,N\A
1,2001/12/27,344,2238,4096,N\A
1,2002/01/01,278,2393,4096,N\A
1,2002/01/09,367,2053,4096,N\A
1,2002/01/17,425,2213,4096,N\A
1,2002/01/25,435,1841,4096,N\A
1,2002/02/02,452,1946,4096,N\A
1,2002/02/10,483,1932,4096,N\A
