id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m,MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
1,2009/01/01,322,3468,184,512,3700,2283,900,1073741824,5072,5543,-4835,200,5,2009/01/05,0.0322,0.3468,0.0184,0.0512,0.37,0.2283,0.09,0.830079155673,0.560984308131,0.206051121544,0.587912087912,-0.633631484794,-0.0323660714286,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.830079155673,0.560984308131,0.206051121544,0.587912087912,-0.633631484794,-0.0323660714286
1,2009/01/09,368,3049,190,522,3117,2035,787,1073741824,4807,3026,-5052,136,10,2009/01/10,0.0368,0.3049,0.019,0.0522,0.3117,0.2035,0.0787,0.784606379865,0.484564777328,0.199449252557,0.589676746611,-0.591709034024,-0.0110282192669,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.784606379865,0.484564777328,0.199449252557,0.589676746611,-0.591709034024,-0.0110282192669
1,2009/01/17,440,3444,230,608,3783,2398,1018,1073741824,4938,5543,-4501,136,21,2009/01/21,0.044,0.3444,0.023,0.0608,0.3783,0.2398,0.1018,0.773429454171,0.523016923184,0.17904827114,0.543702375616,-0.595475715236,-0.0469074304691,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.773429454171,0.523016923184,0.17904827114,0.543702375616,-0.595475715236,-0.0469074304691
1,2009/01/25,309,2499,164,412,2644,1784,694,1073741824,4262,1010,12931,136,31,2009/01/31,0.0309,0.2499,0.0164,0.0412,0.2644,0.1784,0.0694,0.779914529915,0.417206431456,0.166939061406,0.565299091763,-0.624772313297,-0.0281936612872,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.779914529915,0.417206431456,0.166939061406,0.565299091763,-0.624772313297,-0.0281936612872
1,2009/02/02,461,2961,227,581,3102,2228,983,1073741824,4378,1803,-4491,136,33,2009/02/02,0.0461,0.2961,0.0227,0.0581,0.3102,0.2228,0.0983,0.73056691993,0.445648686228,0.141260358451,0.501521298174,-0.586329654681,-0.0232558139535,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.73056691993,0.445648686228,0.141260358451,0.501521298174,-0.586329654681,-0.0232558139535
1,2009/02/10,572,2814,305,552,7328,2389,1153,1075576832,4249,3026,-4170,136,42,2009/02/11,0.0572,0.2814,0.0305,0.0552,0.7328,0.2389,0.1153,0.662138216184,0.40154744421,0.0816836440515,0.418704310562,-0.624617477049,-0.445079865904,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.662138216184,0.40154744421,0.0816836440515,0.418704310562,-0.624617477049,-0.445079865904
1,2009/02/18,643,2465,319,592,3127,2673,1543,1073741824,3659,427,-3685,72,56,2009/02/25,0.0643,0.2465,0.0319,0.0592,0.3127,0.2673,0.1543,0.586229086229,0.326980366821,-0.0404826780849,0.23003992016,-0.637366003063,-0.118383404864,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.586229086229,0.326980366821,-0.0404826780849,0.23003992016,-0.637366003063,-0.118383404864
1,2009/02/26,422,2459,207,468,2883,1998,985,1073741824,3335,1009,14041,136,63,2009/03/04,0.0422,0.2459,0.0207,0.0468,0.2883,0.1998,0.0985,0.707046164526,0.378948543364,0.103432802333,0.427990708479,-0.620437956204,-0.0793710220891,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.707046164526,0.378948543364,0.103432802333,0.427990708479,-0.620437956204,-0.0793710220891
1,2009/03/06,782,3153,469,892,3304,2188,1002,1073741824,3132,408,-3192,200,72,2009/03/13,0.0782,0.3153,0.0469,0.0892,0.3304,0.2188,0.1002,0.602541296061,0.413714883964,0.180677775697,0.517689530686,-0.420779220779,-0.0233854731299,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.602541296061,0.413714883964,0.180677775697,0.517689530686,-0.420779220779,-0.0233854731299
1,2009/03/14,581,3691,299,729,3861,2471,1127,1073741824,3456,4871,-2695,200,76,2009/03/17,0.0581,0.3691,0.0299,0.0729,0.3861,0.2471,0.1127,0.727996254682,0.520606649034,0.197987666342,0.532171025322,-0.544375,-0.0225105932203,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.727996254682,0.520606649034,0.197987666342,0.532171025322,-0.544375,-0.0225105932203
