site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,45.8059,-90.0799,11,4,864,503
2,42.5378,-72.1715,12,4,818,895
id,Date,Fpar_1km,Lai_1km,FparLai_QC,FparExtra_QC,FparStdDev_1km,LaiStdDev_1km,actual_date
1,2000/02/18,2,0,105,32,248,248,N\A
1,2000/02/26,29,4,16,8,10,2,N\A
1,2000/03/05,32,6,0,0,8,2,N\A
1,2000/03/13,8,2,105,8,248,248,N\A
1,2000/03/21,22,4,0,48,10,2,N\A
1,2000/03/29,33,6,0,0,8,2,N\A
1,2000/04/06,33,6,0,64,9,2,N\A
1,2000/04/14,11,2,113,8,248,248,N\A
1,2000/04/22,34,8,0,0,9,3,N\A
1,2000/04/30,50,13,16,32,8,3,N\A
1,2000/05/08,35,8,105,48,248,248,N\A
1,2000/05/16,92,59,32,0,2,7,N\A
1,2000/05/24,84,44,32,0,9,15,N\A
1,2000/06/01,93,55,97,0,248,248,N\A
1,2000/06/09,92,54,97,0,248,248,N\A
1,2000/06/17,93,57,97,0,248,248,N\A
1,2000/06/25,95,59,97,64,248,248,N\A
1,2000/07/03,94,57,97,8,248,248,N\A
1,2000/07/11,93,56,97,0,248,248,N\A
1,2000/07/19,93,55,97,0,248,248,N\A
1,2000/07/27,94,57,97,64,248,248,N\A
1,2000/08/12,92,54,97,8,248,248,N\A
1,2000/08/20,93,55,32,0,2,9,N\A
1,2000/08/28,93,59,32,0,1,4,N\A
1,2000/09/05,92,52,32,0,3,11,N\A
1,2000/09/13,92,52,32,0,3,11,N\A
1,2000/09/21,77,27,0,64,10,8,N\A
1,2000/09/29,57,14,0,32,8,3,N\A
1,2000/10/07,49,8,0,0,7,2,N\A
1,2000/10/15,35,5,16,48,7,1,N\A
1,2000/10/23,33,5,0,0,7,1,N\A
1,2000/10/31,32,5,0,0,7,1,N\A
1,2000/11/08,5,1,105,32,248,248,N\A
1,2000/11/16,4,1,113,72,248,248,N\A
1,2000/11/24,37,5,16,8,6,1,N\A
1,2000/12/02,20,3,0,72,8,1,N\A
1,2000/12/10,21,3,16,72,8,1,N\A
1,2000/12/18,16,2,16,0,9,1,N\A
1,2000/12/26,42,6,16,72,0,0,N\Aid,Date,Fpar_1km,Lai_1km,FparLai_QC,FparExtra_QC,FparStdDev_1km,LaiStdDev_1km,actual_date
1,2001/01/01,27,3,16,72,0,0,N\A
1,2001/01/09,29,7,73,72,248,248,N\A
1,2001/01/17,21,3,16,72,9,1,N\A
1,2001/01/25,5,1,105,64,248,248,N\A
1,2001/02/02,4,1,105,48,248,248,N\A
1,2001/02/10,27,4,8,8,0,0,N\A
1,2001/02/18,34,5,8,72,7,1,N\A
1,2001/02/26,23,3,8,8,7,1,N\A
