site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,11.285329,104.86298,28,7,1361,4183
2,11.231328,104.839001,28,7,1358,4208
4,11.206289,104.880867,28,7,1382,4220
5,11.210508,104.916488,28,7,1399,4218
6,11.168756,104.92255,28,7,1408,4238
7,11.139514,104.950413,28,7,1427,4253
8,11.135424,104.931886,28,7,1419,4254
9,11.085529,104.807618,28,7,1368,4278
10,11.097829,104.816336,28,7,1371,4273
11,11.118883,104.828184,28,7,1373,4262
12,11.131352,104.828403,28,7,1371,4256
17,11.051932,104.732049,28,7,1339,4295
20,11.256236,104.669843,28,7,1275,4197
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2012/01/01,2705,1921,2116,1953,3402,836,3105,1311,4097,471,8,0,N\A
1,2012/01/17,2615,1679,2116,1546,2641,749,2788,1581,3797,2260,22,0,N\A
1,2012/02/02,3195,2742,35038,1778,3448,1318,3259,6497,4238,275,46,3,N\A
1,2012/02/18,3184,2935,34842,1990,3850,1011,3779,5415,3676,227,60,3,N\A
1,2012/03/05,2535,2439,2190,2334,3920,1165,3998,4690,3376,203,67,3,N\A
1,2012/03/21,3047,1961,2257,1409,2644,714,2679,1573,2238,1942,86,1,N\A
1,2012/04/06,2984,2453,34838,1718,3180,1046,1750,2865,1725,1707,109,3,N\A
1,2012/04/22,4172,3377,2190,1395,3393,694,2306,5436,2724,-197,124,3,N\A
1,2012/05/08,3935,1334,34965,497,1142,272,145,4828,1566,1366,139,1,N\A
1,2012/05/24,4242,3479,2122,1405,3476,692,1359,4730,2698,-321,147,3,N\A
1,2012/06/09,3211,2584,2066,1612,3137,1112,968,6041,3098,-336,165,3,N\A
1,2012/06/25,3689,2726,2066,1324,2872,924,1139,4828,1895,1311,187,3,N\A
1,2012/07/11,3858,2474,2116,1340,3024,540,863,1581,2228,1415,198,0,N\A
1,2012/07/27,5948,4627,2066,915,3602,685,1531,6073,1404,1435,217,3,N\A
1,2012/08/12,5056,4345,34842,1295,3944,689,2252,5508,1441,1555,226,3,N\A
1,2012/08/28,4987,4073,2066,1216,3636,895,1387,5426,2812,21,252,3,N\A
1,2012/09/13,5546,4786,2066,1174,4098,1124,1234,5436,2887,155,268,3,N\A
1,2012/09/29,7258,4182,2185,431,2713,221,542,2847,2341,2222,285,1,N\A
1,2012/10/15,7732,4839,2120,404,3159,180,666,4808,2582,2354,299,1,N\A
1,2012/10/31,6645,2860,34841,369,1831,169,651,6068,2895,2449,313,1,N\A
1,2012/11/16,4901,2692,2189,819,2394,358,796,4818,3421,2412,331,1,N\A
1,2012/12/02,3437,2431,2116,1591,3258,755,2143,3826,4142,482,346,0,N\A
1,2012/12/18,3034,2172,2116,1756,3286,829,2565,2719,4135,495,353,0,N\A
2,2012/01/01,2978,2014,2116,1735,3207,713,2701,1321,4094,455,8,0,N\A
2,2012/01/17,3060,1917,2116,1333,2509,690,2422,83,3742,2529,31,0,N\A
2,2012/02/02,3110,2103,2185,1546,2942,750,2859,1375,3663,376,40,1,N\A
2,2012/02/18,3320,2215,2186,1216,2425,576,2273,3976,2943,2184,52,3,N\A
2,2012/03/05,3108,2357,35038,1501,2855,770,2643,5540,2308,2159,66,3,N\A
2,2012/03/21,3210,2051,2257,1345,2617,691,2668,1558,2238,1934,86,1,N\A
2,2012/04/06,3188,2738,2062,1783,3452,1006,3626,103,2013,1520,111,3,N\A
2,2012/04/22,4060,3164,34842,1345,3184,754,2267,5436,2726,-198,124,3,N\A
2,2012/05/08,4377,3226,2066,1175,3005,857,1441,6509,3082,-275,142,3,N\A
2,2012/05/24,4193,3161,2190,1254,3065,641,1654,4740,2702,-322,147,3,N\A
