site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,51.72,126.65,25,3,2030,1987
2,50.25,120.18,25,3,1643,2340
3,50.25,127.45,26,3,359,2340
4,49.15,119.75,25,4,1998,204
5,49.17,125.23,26,4,450,199
6,49.43,127.35,26,4,678,136
7,48.0,122.73,26,4,509,479
8,48.55,126.5,26,4,897,348
9,48.05,125.88,26,4,995,468
10,48.88,130.4,26,4,1381,268
11,47.33,123.18,26,4,837,640
12,47.8,124.48,26,4,867,528
13,47.6,126.1,26,4,1207,575
14,47.43,126.97,26,4,1414,616
15,48.36,134.28,26,4,2213,393
16,47.23,131.98,26,4,2309,664
17,46.4,123.42,26,4,1227,863
18,46.68,126.1,26,4,1563,796
19,46.38,125.32,26,4,1549,868
20,46.88,127.48,26,4,1712,748
21,46.08,127.35,26,4,2000,940
22,46.73,129.88,26,4,2165,784
23,46.81,130.28,26,4,2199,765
24,46.3,129.58,26,4,2285,888
25,46.2,130.52,27,4,81,911
26,46.71,131.13,26,4,2379,789
27,46.32,132.18,27,4,308,883
28,46.8,134.0,27,4,415,767
29,45.07,120.33,26,4,1195,1183
30,45.4,121.55,26,4,1283,1104
31,45.63,122.83,26,4,1414,1048
32,45.5,124.27,26,4,1704,1080
33,45.18,124.83,26,4,1917,1156
34,45.08,124.87,26,4,1961,1180
35,45.75,126.77,26,4,2030,1020
36,45.5,125.08,26,4,1840,1080
37,45.38,126.3,26,4,2091,1108
38,45.52,126.95,26,4,2147,1075
39,45.83,128.8,26,4,2339,1000
40,45.22,127.97,27,4,33,1147
41,45.75,130.55,27,4,263,1020
42,45.27,130.23,27,4,396,1135
43,45.77,132.97,27,4,660,1015
44,47.73,88.08,23,4,2218,544
45,46.73,83.0,23,4,1653,784
46,44.9,82.06,23,4,1950,1223
47,44.62,82.9,23,4,2161,1291
48,44.43,84.66,24,4,109,1336
49,44.85,85.25,24,4,105,1235
50,45.02,86.1,24,4,206,1195
51,44.33,85.62,24,4,299,1360
52,44.28,85.81,24,4,344,1372
53,44.32,86.2,24,4,401,1363
54,44.13,86.82,24,4,555,1408
55,44.01,87.43,24,4,691,1437
56,44.02,89.57,24,4,1058,1435
57,43.95,81.33,23,4,2052,1451
58,43.45,83.3,24,4,113,1572
59,43.15,81.13,23,4,2205,1643
60,43.28,87.12,24,4,821,1612
61,42.08,86.56,24,4,1018,1900
62,42.83,89.25,24,4,1308,1720
63,41.16,80.23,24,4,96,2121
64,41.72,82.95,24,4,459,1987
65,41.75,86.13,24,4,1021,1979
66,39.72,76.17,23,5,2061,67
67,39.47,75.98,23,5,2076,127
68,39.8,78.57,24,5,87,48
69,40.5,81.05,24,4,391,2280
70,39.03,88.17,24,5,2038,232
71,38.92,77.63,24,5,95,259
72,38.43,77.27,24,5,127,376
73,37.13,79.93,24,5,894,688
74,36.86,81.66,24,5,1280,753
75,43.6,93.0,24,4,1763,1536
76,42.82,93.52,24,4,2063,1723
77,40.15,94.68,25,4,568,2363
78,39.77,98.48,25,5,1366,55
79,39.37,99.83,25,5,1722,151
80,38.93,100.43,25,5,1950,256
81,38.45,100.82,25,5,2149,371
82,38.23,101.96,26,5,22,424
83,37.91,102.66,26,5,239,501
84,38.63,103.08,26,5,126,328
85,37.37,97.37,25,5,1771,631
86,37.38,101.61,26,5,178,628
87,37.48,102.9,26,5,397,604
88,37.18,104.05,26,5,696,676
89,36.42,94.9,25,5,1527,859
90,36.43,96.41,25,5,1816,856
91,36.3,98.1,25,5,2174,888
92,36.92,100.98,26,5,175,739
93,36.75,101.08,26,5,237,780
94,36.27,100.62,26,5,269,895
95,36.82,101.95,26,5,387,763
96,36.03,101.43,26,5,486,952
97,36.32,102.85,26,5,688,883
98,36.75,103.25,26,5,655,780
99,36.56,104.68,26,5,979,825
100,36.55,104.18,26,5,886,828
101,35.58,99.98,26,5,315,1060
102,35.97,103.3,26,5,864,967
103,35.87,104.15,26,5,1055,991
104,35.58,103.18,26,5,940,1060
105,35.43,103.35,26,5,1010,1096
106,35.36,103.86,26,5,1128,1113
107,35.68,105.08,26,5,1285,1036
108,35.53,104.6,26,5,1229,1072
109,42.25,113.85,26,4,1025,1860
110,41.03,110.05,26,4,724,2152
111,41.1,111.45,26,4,956,2135
112,41.3,112.61,26,4,1103,2088
113,41.45,113.18,26,4,1159,2051
114,41.85,114.6,26,4,1287,1956
115,41.06,113.95,26,4,1420,2145
116,41.15,114.7,26,4,1528,2124
117,40.73,108.65,26,4,560,2224
118,40.55,110.53,26,4,956,2268
119,40.68,111.15,26,4,1030,2236
120,40.0,112.45,26,4,1474,2399
121,40.88,113.86,26,4,1460,2188
122,40.37,113.77,26,4,1602,2311
123,40.68,114.4,26,4,1621,2236
124,40.11,114.16,26,4,1754,2373
125,40.56,115.03,26,4,1773,2265
126,39.08,105.38,26,5,432,220
127,40.77,107.4,26,4,321,2215
128,39.1,109.03,26,5,1106,216
129,39.66,110.86,26,5,1282,81
130,39.38,111.15,26,5,1419,148
131,39.3,112.43,26,5,1680,168
132,39.26,113.53,26,5,1897,177
133,39.83,114.57,26,5,1916,40
134,39.45,114.18,26,5,1960,131
135,38.83,115.15,26,5,2328,280
136,38.91,106.55,26,5,698,261
137,38.48,106.22,26,5,756,364
