site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,29.096,115.84,28,6,293,216
2,28.989,116.207,28,6,395,242
3,28.98,116.206,28,6,397,244
4,28.975,116.163,28,6,389,246
5,29.179,115.891,28,6,284,197
6,29.12,115.898,28,6,299,211
7,29.14,115.888,28,6,292,206
8,29.082,115.902,28,6,309,220
9,28.997,116.01,28,6,352,240
10,28.989,116.035,28,6,359,242
11,29.112,115.84,28,6,289,213
12,28.785,116.007,28,6,401,291
13,28.575,116.168,28,6,484,342
14,29.055,115.824,28,6,299,226
15,28.526,116.065,28,6,473,353
16,28.622,116.057,28,6,449,330
17,28.613,116.116,28,6,464,332
18,28.642,116.262,28,6,488,325
19,28.547,116.23,28,6,503,348
20,28.578,116.15,28,6,479,341
21,29.113,115.927,28,6,307,212
22,29.035,115.921,28,6,324,231
23,29.064,115.894,28,6,312,224
24,29.042,115.989,28,6,337,229
25,29.097,115.811,28,6,286,216
26,29.072,115.942,28,6,320,222
27,29.053,115.931,28,6,322,227
28,28.692,116.166,28,6,456,313
29,28.944,116.118,28,6,387,253
30,29.077,115.905,28,6,311,221
31,29.044,116.018,28,6,342,229
32,29.055,116.125,28,6,362,226
33,29.067,116.07,28,6,348,223
34,28.982,116.208,28,6,397,244
35,28.671,116.281,28,6,485,318
36,28.861,116.418,28,6,469,273
37,29.065,116.058,28,6,346,224
38,29.066,116.072,28,6,348,224
39,29.059,116.012,28,6,338,225
40,29.061,116.064,28,6,348,225
41,29.075,116.072,28,6,346,222
42,29.015,115.992,28,6,344,236
43,28.909,116.007,28,6,372,261
44,29.006,116.032,28,6,354,238
45,28.983,116.062,28,6,366,244
46,29.022,115.952,28,6,334,234
47,29.037,115.982,28,6,336,231
48,29.04,115.89,28,6,316,230
49,28.982,115.974,28,6,348,244
50,28.901,115.74,28,6,318,263
51,28.943,115.897,28,6,341,253
52,28.9,115.743,28,6,318,264
53,28.992,115.995,28,6,350,241
54,28.993,116.001,28,6,351,241
55,29.003,115.967,28,6,341,239
56,28.921,115.838,28,6,333,258
57,28.877,115.877,28,6,352,269
58,28.932,116.027,28,6,371,256
59,28.892,115.697,28,6,311,265
60,29.002,116.011,28,6,351,239
61,29.057,115.926,28,6,320,226
62,29.043,115.985,28,6,336,229
63,29.051,115.984,28,6,334,227
64,29.046,115.979,28,6,334,228
65,29.044,115.981,28,6,335,229
66,29.107,115.836,28,6,289,214
67,29.088,115.801,28,6,286,218
68,29.054,116.086,28,6,354,227
69,28.86,115.921,28,6,365,273
70,28.887,115.873,28,6,349,267
71,28.891,115.718,28,6,315,266
72,29.025,115.863,28,6,314,234
73,29.017,115.932,28,6,331,235
74,29.047,116.001,28,6,338,228
75,29.013,115.897,28,6,324,236
76,29.016,115.881,28,6,320,236
77,29.014,115.877,28,6,320,236
78,29.036,116.082,28,6,358,231
79,29.073,116.066,28,6,346,222
80,29.055,116.121,28,6,361,226
81,29.046,116.113,28,6,362,228
82,29.068,116.071,28,6,348,223
83,29.033,116.02,28,6,345,232
84,29.059,116.013,28,6,338,225
85,29.024,116.039,28,6,351,234
86,29.008,116.017,28,6,351,238
87,29.094,115.839,28,6,293,217
88,29.031,116.049,28,6,352,232
89,29.036,116.017,28,6,344,231
90,28.974,116.182,28,6,393,246
91,29.026,116.136,28,6,371,233
92,29.055,116.015,28,6,339,226
93,29.009,116.033,28,6,354,237
94,28.999,115.973,28,6,343,240
95,29.004,116.023,28,6,353,239
96,28.992,115.977,28,6,346,241
97,29.01,115.994,28,6,345,237
98,29.003,115.98,28,6,344,239
99,29.032,116.105,28,6,363,232
100,28.986,115.98,28,6,348,243
101,28.987,115.969,28,6,345,243
102,28.986,115.975,28,6,347,243
103,29.038,115.994,28,6,339,230
104,28.986,115.98,28,6,348,243
105,28.988,115.974,28,6,346,242
106,28.985,115.996,28,6,352,243
107,28.906,115.97,28,6,365,262
108,28.973,115.771,28,6,307,246
109,28.945,115.99,28,6,360,253
110,28.98,115.999,28,6,353,244
111,28.986,115.979,28,6,348,243
112,28.984,115.98,28,6,348,243
113,28.989,115.981,28,6,348,242
114,28.953,116.113,28,6,384,251
115,29.03,115.996,28,6,341,232
116,28.963,116.005,28,6,359,248
117,29.001,115.976,28,6,344,239
118,28.999,115.964,28,6,342,240
119,28.989,115.974,28,6,346,242
120,29.025,116.003,28,6,344,234
121,29.048,115.996,28,6,337,228
122,28.967,116.155,28,6,389,247
123,29.024,116.013,28,6,346,234
124,29.029,116.001,28,6,342,233
125,29.072,116.039,28,6,340,222
126,29.035,115.996,28,6,340,231
127,28.828,116.187,28,6,429,281
128,28.791,116.267,28,6,454,290
129,28.791,116.269,28,6,455,290
130,28.794,116.264,28,6,453,289
131,28.8,116.243,28,6,447,288
132,29.119,115.798,28,6,278,211
133,29.124,115.793,28,6,276,210
134,29.123,115.79,28,6,276,210
135,29.123,115.79,28,6,276,210
136,29.153,115.873,28,6,286,203
137,29.121,115.793,28,6,277,210
138,29.119,115.797,28,6,278,211
139,29.027,115.881,28,6,318,233
140,29.13,115.788,28,6,274,208
141,29.094,115.848,28,6,295,217
142,29.126,115.795,28,6,276,209
143,29.125,115.791,28,6,276,210
144,29.141,115.837,28,6,281,206
145,29.114,115.804,28,6,281,212
146,29.124,115.79,28,6,276,210
147,29.121,115.802,28,6,279,210
