site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
3,38.05,100.45,25,5,1092,234

Bad input file formatting: three sites

Bad input file formatting: 1,  38.533694444,100.252222222;

Bad input file formatting: 2,  38.05,     100.45;
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
3,2010/01/01,19,2,0,128,10,1,N\A
3,2010/01/09,19,2,16,136,10,1,N\A
3,2010/01/17,19,2,0,128,9,1,N\A
3,2010/01/25,20,3,0,128,9,1,N\A
3,2010/02/02,17,2,0,128,9,1,N\A
3,2010/02/10,17,2,0,128,9,1,N\A
3,2010/02/18,18,2,0,136,9,1,N\A
3,2010/02/26,19,3,0,128,9,2,N\A
3,2010/03/06,15,2,0,128,8,1,N\A
3,2010/03/14,19,3,0,128,9,2,N\A
3,2010/03/22,2,0,105,160,248,248,N\A
3,2010/03/30,15,2,16,136,8,1,N\A
3,2010/04/07,13,2,0,192,6,1,N\A
3,2010/04/15,12,2,0,136,7,1,N\A
3,2010/04/23,18,3,0,128,10,2,N\A
3,2010/05/01,23,4,0,128,5,1,N\A
3,2010/05/09,25,6,0,136,7,2,N\A
3,2010/05/17,35,7,0,128,5,1,N\A
3,2010/05/25,38,8,0,136,7,2,N\A
3,2010/06/02,56,16,0,200,5,2,N\A
3,2010/06/10,64,21,0,128,5,3,N\A
3,2010/06/18,68,24,0,136,5,4,N\A
3,2010/06/26,40,11,16,160,4,2,N\A
3,2010/07/04,87,50,32,128,3,10,N\A
3,2010/07/12,91,61,32,128,2,9,N\A
3,2010/07/20,92,64,32,128,1,5,N\A
3,2010/07/28,87,45,32,128,4,13,N\A
3,2010/08/05,82,37,0,128,3,4,N\A
3,2010/08/13,80,35,0,192,7,14,N\A
3,2010/08/21,81,35,0,128,4,5,N\A
3,2010/08/29,83,38,0,136,3,4,N\A
3,2010/09/06,74,26,0,128,4,4,N\A
3,2010/09/14,62,18,0,192,5,3,N\A
3,2010/09/22,49,11,0,192,5,2,N\A
3,2010/09/30,46,10,0,128,4,1,N\A
3,2010/10/08,34,6,0,128,6,1,N\A
3,2010/10/16,28,3,0,128,0,0,N\A
3,2010/10/24,21,3,0,136,0,0,N\A
3,2010/11/01,22,3,0,128,8,1,N\A
3,2010/11/09,20,3,0,128,9,1,N\A
3,2010/11/17,18,2,0,128,9,1,N\A
3,2010/11/25,19,2,0,128,10,1,N\A
3,2010/12/03,20,3,0,128,9,1,N\A
3,2010/12/11,20,3,0,128,9,1,N\A
3,2010/12/19,17,2,0,128,9,1,N\A
3,2010/12/27,18,2,0,128,9,1,N\A
