1,38.4316,-120.966,8,5,628,188
2,38.4133,-120.9507,8,5,627,190
id,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
1,2000/03/05,14758,0,111,58,13928,0,216,7,246,248,128,160,N\A
1,2000/03/13,14544,0,111,61,14115,0,223,61,246,248,183,254,N\A
1,2000/03/21,14771,0,112,65,13972,0,220,42,246,248,63,39,N\A
1,2000/03/29,15001,0,111,58,14167,0,223,61,246,248,255,255,N\A
1,2000/04/06,14982,0,112,61,14141,0,221,48,246,248,159,63,N\A
1,2000/04/14,14740,0,112,64,14037,0,229,118,247,248,193,2,N\A
1,2000/04/22,14989,0,113,68,14091,0,219,37,246,248,22,31,N\A
1,2000/04/30,15164,0,114,76,14221,0,222,56,246,248,31,94,N\A
1,2000/05/08,14896,0,117,108,14124,0,223,60,246,248,10,126,N\A
1,2000/05/16,15313,0,111,56,14510,0,221,49,246,248,126,124,N\A
1,2000/05/24,15429,0,111,58,14346,0,223,66,246,248,254,214,N\A
1,2000/06/01,15568,0,112,66,14366,0,223,67,246,248,127,111,N\A
1,2000/06/09,15577,0,110,49,14572,0,221,49,246,248,119,247,N\A
1,2000/06/17,15694,0,110,53,14614,0,222,60,246,248,239,127,N\A
1,2000/06/25,15760,0,111,61,14551,0,219,36,246,248,251,251,N\A
1,2000/07/03,15547,0,111,58,14384,0,223,61,247,248,255,255,N\A
1,2000/07/11,15707,0,111,57,14419,0,221,51,246,248,255,223,N\A
1,2000/07/19,15838,0,111,58,14580,0,223,60,246,248,255,255,N\A
1,2000/07/27,15835,0,112,70,14663,0,223,61,246,248,223,255,N\A
1,2000/08/04,15649,0,118,120,14642,0,226,85,246,248,1,3,N\A
1,2000/08/12,15818,0,111,60,14372,0,215,3,246,248,2,2,N\A
1,2000/08/20,15666,0,110,56,14511,0,223,61,246,248,191,255,N\A
1,2000/08/28,15333,0,114,81,14350,65,216,9,246,248,225,137,N\A
1,2000/09/05,15599,0,111,59,14427,0,223,61,246,248,255,255,N\A
1,2000/09/13,15680,0,111,59,14577,0,221,53,246,248,254,254,N\A
1,2000/09/21,15371,0,111,61,14456,0,221,51,246,248,253,125,N\A
1,2000/09/29,15419,0,111,57,14397,0,221,46,246,248,255,255,N\A
1,2000/10/07,15049,0,111,58,14242,0,222,52,246,248,195,71,N\A
1,2000/10/15,14911,0,110,50,14150,0,221,49,246,248,247,247,N\A
1,2000/10/23,14914,0,114,84,14102,0,226,85,246,248,19,3,N\A
1,2000/10/31,14579,0,110,48,14014,0,225,76,246,248,253,185,N\A
1,2000/11/08,14379,0,108,38,13828,0,223,65,246,248,154,185,N\A
1,2000/11/16,14464,0,111,61,13729,0,220,41,246,248,31,231,N\A
1,2000/11/24,14216,0,108,36,13852,0,223,63,247,248,192,66,N\A
1,2000/12/02,14376,0,115,88,13865,0,227,97,246,248,65,147,N\A
1,2000/12/10,14320,0,108,36,0,2,255,255,247,248,192,0,N\A
1,2000/12/18,14363,0,111,61,13742,0,221,50,246,248,31,151,N\A
1,2000/12/26,14229,0,112,74,13740,0,224,69,246,248,55,63,N\A
1,2001/01/01,14370,0,112,73,13788,0,220,37,246,248,61,61,N\A
1,2001/01/09,14216,0,110,53,13690,0,219,35,246,248,248,210,N\A
1,2001/01/17,14350,0,112,67,13715,0,223,64,246,248,49,89,N\A
1,2001/01/25,14211,0,114,84,13640,0,226,91,246,248,76,234,N\A
1,2001/02/02,14331,0,110,51,13908,65,221,54,246,248,126,95,N\A
1,2001/02/10,14475,0,112,74,13814,0,227,105,246,248,112,32,N\A
1,2001/02/18,14340,65,114,93,13912,65,226,88,246,248,160,18,N\A
1,2001/02/26,14568,0,115,90,13789,0,223,70,246,248,6,46,N\A
1,2001/03/06,14655,0,109,45,13971,0,221,57,246,248,242,248,N\A
1,2001/03/14,14732,0,110,56,14109,0,222,69,246,248,253,187,N\A
1,2001/03/22,14828,0,109,49,14145,0,221,53,246,248,247,178,N\A
1,2001/03/30,14868,0,111,66,14090,0,223,73,246,248,83,175,N\A
1,2001/04/07,14658,0,114,87,13881,0,220,43,246,248,172,232,N\A
1,2001/04/15,14760,0,109,43,14066,0,222,67,247,248,141,143,N\A
1,2001/04/23,14998,0,108,41,14244,0,219,37,246,248,215,183,N\A
1,2001/05/01,15297,0,110,57,14345,0,222,61,246,248,255,255,N\A
1,2001/05/09,15576,0,109,51,14399,0,220,46,246,248,135,167,N\A
1,2001/05/17,15632,0,109,52,14527,0,221,55,246,248,191,223,N\A
1,2001/05/25,15599,0,110,58,14439,0,222,60,246,248,255,255,N\A
1,2001/06/02,15677,0,110,57,14375,0,221,59,246,248,255,254,N\A
1,2001/06/10,15646,0,109,48,14417,0,219,45,246,248,30,31,N\A
1,2001/06/26,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/07/04,15689,0,110,58,14650,0,219,34,246,248,242,84,N\A
1,2001/07/12,15682,0,110,58,14452,0,220,45,246,248,255,255,N\A
1,2001/07/20,15747,0,109,56,14537,0,222,61,246,248,253,255,N\A
1,2001/07/28,15665,0,110,58,14540,0,220,45,246,248,255,255,N\A
1,2001/08/05,15773,0,110,57,14561,0,222,62,246,248,255,255,N\A
1,2001/08/13,15792,0,110,59,14552,0,220,45,246,248,255,255,N\A
1,2001/08/21,15744,0,108,48,14596,0,220,50,246,248,251,246,N\A
1,2001/08/29,15791,0,111,66,14578,0,220,45,246,248,253,255,N\A
1,2001/09/06,15487,0,110,62,14405,0,221,61,246,248,223,255,N\A
1,2001/09/14,15515,0,110,58,14436,0,221,60,246,248,255,255,N\A
1,2001/09/22,15240,0,108,46,14371,0,220,53,246,248,249,247,N\A
1,2001/09/30,15372,0,110,58,14403,0,222,65,246,248,255,221,N\A
1,2001/10/08,15264,0,113,89,14282,0,223,77,246,248,119,255,N\A
1,2001/10/16,15138,0,112,74,14209,0,217,30,246,248,231,237,N\A
1,2001/10/24,15056,0,114,87,14117,0,223,82,247,248,15,13,N\A
1,2001/11/01,14832,0,112,80,14077,0,221,65,246,248,239,223,N\A
1,2001/11/09,14676,65,108,41,14142,0,220,61,246,248,34,35,N\A
1,2001/11/17,14584,65,118,125,14162,0,218,37,247,248,2,11,N\A
1,2001/11/25,14343,0,114,90,13678,0,217,28,247,248,6,6,N\A
1,2001/12/03,14200,0,112,79,13936,0,222,71,246,248,146,210,N\A
1,2001/12/11,14094,0,113,86,13785,0,223,89,246,248,15,161,N\A
1,2001/12/19,14214,65,106,28,13787,0,221,60,246,248,16,96,N\A
1,2001/12/27,0,2,255,255,13757,65,227,118,246,248,0,8,N\A
1,2002/01/01,0,2,255,255,13952,0,218,36,247,248,0,24,N\A
1,2002/01/09,14208,0,109,61,13781,0,220,53,246,248,198,228,N\A
1,2002/01/17,14181,0,108,53,13699,0,222,69,246,248,231,255,N\A
1,2002/01/25,14184,0,112,82,13625,0,222,70,246,248,240,232,N\A
1,2002/02/02,14417,0,110,66,13790,0,221,65,246,248,223,159,N\A
1,2002/02/10,14547,0,109,64,13951,0,219,41,246,248,23,45,N\A
1,2002/02/18,14517,0,108,50,14095,0,222,69,246,248,228,248,N\A
1,2002/02/26,14633,0,110,69,14028,0,220,55,246,248,252,127,N\A
1,2002/03/06,14421,0,105,19,13827,0,219,47,247,248,132,12,N\A
1,2002/03/14,14562,0,111,80,13801,0,218,41,246,248,17,19,N\A
1,2002/03/22,14961,0,106,28,14214,0,226,112,246,248,1,1,N\A
1,2002/03/30,14942,0,109,62,14316,0,218,42,246,248,143,31,N\A
1,2002/04/07,14915,0,109,57,14258,0,221,65,246,248,123,225,N\A
1,2002/04/15,14810,0,110,69,14015,0,220,60,246,248,126,121,N\A
1,2002/04/23,14989,0,106,25,14173,0,222,78,246,248,129,131,N\A
1,2002/05/01,15066,0,110,66,14178,0,220,56,246,248,255,254,N\A
1,2002/05/09,15268,0,107,45,14230,0,219,53,246,248,247,239,N\A
1,2002/05/17,15270,0,111,76,14231,0,220,56,246,248,227,231,N\A
1,2002/05/25,15582,0,108,54,14448,0,220,55,246,248,112,255,N\A
1,2002/06/02,15552,0,110,66,14498,0,220,52,246,248,255,255,N\A
1,2002/06/10,15641,0,108,48,14442,0,220,54,246,248,255,255,N\A
1,2002/06/18,15665,0,110,66,14502,0,220,52,246,248,255,255,N\A
1,2002/06/26,15755,0,108,51,14614,0,220,54,246,248,127,255,N\A
1,2002/07/04,15896,0,110,66,14642,0,220,52,246,248,255,255,N\A
1,2002/07/12,15802,0,108,53,14568,0,219,52,247,248,231,252,N\A
1,2002/07/20,15781,0,110,74,14541,0,220,52,246,248,253,255,N\A
1,2002/07/28,15558,0,108,48,14559,0,220,61,246,248,255,247,N\A
1,2002/08/05,15858,0,110,66,14569,0,220,52,246,248,255,255,N\A
1,2002/08/13,15682,0,108,55,14557,0,220,54,246,248,239,255,N\A
1,2002/08/21,15627,0,110,66,14428,0,220,52,246,248,255,255,N\A
