1,36.690822481,118.712596893,27,5,1246,794
2,36.7231130556,118.60625267,27,5,1216,786
3,36.7352202425,118.585481644,27,5,1208,783
id,Date,Solar_zenith,Surface_reflectance_500m_state_flags,View_zenith,Surface_reflectance_day_of_year,Surface_reflectance_500m_quality_control_flags,Relative_azimuth,Surface_reflectance_for_band_7,Surface_reflectance_for_band_6,Surface_reflectance_for_band_5,Surface_reflectance_for_band_4,Surface_reflectance_for_band_3,Surface_reflectance_for_band_2,Surface_reflectance_for_band_1,actual_date
1,2009/01/01,6113,136,2328,1,1073741824,11599,1379,1517,1475,573,355,1108,766,2009/01/01
1,2009/01/09,6067,136,1225,10,1073741824,11884,1463,1577,1646,682,433,1238,893,2009/01/10
1,2009/01/17,5973,136,48,19,1073741824,7310,1657,1976,1754,897,553,1531,1126,2009/01/19
1,2009/01/25,5832,136,1170,28,1073741824,-5495,1820,2126,1888,909,574,1567,1147,2009/01/28
1,2009/02/02,5713,202,4126,39,1073741824,-5334,2042,2570,2262,1250,768,2085,1454,2009/02/08
1,2009/02/10,5504,201,4824,48,1073741824,-5089,1987,2461,2676,1393,926,2336,1573,2009/02/17
1,2009/02/18,5103,202,63,51,1073741824,6648,1655,2016,2077,970,658,1751,1142,2009/02/20
1,2009/02/26,4885,202,3281,62,1073741824,-4977,1442,2213,2146,959,596,2028,1004,2009/03/03
1,2009/03/06,4514,202,38,67,1073741824,15658,1323,1956,1930,1064,723,1871,1101,2009/03/08
1,2009/03/14,4222,200,1152,76,1073741824,-4820,1654,2224,2379,1026,554,2194,1154,2009/03/17
1,2009/03/22,3937,200,2271,85,1073741824,-4811,1332,2097,2388,1211,782,2454,1218,2009/03/26
1,2009/03/30,3555,202,1245,90,1073741824,12630,1049,1895,2554,1212,760,2644,1195,2009/03/31
1,2009/04/07,3276,200,75,99,1073741824,9487,1392,2265,2896,1003,547,3181,976,2009/04/09
1,2009/04/15,3029,200,1142,108,1073741824,-4433,1280,2383,3540,969,442,3887,873,2009/04/18
1,2009/04/23,2734,200,75,115,1073741824,9818,1483,2431,3551,1119,537,3811,1102,2009/04/25
1,2009/05/01,2555,200,1142,124,1073741824,-3942,1454,2600,3594,1097,554,4115,1003,2009/05/04
1,2009/05/09,2436,200,2270,133,1073741824,-3580,1434,2584,3770,1165,568,4013,1064,2009/05/13
1,2009/05/17,2092,200,1244,138,1073741824,13875,1793,2781,3609,1242,631,3907,1198,2009/05/18
1,2009/05/25,2043,200,61,147,1073741824,9842,2243,3224,3705,1293,801,3722,1306,2009/05/27
1,2009/06/02,2060,201,1169,156,1073741824,-2740,2485,3314,3708,1522,851,3283,1641,2009/06/05
1,2009/06/10,1943,201,39,163,1073741824,8314,2768,3679,3954,1633,944,3601,1800,2009/06/12
1,2009/06/18,2052,200,1197,172,1073741824,-2409,3047,3823,4119,1642,986,3563,1853,2009/06/21
1,2009/06/26,1760,201,3255,184,1073741824,14463,3171,3669,3679,1269,778,3057,1532,2009/07/03
1,2009/07/04,2676,201,5441,185,1073741824,-1906,2055,2951,3268,851,531,2798,1036,2009/07/04
1,2009/07/12,2153,201,67,195,1073741824,2475,2705,3395,3593,1751,1047,3141,1963,2009/07/14
1,2009/07/20,1851,205,5339,205,1073741824,13260,2656,3021,3036,1043,694,2652,1302,2009/07/24
1,2009/07/28,2407,201,42,211,1073741824,2549,2300,2800,2792,1179,614,2400,1309,2009/07/30
1,2009/08/05,3124,204,4844,224,1073741824,-3155,1545,2142,2409,1085,752,2182,1094,2009/08/12
1,2009/08/13,2554,200,2302,225,1075576835,13485,2175,2669,-28672,1025,643,2239,1176,2009/08/13
1,2009/08/21,3054,200,1196,236,1073741824,-4343,1282,1868,2043,901,600,1908,882,2009/08/24
1,2009/08/29,3179,200,54,243,1075576833,4846,1455,2165,-100,1057,738,2382,1013,2009/08/31
1,2009/09/06,3911,204,4834,256,1073741824,-4535,628,1286,1974,570,267,1992,508,2009/09/13
1,2009/09/14,3859,200,2308,261,1073741824,-5106,1022,1961,2665,768,369,2877,689,2009/09/18
1,2009/09/22,4034,200,1187,268,1073741824,-5576,956,2056,2709,884,514,3114,622,2009/09/25
1,2009/09/30,4389,200,2308,277,1073741824,-5591,1072,1983,2632,849,415,2880,794,2009/10/04
1,2009/10/08,4582,200,1197,284,1073741824,-5805,989,1816,2609,767,362,2810,741,2009/10/11
1,2009/10/16,4650,200,2301,289,1073741824,11500,1248,1941,2359,892,494,2526,929,2009/10/16
1,2009/10/24,5118,202,1187,300,1073741824,-6189,1204,1903,2600,1055,578,2625,1137,2009/10/27
1,2009/11/01,5304,200,15,307,1073741824,11661,638,1407,1980,734,409,2348,691,2009/11/03
1,2009/11/09,5551,200,4110,319,1073741824,11083,879,1665,2138,727,459,2465,744,2009/11/15
1,2009/11/17,5741,200,23,323,1073741824,11542,801,1440,1864,883,458,2212,880,2009/11/19
