ID	Latitude	Longitude
1	21.322	105.491
2	21.269	105.522
3	21.257	105.645
4	21.204	105.408
5	20.880	105.685
6	20.759	105.770
7	20.878	105.848
8	20.738	105.933
9	21.213	106.009
10	21.163	106.157
11	20.956	106.110
12	20.874	106.117
13	20.765	106.117
14	20.732	106.365
15	20.788	106.228
16	20.870	106.188
17	20.776	106.320
18	20.349	106.220
19	20.707	105.842
20	20.678	106.179
21	20.648	105.938
22	20.441	105.953
23	20.498	105.947
24	20.500	106.070
25	20.638	106.495
26	20.682	106.452
27	20.571	106.506
28	20.556	106.461
29	20.477	106.358
30	20.569	106.327
31	20.341	106.450
32	20.272	106.425
33	20.320	106.054
34	20.374	106.088
35	20.142	106.130
36	20.192	106.255
37	20.278	106.300
38	20.345	105.842
39	20.136	106.032
40	20.253	106.222
41	20.573	106.405
42	20.420	106.477
