site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,20.477082,106.07578,27,6,4499,4571
2,20.527173,106.479465,27,6,4664,4546
3,20.285576,105.824057,27,6,4445,4662
4,21.164632,105.980063,27,6,4239,4240
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2004/01/01,3765,1654,3298,799,1764,264,1301,5711,4485,2427,3,3,N\A
1,2004/01/17,394,1262,2062,7656,8285,6902,5821,1886,4739,490,18,3,N\A
1,2004/02/02,3433,1615,34838,827,1692,436,678,570,4201,449,41,3,N\A
1,2004/02/18,2420,1074,2257,911,1493,455,293,820,3409,2232,64,1,N\A
1,2004/03/05,2954,1347,35037,886,1629,421,459,4255,2971,2246,69,1,N\A
1,2004/03/21,9088,4102,35037,105,2198,10,325,4978,2056,2175,92,1,N\A
1,2004/04/06,5883,4441,2261,1077,4155,439,1102,4183,1867,2091,101,1,N\A
1,2004/04/22,8651,6764,2257,328,4536,127,894,2032,2183,81,114,1,N\A
1,2004/05/08,8959,8360,2261,317,5774,181,1038,4172,2263,-48,132,1,N\A
1,2004/05/24,7425,5717,34837,564,3817,397,1074,3175,2126,-163,155,1,N\A
1,2004/06/09,3741,1646,2116,716,1572,383,510,3274,1525,1564,174,0,N\A
1,2004/06/25,4321,1698,3102,590,1488,241,415,4236,1417,1558,181,3,N\A
1,2004/07/11,722,310,34966,1105,1277,543,323,4255,1460,1629,197,3,N\A
1,2004/07/27,2440,881,2185,697,1147,343,321,1967,2207,-88,210,1,N\A
1,2004/08/12,8696,5704,2185,232,3329,153,595,3284,1846,1992,238,1,N\A
1,2004/08/28,8646,5818,2257,256,3528,134,517,830,2390,2158,256,1,N\A
1,2004/09/13,9011,7196,34837,247,4748,79,752,3138,2947,340,267,1,N\A
1,2004/09/29,7871,5184,2257,392,3291,222,515,2173,2900,2296,279,1,N\A
1,2004/10/15,5758,3559,2261,753,2798,394,735,4274,3227,2394,293,1,N\A
1,2004/10/31,3884,2417,2061,1184,2688,565,1617,1959,3915,524,306,1,N\A
1,2004/11/16,3401,1765,2257,961,1952,491,1536,726,4518,2413,336,1,N\A
1,2004/12/02,3121,1748,2257,1145,2184,560,1898,2040,4665,560,338,1,N\A
1,2004/12/18,2229,1045,2189,1014,1596,501,1424,4235,4596,2414,357,1,N\A
2,2004/01/01,2934,1358,35878,898,1644,441,1126,4538,4553,2402,5,3,N\A
2,2004/01/17,348,1201,2066,6480,6948,6145,4194,6004,4946,424,31,3,N\A
2,2004/02/02,3512,1570,3298,833,1735,317,403,4751,4440,405,45,3,N\A
2,2004/02/18,3265,1357,2257,723,1424,380,285,1164,3390,2226,64,1,N\A
2,2004/03/05,3647,1545,2261,701,1506,359,401,4460,2955,2250,69,1,N\A
2,2004/03/21,7561,4348,35037,379,2729,199,526,5152,2036,2183,92,1,N\A
2,2004/04/06,5841,8056,3102,1227,4674,1512,1455,6049,2895,78,111,3,N\A
2,2004/04/22,8802,7045,2257,306,4803,91,990,1702,2150,107,114,1,N\A
2,2004/05/08,8601,7576,2257,385,5119,241,727,3941,2226,-42,132,1,N\A
2,2004/05/24,7997,6824,3222,541,4862,304,846,3931,2208,-138,148,3,N\A
2,2004/06/09,4315,3623,2262,1165,2934,1029,806,5783,1012,1517,163,3,N\A
2,2004/06/25,1390,1162,2066,1536,2032,1411,824,6492,2939,-159,184,3,N\A
2,2004/07/11,1754,1422,2066,1438,2050,1323,712,4460,1424,1624,197,3,N\A
2,2004/07/27,5534,2610,2185,578,2011,234,655,1156,1943,1863,224,1,N\A
2,2004/08/12,8215,7030,2066,315,3215,639,815,5183,1547,2030,236,3,N\A
2,2004/08/28,9023,5869,2257,173,3369,106,489,1173,2366,2117,256,1,N\A
2,2004/09/13,9763,7836,34841,56,4673,806,1073,4479,2203,2238,261,1,N\A
2,2004/09/29,7094,4992,2185,612,3600,308,726,2849,3323,443,283,1,N\A
2,2004/10/15,5715,3285,2061,707,2593,331,917,2476,3389,2369,295,1,N\A
2,2004/10/31,2609,2104,3102,1640,2798,1184,1953,4791,4407,518,317,3,N\A
2,2004/11/16,2610,1195,2257,934,1594,453,1413,1072,4511,2395,336,1,N\A
2,2004/12/02,2850,1430,2257,1017,1828,501,1151,312,4697,508,345,1,N\A
2,2004/12/18,2848,1077,34837,693,1245,346,697,1677,4841,540,354,1,N\A
3,2004/01/01,3980,2103,35033,846,1965,499,1326,721,4618,2364,16,1,N\A
3,2004/01/17,437,1396,2066,6581,7183,6119,3995,6199,4967,420,31,3,N\A
3,2004/02/02,3198,1515,2257,859,1667,466,809,658,3919,2278,48,1,N\A
3,2004/02/18,3666,1638,2257,753,1625,378,515,630,3409,2195,64,1,N\A
3,2004/03/05,3582,1609,2261,781,1653,373,667,4139,2969,2236,69,1,N\A
3,2004/03/21,7846,4588,35037,340,2818,181,717,4887,2056,2167,92,1,N\A
3,2004/04/06,8060,5498,2261,376,3502,206,786,4071,1872,2081,101,1,N\A
3,2004/04/22,8100,6571,2257,483,4602,244,980,2205,2199,86,114,1,N\A
3,2004/05/08,8378,7029,2261,426,4829,230,886,4288,2283,-54,132,1,N\A
3,2004/05/24,5945,5431,34842,903,3551,904,778,5582,984,1612,147,3,N\A
3,2004/06/09,4758,2319,2116,717,2019,305,623,3124,1552,1551,174,0,N\A
3,2004/06/25,5889,2603,3158,470,1817,227,371,4120,1444,1548,181,3,N\A
3,2004/07/11,1616,2004,2066,2393,3316,2155,752,4139,1485,1619,197,3,N\A
3,2004/07/27,4531,2359,2116,799,2123,385,608,796,2106,-38,217,0,N\A
