site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,6.92754,124.211991,30,8,1586,1474
2,6.8088,124.481826,30,8,1729,1531
3,7.13658,124.536971,30,8,1714,1374
4,7.886234,124.352285,30,8,1524,1014
5,17.6,120.650104,29,7,2401,1152
6,17.403802,120.710614,29,7,2488,1246
7,16.87,120.847332,29,7,2710,1502
8,16.482452,120.60318,29,7,2710,1688
9,17.384381,121.504894,29,7,2858,1255
10,18.264937,120.594505,29,7,2168,832
11,17.973888,120.691845,29,7,2304,972
12,17.647013,120.431362,29,7,2286,1129
13,17.176121,120.449365,29,7,2437,1355
14,16.892107,120.528628,29,7,2557,1491
15,16.860722,120.397383,29,7,2506,1506
16,16.405965,120.397421,29,7,2637,1725
17,15.989078,120.39786,29,7,2755,1925
18,16.090444,120.552156,29,7,2798,1876
19,16.089993,120.763807,29,7,2895,1876
20,15.929306,120.707129,29,7,2914,1953
21,16.097167,119.989561,29,7,2536,1873
22,15.770139,120.338379,29,7,2788,2030
23,18.27969,121.718203,29,7,2676,825
24,18.079776,121.552994,29,7,2664,921
25,17.80583,121.639191,29,7,2789,1053
26,17.872952,121.910065,29,7,2892,1020
27,17.040246,121.730973,29,7,3065,1420
28,16.683838,121.496308,29,7,3063,1591
29,16.477999,121.75562,29,7,3242,1690
30,16.362945,121.693003,29,7,3246,1745
31,17.046134,121.096969,29,7,2772,1417
32,16.338072,121.096969,29,7,2979,1757
33,16.204606,121.066956,29,7,3003,1821
34,16.545279,121.175551,29,7,2955,1658
35,16.022895,121.096101,29,7,3068,1909
36,15.978566,121.074224,29,7,3070,1930
37,15.794952,121.022798,29,7,3097,2018
38,15.667999,120.968348,29,7,3107,2079
39,15.415045,120.810752,29,7,3103,2200
40,15.18643,120.933623,29,7,3221,2310
41,14.976358,120.844992,29,7,3235,2411
42,15.38902,120.571417,29,7,2999,2213
43,15.411066,120.569883,29,7,2992,2202
44,15.666704,120.434203,29,7,2860,2079
45,15.665044,120.368507,29,7,2830,2080
46,14.939025,120.515393,29,7,3092,2429
47,14.919103,120.523545,29,7,3101,2438
48,15.089563,121.003032,29,7,3278,2357
49,15.670958,121.145854,29,7,3188,2077
50,15.707533,120.803862,29,7,3020,2060
51,15.291401,120.820462,29,7,3140,2260
52,15.617459,121.164793,29,7,3211,2103
53,14.285342,120.754128,29,7,3369,2743
54,14.396618,120.877077,29,7,3399,2689
55,14.227291,121.158483,29,7,3572,2770
56,14.447077,121.412577,29,7,3635,2665
57,14.711751,121.640761,29,7,3673,2538
58,14.173183,121.309555,29,7,3656,2796
59,13.281084,121.239187,29,7,3838,3225
60,13.22632,121.166563,29,7,3817,3251
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2010/01/01,4896,2842,2116,896,2615,383,1377,1185,3771,416,7,0,N\A
1,2010/01/17,5508,3410,2116,793,2738,432,1371,2571,3642,339,32,0,N\A
1,2010/02/02,4686,2493,2116,856,2366,315,1311,1184,3406,320,39,0,N\A
1,2010/02/18,4794,2513,2116,767,2180,364,1323,342,2780,2017,62,0,N\A
1,2010/03/06,5864,2706,2120,495,1899,253,1004,4140,2263,2024,67,0,N\A
1,2010/03/22,5447,3542,2116,893,3030,441,1744,3710,2699,-21,89,0,N\A
1,2010/04/07,5494,2781,2116,604,2077,328,1231,1773,1981,1656,101,0,N\A
1,2010/04/23,5111,2608,2116,693,2142,322,1075,289,2208,1415,126,0,N\A
1,2010/05/09,5419,2852,34837,661,2225,331,1121,3070,2119,1316,140,1,N\A
1,2010/05/25,6678,3406,34893,455,2285,211,738,3079,2311,1269,156,1,N\A
1,2010/06/10,6567,3678,2116,555,2679,210,870,334,2659,1271,174,0,N\A
1,2010/06/26,5815,4024,34841,889,3360,446,1179,4640,3155,-422,178,1,N\A
1,2010/07/12,7141,4998,2116,593,3556,306,948,3710,2987,-385,201,0,N\A
1,2010/07/28,4599,3181,2116,1349,3647,491,1362,2598,2640,-272,224,0,N\A
1,2010/08/13,5483,3437,34837,698,2393,567,1121,1754,2146,1519,229,1,N\A
1,2010/08/29,8641,3424,34841,128,1756,1663,1174,4120,1672,1636,243,1,N\A
1,2010/09/14,5600,3876,2116,992,3518,424,1530,3701,2488,63,265,0,N\A
1,2010/09/30,6077,4122,34842,780,3197,429,1230,5383,2899,196,283,3,N\A
1,2010/10/16,6041,3497,34837,634,2569,339,1145,1800,2343,2177,293,1,N\A
1,2010/11/01,5924,2513,2116,441,1723,216,812,3096,2830,2322,316,0,N\A
1,2010/11/17,7730,3631,2189,278,2172,107,702,5657,2762,2402,321,1,N\A
1,2010/12/03,7052,5371,34897,608,3518,483,1401,4630,3798,424,338,1,N\A
1,2010/12/19,7850,4563,34841,326,2707,216,756,5646,3283,2384,353,1,N\A
2,2010/01/01,6724,3315,2116,416,2124,232,474,913,3746,457,7,0,N\A
2,2010/01/17,8057,4079,2116,256,2380,120,362,577,3427,2190,30,0,N\A
2,2010/02/02,8135,4858,2116,307,2986,139,511,2028,3193,2170,37,0,N\A
2,2010/02/18,6232,3423,2116,587,2529,249,783,3294,2541,2058,60,0,N\A
2,2010/03/06,4181,2447,2116,1002,2442,499,1382,878,2686,102,71,0,N\A
2,2010/03/22,5411,2817,2116,639,2146,348,562,885,2395,-13,87,0,N\A
2,2010/04/07,2991,1288,2185,806,1494,398,575,586,2092,1586,110,1,N\A
2,2010/04/23,3524,1499,2189,713,1489,377,517,4502,2688,-224,114,1,N\A
2,2010/05/09,6971,3605,2118,403,2258,242,500,2304,2639,-422,144,3,N\A
2,2010/05/25,7343,3815,2116,351,2292,224,480,885,2590,-451,151,0,N\A
2,2010/06/10,8222,4520,2116,259,2656,127,415,622,2646,1300,174,0,N\A
