id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m,MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
1,2000/02/18,814,1838,698,882,2302,1639,1190,1073741824,5183,2862,-5716,1040,56,2000/02/25,0.0814,0.1838,0.0698,0.0882,0.2302,0.1639,0.119,0.386123680241,0.222860625054,0.0572332470521,0.214002642008,-0.300277667592,-0.112077294686,0000010000010000,clear,no,ocean coastlines and lake shorelines,climatology,none,cloud,no fire,no,no,no,no,No,No,0.386123680241,0.222860625054,0.0572332470521,0.214002642008,-0.300277667592,-0.112077294686
1,2000/02/26,692,1721,468,712,1818,1461,885,1073741824,4861,451,11353,80,61,2000/03/01,0.0692,0.1721,0.0468,0.0712,0.1818,0.1461,0.0885,0.426440116038,0.20808056297,0.0817096165933,0.320798158097,-0.344684767602,-0.0274088725629,0000000001010000,clear,no,ocean coastlines and lake shorelines,low,none,no cloud,no fire,no,no,no,no,No,No,0.426440116038,0.20808056297,0.0817096165933,0.320798158097,-0.344684767602,-0.0274088725629
1,2000/03/05,359,579,482,540,663,841,550,1073741824,4304,5426,11341,74,71,2000/03/11,0.0359,0.0579,0.0482,0.054,0.0663,0.0841,0.055,0.234541577825,0.0603202456679,-0.184507042254,0.0256864481842,-0.217958001448,-0.0676328502415,0000000001001010,mixed,no,land,low,none,no cloud,no fire,no,no,no,no,Yes,Yes,0.459185700913,0.199160465082,0.066919419163,0.297571155527,-0.396402955871,0.0319924410986
1,2000/03/13,488,1433,259,492,1193,1291,816,1073741824,4238,2596,11878,144,75,2000/03/15,0.0488,0.1433,0.0259,0.0492,0.1193,0.1291,0.0816,0.491931285789,0.190240367194,0.0521292217327,0.274344152957,-0.448121144139,0.0913937547601,0000000010010000,clear,no,ocean coastlines and lake shorelines,average,none,no cloud,no fire,no,no,no,no,No,No,0.491931285789,0.190240367194,0.0521292217327,0.274344152957,-0.448121144139,0.0913937547601
1,2000/03/21,596,1890,328,599,1542,1501,1061,1107296256,3909,591,-5364,72,86,2000/03/26,0.0596,0.189,0.0328,0.0599,0.1542,0.1501,0.1061,0.520514883347,0.248731354759,0.114715423179,0.28092172145,-0.429523809524,0.101398601399,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.520514883347,0.248731354759,0.114715423179,0.28092172145,-0.429523809524,0.101398601399
1,2000/03/29,500,1214,336,508,1271,970,610,1073741824,3619,4333,11520,148,89,2000/03/29,0.05,0.1214,0.0336,0.0508,0.1271,0.097,0.061,0.416569428238,0.152642380708,0.111721611722,0.331140350877,-0.312584573748,-0.0229376257545,0000000010010100,clear,yes,ocean coastlines and lake shorelines,average,none,no cloud,no fire,no,no,no,no,Yes,Yes,0.462617833153,0.198073947804,0.132829409703,0.322406081519,-0.321230907457,0.06721073169
1,2000/04/06,517,1220,320,584,1142,900,569,1075576832,3052,5465,11090,208,103,2000/04/12,0.0517,0.122,0.032,0.0584,0.1142,0.09,0.0569,0.404720782959,0.147416540849,0.150943396226,0.363890441587,-0.212938005391,0.0330228619814,0000000011010000,clear,no,ocean coastlines and lake shorelines,high,none,no cloud,no fire,no,no,no,no,No,No,0.404720782959,0.147416540849,0.150943396226,0.363890441587,-0.212938005391,0.0330228619814
1,2000/04/14,731,1838,421,729,2346,1650,1129,1073741824,3385,4417,-4911,80,106,2000/04/15,0.0731,0.1838,0.0421,0.0729,0.2346,0.165,0.1129,0.430906967692,0.211801170933,0.0538990825688,0.238961914392,-0.387137452711,-0.121414913958,0000000001010000,clear,no,ocean coastlines and lake shorelines,low,none,no cloud,no fire,no,no,no,no,No,No,0.430906967692,0.211801170933,0.0538990825688,0.238961914392,-0.387137452711,-0.121414913958
1,2000/04/22,630,1866,394,657,1980,1733,1036,1073741824,3079,3610,-4835,136,113,2000/04/22,0.063,0.1866,0.0394,0.0657,0.198,0.1733,0.1036,0.495192307692,0.243479631235,0.0369547096416,0.286009648518,-0.450209205021,-0.0296411856474,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.495192307692,0.243479631235,0.0369547096416,0.286009648518,-0.450209205021,-0.0296411856474
1,2000/04/30,639,1387,449,686,1311,1240,910,1073741824,2249,4977,11223,208,128,2000/05/07,0.0639,0.1387,0.0449,0.0686,0.1311,0.124,0.091,0.369200394867,0.157759311596,0.0559573658165,0.207662168045,-0.28764278297,0.0281690140845,0000000011010000,clear,no,ocean coastlines and lake shorelines,high,none,no cloud,no fire,no,no,no,no,No,No,0.369200394867,0.157759311596,0.0559573658165,0.207662168045,-0.28764278297,0.0281690140845
1,2000/05/08,774,2029,423,771,2006,1746,1206,1073741824,2409,2796,-4525,136,136,2000/05/15,0.0774,0.2029,0.0423,0.0771,0.2006,0.1746,0.1206,0.447734570103,0.232398800044,0.0749668874172,0.254404945904,-0.3873659118,0.00570012391574,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.447734570103,0.232398800044,0.0749668874172,0.254404945904,-0.3873659118,0.00570012391574
1,2000/05/16,650,2071,316,675,2025,1671,1115,1073741824,2213,1768,-4457,144,143,2000/05/22,0.065,0.2071,0.0316,0.0675,0.2025,0.1671,0.1115,0.52223447262,0.261194029851,0.106894708712,0.300062774639,-0.424552429668,0.01123046875,0000000010010000,clear,no,ocean coastlines and lake shorelines,average,none,no cloud,no fire,no,no,no,no,No,No,0.52223447262,0.261194029851,0.106894708712,0.300062774639,-0.424552429668,0.01123046875
