site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,35.958481,111.371717,27,5,35,969
2,35.731049,111.147804,27,5,54,1024
id,Date,500m 16 days NDVI,500m 16 days EVI,500m 16 days VI Quality,500m 16 days red reflectance,500m 16 days NIR reflectance,500m 16 days blue reflectance,500m 16 days MIR reflectance,500m 16 days view zenith angle,500m 16 days sun zenith angle,500m 16 days relative azimuth angle,500m 16 days composite day of the year,500m 16 days pixel reliability,actual_date
1,2010/01/01,2299,1335,3158,1383,2209,673,2321,3885,6186,569,13,3,N\A
1,2010/01/17,2196,1054,2116,1039,1624,531,1820,440,5784,2428,25,0,N\A
1,2010/02/02,2191,952,2116,905,1413,467,1279,1662,5089,2373,48,0,N\A
1,2010/02/18,2326,1022,2261,930,1494,438,1503,4411,4787,2386,53,1,N\A
1,2010/03/06,2681,1561,2116,1302,2256,639,2070,2958,4598,485,68,0,N\A
1,2010/03/22,3528,2276,2185,1282,2680,669,1869,1914,3648,458,91,1,N\A
1,2010/04/07,3487,2134,2185,1215,2516,609,1795,753,3318,443,98,1,N\A
1,2010/04/23,5857,3462,2185,697,2668,349,1094,3622,2161,2289,126,1,N\A
1,2010/05/09,4488,2893,2116,1096,2881,538,1619,771,2354,381,130,0,N\A
1,2010/05/25,5793,3668,2189,794,2981,379,1248,4620,2453,228,150,1,N\A
1,2010/06/10,3568,2105,2116,1122,2367,575,1669,486,1881,2111,169,0,N\A
1,2010/06/26,4603,2460,2257,834,2257,374,1619,1652,1950,2098,192,1,N\A
1,2010/07/12,4778,2730,2185,874,2474,409,1560,470,2166,2173,201,1,N\A
1,2010/07/28,7378,4918,2257,533,3534,197,923,2697,2246,2195,215,1,N\A
1,2010/08/13,6911,4982,2185,672,3680,349,1126,2991,2951,345,228,1,N\A
1,2010/08/29,7238,4321,2257,445,2778,260,772,1662,3443,2361,256,1,N\A
1,2010/09/14,6746,3896,2185,511,2630,280,868,494,3795,2390,265,1,N\A
1,2010/09/30,5505,3310,2116,785,2708,386,1367,2945,4323,545,276,0,N\A
1,2010/10/16,3687,1873,2257,910,1973,433,1455,2725,4773,2453,295,1,N\A
1,2010/11/01,3771,1901,2116,852,1884,457,1458,2734,5286,2476,311,0,N\A
1,2010/11/17,3051,1768,2116,1224,2299,593,1882,1905,5901,630,331,0,N\A
1,2010/12/03,2848,1585,2120,1204,2163,569,1879,2963,6095,626,340,0,N\A
1,2010/12/19,2587,1525,2120,1331,2260,669,2145,3885,6291,591,365,0,N\A
2,2010/01/01,2391,1417,2120,1390,2264,692,2304,3083,6204,595,4,0,N\A
2,2010/01/17,2063,1115,2116,1242,1888,649,2029,317,5769,2477,25,0,N\A
2,2010/02/02,2368,1092,2116,973,1577,479,1312,1544,5075,2375,48,0,N\A
2,2010/02/18,1990,1048,2185,1217,1822,626,1645,867,5113,522,50,1,N\A
2,2010/03/06,2952,1867,2257,1369,2516,717,1770,3565,3848,2347,78,1,N\A
2,2010/03/22,3991,2713,2185,1275,2969,668,1824,2033,3639,449,91,1,N\A
2,2010/04/07,4842,3105,2185,999,2875,502,1471,880,3308,436,98,1,N\A
2,2010/04/23,7274,4837,2185,519,3290,278,884,3546,2149,2284,126,1,N\A
2,2010/05/09,6385,4358,2185,733,3323,382,1143,897,2348,368,130,1,N\A
2,2010/05/25,6678,3695,2257,544,2732,159,1242,2032,2106,253,155,1,N\A
2,2010/06/10,2899,1512,2116,1052,1911,537,1690,371,1880,2145,169,0,N\A
2,2010/06/26,4017,2227,2185,950,2226,481,1827,1543,1947,2093,192,1,N\A
2,2010/07/12,5404,3256,2185,787,2638,420,1647,340,2164,2073,201,1,N\A
2,2010/07/28,8680,7022,2257,310,4387,231,670,2604,2238,2191,215,1,N\A
2,2010/08/13,8165,6231,2185,421,4169,221,670,3102,2948,352,228,1,N\A
2,2010/08/29,8091,5101,2257,332,3147,179,595,1552,3429,2339,256,1,N\A
2,2010/09/14,7843,5496,2257,444,3673,220,686,3065,3797,488,260,1,N\A
2,2010/09/30,6403,4136,2116,680,3101,340,1235,3056,4310,550,276,0,N\A
2,2010/10/16,2770,1461,2257,1118,1975,536,1890,1543,5079,2449,304,1,N\A
2,2010/11/01,3318,1860,2185,1074,2141,566,1954,2632,5267,2477,311,1,N\A
2,2010/11/17,3329,1962,2185,1160,2318,604,1775,367,5775,2437,329,1,N\A
2,2010/12/03,3211,1896,2189,1187,2310,617,1830,359,6029,2499,345,1,N\A
2,2010/12/19,2857,1632,2261,1236,2225,599,1740,331,6109,2406,361,1,N\A
