id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m,MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
1,2013/01/01,6247,5948,6433,6511,3397,852,314,1073741824,7161,998,-6138,36936,6,2013/01/06,0.6247,0.5948,0.6433,0.6511,0.3397,0.0852,0.0314,-0.0245182451825,-0.144235407622,0.749411764706,0.8997125519,0.768572592693,0.272980203317,1001000001001000,clear,no,land,low,none,no cloud,no fire,yes,no,no,yes,No,No,-0.0245182451825,-0.144235407622,0.749411764706,0.8997125519,0.768572592693,0.272980203317
1,2013/01/09,6289,6342,5910,6347,3496,883,324,1073741824,7046,56,4185,36936,13,2013/01/13,0.6289,0.6342,0.591,0.6347,0.3496,0.0883,0.0324,0.00419602565118,0.0135883499128,0.755570934256,0.902790279028,0.755739972337,0.289286440333,1001000001001000,clear,no,land,low,none,no cloud,no fire,yes,no,no,yes,No,No,0.00419602565118,0.0135883499128,0.755570934256,0.902790279028,0.755739972337,0.289286440333
1,2013/01/17,6241,6253,5912,6266,3346,843,461,1075576832,6896,1018,11506,36936,20,2013/01/20,0.6241,0.6253,0.5912,0.6266,0.3346,0.0843,0.0461,0.00096046102129,0.00320547066994,0.762401352875,0.862675007447,0.762835841891,0.302844046255,1001000001001000,clear,no,land,low,none,no cloud,no fire,yes,no,no,yes,No,No,0.00096046102129,0.00320547066994,0.762401352875,0.862675007447,0.762835841891,0.302844046255
1,2013/01/25,7584,7821,8699,7673,6168,2311,1261,1073741824,6544,5246,11681,40973,30,2013/01/30,0.7584,0.7821,0.8699,0.7673,0.6168,0.2311,0.1261,0.0153846153846,-0.308996088657,0.543821555468,0.722307861704,0.537059294872,0.118164271928,1010000000001101,cloudy,yes,land,climatology,none,no cloud,no fire,no,yes,no,yes,Yes,Yes,-0.00024545889429,-0.00138480236491,0.7816119939,0.891592721057,0.783248612676,0.314965699071
1,2013/02/02,7245,7224,6921,7340,3663,799,299,1073741824,6497,1000,11612,36936,36,2013/02/05,0.7245,0.7224,0.6921,0.734,0.3663,0.0799,0.0299,-0.00145137880987,-0.00597507539976,0.800822634925,0.920510434667,0.803661383462,0.327087351888,1001000001001000,clear,no,land,low,none,no cloud,no fire,yes,no,no,yes,No,No,-0.00145137880987,-0.00597507539976,0.800822634925,0.920510434667,0.803661383462,0.327087351888
1,2013/02/10,7100,7089,6795,7142,4170,795,321,1073741824,6252,1925,11956,36936,43,2013/02/12,0.71,0.7089,0.6795,0.7142,0.417,0.0795,0.0321,-0.000775248431884,-0.00315132068985,0.798325722983,0.913360323887,0.79967242031,0.259259259259,1001000001001000,clear,no,land,low,none,no cloud,no fire,yes,no,no,yes,No,No,-0.000775248431884,-0.00315132068985,0.798325722983,0.913360323887,0.79967242031,0.259259259259
1,2013/02/18,7360,7325,7076,7466,4283,822,323,1073741824,5973,2826,-5627,36938,56,2013/02/25,0.736,0.7325,0.7076,0.7466,0.4283,0.0822,0.0323,-0.00238338440586,-0.0103980986334,0.798207929299,0.915533472803,0.801640926641,0.262060647829,1001000001001010,mixed,no,land,low,none,no cloud,no fire,yes,no,no,yes,Yes,Yes,0.000758188656447,0.00367927929834,0.769925091298,0.903840166893,0.771183888524,0.277121381596
1,2013/02/26,7619,7654,7339,7694,4167,1136,427,1073741824,5668,47,4909,36936,61,2013/03/02,0.7619,0.7654,0.7339,0.7694,0.4167,0.1136,0.0427,0.00229162574478,0.0105098792865,0.741524459613,0.8943200099,0.742695356738,0.294983503934,1001000001001000,clear,no,land,low,none,no cloud,no fire,yes,no,no,yes,No,No,0.00229162574478,0.0105098792865,0.741524459613,0.8943200099,0.742695356738,0.294983503934
1,2013/03/06,7635,7732,7508,7658,4355,1465,663,1075838976,5382,2817,11891,36936,66,2013/03/07,0.7635,0.7732,0.7508,0.7658,0.4355,0.1465,0.0663,0.00631222750049,0.0335315265487,0.681417853648,0.842048838594,0.678833716979,0.279391081327,1001000001001000,clear,no,land,low,none,no cloud,no fire,yes,no,no,yes,No,No,0.00631222750049,0.0335315265487,0.681417853648,0.842048838594,0.678833716979,0.279391081327
1,2013/03/14,7597,7665,7248,7659,4570,1469,602,1073741824,5033,1925,-5453,36936,79,2013/03/20,0.7597,0.7665,0.7248,0.7659,0.457,0.1469,0.0602,0.00445551041803,0.0191290649263,0.678344646376,0.854360711262,0.678133216477,0.252962811606,1001000001001000,clear,no,land,low,none,no cloud,no fire,yes,no,no,yes,No,No,0.00445551041803,0.0191290649263,0.678344646376,0.854360711262,0.678133216477,0.252962811606
1,2013/03/22,8187,8304,8179,8277,5226,1356,587,1073741824,4742,2836,11902,36936,82,2013/03/23,0.8187,0.8304,0.8179,0.8277,0.5226,0.1356,0.0587,0.00709477897035,0.0480808744966,0.719254658385,0.867956360364,0.718467767051,0.227494456763,1001000001001000,clear,no,land,low,none,no cloud,no fire,yes,no,no,yes,No,No,0.00709477897035,0.0480808744966,0.719254658385,0.867956360364,0.718467767051,0.227494456763
1,2013/03/30,2878,3022,2480,2784,1246,595,400,1073741824,4398,69,9111,36936,93,2013/04/03,0.2878,0.3022,0.248,0.2784,0.1246,0.0595,0.04,0.024406779661,0.0307955517536,0.670998064694,0.766218585622,0.647824800237,0.416119962512,1001000001001000,clear,no,land,low,none,no cloud,no fire,yes,no,no,yes,No,No,0.024406779661,0.0307955517536,0.670998064694,0.766218585622,0.647824800237,0.416119962512
1,2013/04/07,706,1038,381,597,1200,905,569,1075838976,4094,954,-5245,136,102,2013/04/12,0.0706,0.1038,0.0381,0.0597,0.12,0.0905,0.0569,0.190366972477,0.0668465348528,0.0684508492023,0.291848164281,-0.205059920107,-0.0723860589812,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.190366972477,0.0668465348528,0.0684508492023,0.291848164281,-0.205059920107,-0.0723860589812
1,2013/04/15,700,1080,355,582,1283,1221,740,1073741824,3819,1925,-5422,72,111,2013/04/21,0.07,0.108,0.0355,0.0582,0.1283,0.1221,0.074,0.213483146067,0.0752922528235,-0.0612777053455,0.186813186813,-0.354409317804,-0.0859077443927,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.213483146067,0.0752922528235,-0.0612777053455,0.186813186813,-0.354409317804,-0.0859077443927
1,2013/04/23,689,1047,362,568,1058,896,566,1073741824,3533,1037,11910,72,116,2013/04/26,0.0689,0.1047,0.0362,0.0568,0.1058,0.0896,0.0566,0.206221198157,0.0717952831702,0.0777148739063,0.298202107874,-0.224043715847,-0.00522565320665,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.206221198157,0.0717952831702,0.0777148739063,0.298202107874,-0.224043715847,-0.00522565320665
1,2013/05/01,949,1453,476,810,671,472,288,1073741824,3334,1952,-5102,136,127,2013/05/07,0.0949,0.1453,0.0476,0.081,0.0671,0.0472,0.0288,0.209825145712,0.0928040067762,0.50961038961,0.669155657668,0.263650546022,0.368173258004,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.209825145712,0.0928040067762,0.50961038961,0.669155657668,0.263650546022,0.368173258004
1,2013/05/09,915,1271,419,755,608,459,289,1073741824,3172,2862,-4903,72,136,2013/05/16,0.0915,0.1271,0.0419,0.0755,0.0608,0.0459,0.0289,0.16285452882,0.065352278151,0.46936416185,0.629487179487,0.243822075783,0.35284725918,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.16285452882,0.065352278151,0.46936416185,0.629487179487,0.243822075783,0.35284725918
1,2013/05/17,935,1405,467,786,987,824,546,1073741824,2886,1926,12327,136,139,2013/05/19,0.0935,0.1405,0.0467,0.0786,0.0987,0.0824,0.0546,0.200854700855,0.0869565217391,0.260655002243,0.440287032291,-0.023602484472,0.17474916388,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.200854700855,0.0869565217391,0.260655002243,0.440287032291,-0.023602484472,0.17474916388
1,2013/05/25,743,1301,374,666,1042,861,493,1073741824,3064,3612,-4573,136,145,2013/05/25,0.0743,0.1301,0.0374,0.0666,0.1042,0.0861,0.0493,0.272994129159,0.107688744789,0.203515263645,0.450390189521,-0.127701375246,0.11054204012,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.272994129159,0.107688744789,0.203515263645,0.450390189521,-0.127701375246,0.11054204012
1,2013/06/02,612,1091,321,614,824,611,379,1073741824,2703,17,9542,72,157,2013/06/06,0.0612,0.1091,0.0321,0.0614,0.0824,0.0611,0.0379,0.281268349971,0.0969203998219,0.282021151586,0.484353741497,0.00244897959184,0.139425587467,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.281268349971,0.0969203998219,0.282021151586,0.484353741497,0.00244897959184,0.139425587467
1,2013/06/10,509,1360,251,599,952,668,282,1073741824,2708,981,-4469,200,166,2013/06/15,0.0509,0.136,0.0251,0.0599,0.0952,0.0668,0.0282,0.455323702515,0.169772174121,0.341222879684,0.656516443362,-0.0544593528019,0.176470588235,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.455323702515,0.169772174121,0.341222879684,0.656516443362,-0.0544593528019,0.176470588235
1,2013/06/18,453,1277,240,521,945,664,270,1073741824,2657,68,6167,72,173,2013/06/22,0.0453,0.1277,0.024,0.0521,0.0945,0.0664,0.027,0.476300578035,0.168921689217,0.315816589387,0.650937297996,-0.120675105485,0.149414941494,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.476300578035,0.168921689217,0.315816589387,0.650937297996,-0.120675105485,0.149414941494
1,2013/06/26,1152,2845,1149,1368,2708,1961,1152,1073741824,2640,1008,12840,1034,180,2013/06/29,0.1152,0.2845,0.1149,0.1368,0.2708,0.1961,0.1152,0.423567675757,0.379954216976,0.183936745734,0.423567675757,-0.178131571042,0.0246713488205,0000010000001010,mixed,no,land,climatology,none,cloud,no fire,no,no,no,no,Yes,Yes,0.626742089374,0.258283752554,0.334988090958,0.672897463278,-0.267400749769,0.12998455234
1,2013/07/04,250,1994,127,394,1597,951,359,1073741824,2657,1944,12753,72,187,2013/07/06,0.025,0.1994,0.0127,0.0394,0.1597,0.0951,0.0359,0.777183600713,0.347645815891,0.35415959253,0.694857628559,-0.414126394052,0.110554163186,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.777183600713,0.347645815891,0.35415959253,0.694857628559,-0.414126394052,0.110554163186
