1,50.552,4.745,18,3,361,1133
2,51.1,10.914,18,3,822,1067
3,50.893,13.523,18,3,1023,1092
4,56.484,9.587,18,3,635,421
5,48.844,1.952,18,4,154,138
6,40.524,14.957,19,4,164,1137
7,51.992,5.646,18,3,417,960
8,51.954,4.903,18,3,362,965
9,53.399,6.356,18,3,454,792
10,52.335,5.373,18,3,393,919
id,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
1,2002/01/01,13481,0,111,54,13378,65,220,74,251,250,62,41,N\A
1,2002/01/09,13731,0,112,66,13555,0,213,19,250,250,17,9,N\A
1,2002/01/17,14011,0,109,39,13828,0,214,27,246,248,32,68,N\A
1,2002/01/25,14143,65,119,116,13932,0,215,32,250,249,8,8,N\A
1,2002/02/02,14170,0,122,126,13802,0,222,84,250,249,1,3,N\A
1,2002/02/10,13848,0,113,69,13597,0,218,62,247,248,240,112,N\A
1,2002/02/18,13949,0,111,56,13649,65,221,84,247,248,8,32,N\A
1,2002/02/26,14204,0,108,31,13616,0,216,47,249,249,64,116,N\A
1,2002/03/06,14176,0,114,74,13687,0,220,70,246,248,48,12,N\A
1,2002/03/14,0,2,255,255,13753,65,224,105,247,248,0,17,N\A
1,2002/03/22,14330,65,107,24,13769,0,219,66,246,249,1,1,N\A
1,2002/03/30,14493,65,114,76,13844,0,221,80,247,248,252,213,N\A
1,2002/04/07,14418,65,109,43,13696,0,219,66,247,248,35,123,N\A
1,2002/04/15,14593,0,113,68,13889,0,218,63,247,249,48,56,N\A
1,2002/04/23,14289,65,116,95,13996,0,216,48,247,248,82,14,N\A
1,2002/05/01,14382,65,107,22,14065,0,220,75,248,249,66,64,N\A
1,2002/05/09,14628,65,108,42,14111,0,218,64,246,248,208,170,N\A
1,2002/05/17,14819,0,112,66,14266,65,209,4,246,248,21,5,N\A
1,2002/05/25,14563,65,114,81,14086,0,217,53,247,248,196,215,N\A
1,2002/06/02,14568,65,115,88,14215,0,215,42,247,248,129,65,N\A
1,2002/06/10,15008,0,112,62,14603,65,216,41,247,248,192,192,N\A
