site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,14.82651,99.67715,27,7,1526,1241
2,15.10653,100.02415,27,7,1576,1174
3,14.53313,100.12565,27,7,1661,1312
4,14.6705,100.37515,27,7,1704,1279
5,14.76528,100.44693,27,7,1711,1256
6,14.52054,100.55989,27,7,1763,1315
7,14.51312,100.82942,27,7,1826,1316
8,14.29234,100.13954,27,7,1689,1369
9,14.28868,100.60973,27,7,1799,1370
10,14.34029,100.86974,27,7,1854,1358
11,14.2546,101.06443,27,7,1908,1378
12,14.05285,100.1741,27,7,1722,1427
13,14.1545,100.50478,27,7,1788,1402
14,13.89866,100.8131,27,7,1886,1464
15,13.96792,101.20529,27,7,1971,1447
16,14.05771,101.35052,27,7,1995,1426
17,13.49009,100.06744,27,7,1753,1562
18,13.59776,100.58941,27,7,1864,1536
19,13.58976,101.03383,27,7,1969,1538
20,13.72198,101.2018,27,7,1995,1506
21,13.33792,100.93623,27,7,1971,1598
22,13.50474,101.16583,27,7,2008,1558
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date
1,2011/01/01,645,2252,336,659,5619,1943,1111,1075576832,4279,291,11994,72,8,2011/01/08
1,2011/01/09,1399,3225,823,1377,3840,2694,1813,1073741824,4425,2516,-4807,202,10,2011/01/10
1,2011/01/17,683,2149,347,669,2695,2018,1235,1073741824,4101,272,12529,136,24,2011/01/24
1,2011/01/25,620,2195,323,624,2438,1794,1023,1073741824,3889,1700,13448,72,31,2011/01/31
1,2011/02/02,689,2046,372,672,2388,1924,1112,1073741824,3774,296,13615,136,40,2011/02/09
1,2011/02/10,797,2043,400,731,3403,2083,1326,1075576832,3498,1736,13730,136,47,2011/02/16
1,2011/02/18,764,1912,386,754,2282,2050,1285,1073741824,3340,314,14389,200,56,2011/02/25
1,2011/02/26,696,2459,270,638,3231,2602,1550,1073741824,3679,4553,-2840,8206,60,2011/03/01
1,2011/03/06,920,2280,477,867,2909,2475,1621,1073741824,3184,1131,-2959,136,65,2011/03/06
1,2011/03/14,859,2140,590,898,2379,2075,1205,1073741824,2527,1736,15425,1289,79,2011/03/20
1,2011/03/22,963,2455,470,915,6339,2579,1678,1075576832,2719,1140,-1932,72,81,2011/03/22
1,2011/03/30,376,1921,193,409,2080,1753,969,1073741824,1686,5550,15357,202,91,2011/04/01
1,2011/04/07,735,3005,390,825,3268,2706,1592,1073741824,2326,1175,-1039,138,97,2011/04/07
1,2011/04/15,980,3566,525,1049,4115,3123,1958,1073741824,2308,2498,-124,144,106,2011/04/16
1,2011/04/23,763,3334,420,918,3548,2562,1415,1073741824,2073,1139,496,8212,113,2011/04/23
1,2011/05/01,493,2381,256,578,2372,1763,916,1073741824,1417,4052,-16276,137,125,2011/05/05
1,2011/05/09,767,3540,404,897,3556,2650,1428,1073741824,2295,3617,1834,137,131,2011/05/11
