1,46.0827,-89.9792,11,4,910,470
2,-2.8566,-54.9589,12,9,613,342
3,29.9495,-97.9962,9,6,610,6
4,39.9712,-74.4345,12,5,354,3
id,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
1,2000/03/05,14372,0,110,44,13757,0,221,58,245,247,7,15,N\A
1,2000/03/13,13443,65,115,75,12805,65,219,43,252,250,24,24,N\A
1,2000/03/21,0,2,255,255,13640,0,219,41,249,249,0,36,N\A
1,2000/03/29,14103,0,109,34,13500,65,217,28,245,247,6,154,N\A
1,2000/04/06,13867,65,112,56,13366,65,214,10,246,247,88,16,N\A
1,2000/04/14,14221,0,107,15,13599,0,221,60,245,247,128,160,N\A
1,2000/04/22,14650,0,111,48,13684,0,222,59,245,247,22,15,N\A
1,2000/04/30,14904,0,115,78,14013,0,224,76,246,247,124,125,N\A
1,2000/05/08,0,2,255,255,13765,65,223,73,246,247,0,224,N\A
1,2000/05/16,14537,0,116,82,13813,0,221,58,245,247,157,58,N\A
1,2000/05/24,14553,0,117,88,14035,0,215,18,245,247,6,69,N\A
1,2000/06/01,14775,0,112,53,13793,0,219,49,246,247,178,36,N\A
1,2000/06/09,14760,0,117,91,14062,65,230,122,245,247,15,80,N\A
1,2000/06/17,14541,65,110,37,14217,0,224,81,245,247,3,20,N\A
1,2000/06/25,14771,65,110,46,14253,65,218,38,245,247,56,37,N\A
1,2000/07/03,14836,0,110,39,14302,0,220,49,245,247,193,18,N\A
1,2000/07/11,14777,65,110,42,14361,65,217,34,246,247,124,216,N\A
1,2000/07/19,14756,0,111,48,14170,0,226,97,245,247,49,48,N\A
1,2000/07/27,14826,65,115,77,14381,65,217,31,245,247,152,220,N\A
1,2000/08/04,14573,65,106,10,0,2,255,255,245,247,1,0,N\A
1,2000/08/12,14668,0,115,85,14032,0,219,42,245,247,2,2,N\A
1,2000/08/20,14769,0,112,56,14210,0,218,38,245,247,219,187,N\A
1,2000/08/28,14678,0,111,56,14163,0,217,27,245,247,131,5,N\A
1,2000/09/05,14598,0,107,18,14040,0,222,67,245,247,161,155,N\A
1,2000/09/13,14521,0,116,79,14185,65,220,49,246,247,18,117,N\A
1,2000/09/21,14329,0,111,50,13540,129,211,0,245,247,249,128,N\A
1,2000/09/29,14534,0,112,59,14075,0,219,47,245,247,39,19,N\A
1,2000/10/07,14353,0,110,39,13666,65,217,31,245,247,188,56,N\A
1,2000/10/15,14542,0,115,77,13860,0,216,27,245,247,152,244,N\A
1,2000/10/23,14122,0,111,45,13695,65,215,21,245,247,224,226,N\A
1,2000/10/31,14188,0,115,78,13847,0,223,80,246,247,36,34,N\A
1,2000/11/08,0,2,255,255,12990,129,211,0,245,246,0,128,N\A
1,2000/11/16,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/11/24,13391,0,113,64,13178,65,221,59,248,248,2,6,N\A
1,2000/12/02,13270,65,114,74,12773,65,219,44,250,249,1,195,N\A
1,2000/12/10,12939,65,118,107,12371,65,231,129,249,249,16,8,N\A
1,2000/12/18,12581,65,115,84,12426,0,224,79,251,250,128,192,N\A
1,2000/12/26,12821,65,113,64,12228,0,224,91,249,249,2,4,N\A
1,2001/01/01,13161,65,120,111,12748,65,219,53,250,249,3,138,N\A
1,2001/01/09,13444,65,115,77,12960,0,224,79,252,250,7,3,N\A
1,2001/01/17,13267,65,116,79,12526,0,224,90,252,250,72,40,N\A
1,2001/01/25,13368,65,117,91,12727,0,218,40,251,250,24,25,N\A
1,2001/02/02,0,2,255,255,12872,65,223,81,250,249,0,168,N\A
1,2001/02/10,13069,0,115,79,12668,65,216,29,251,250,98,97,N\A
1,2001/02/18,12979,0,118,99,12486,0,220,51,251,250,12,29,N\A
1,2001/02/26,13430,0,109,43,12834,0,220,56,252,250,50,62,N\A
1,2001/03/06,13461,0,118,103,13092,0,219,46,250,249,33,62,N\A
1,2001/03/14,13746,0,110,44,13260,0,222,66,251,250,217,18,N\A
1,2001/03/22,13702,65,118,113,13270,0,217,35,251,250,32,103,N\A
1,2001/03/30,13836,0,108,27,13459,0,216,20,251,250,36,40,N\A
1,2001/04/07,14213,0,113,68,0,2,255,255,246,247,192,0,N\A
1,2001/04/15,14089,0,107,26,13506,65,222,74,245,247,28,28,N\A
