site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,28.8402,115.8013,28,6,343,277
2,28.8405,115.8013,28,6,343,277
3,28.8408,115.8012,28,6,343,277
4,28.871,115.8525,28,6,347,270
5,28.8712,115.8522,28,6,347,270
6,28.8718,115.8523,28,6,347,270
7,28.8722,115.8495,28,6,346,270
8,28.8722,115.8497,28,6,346,270
9,28.8727,115.8493,28,6,346,270
10,28.8727,115.8493,28,6,346,270
11,28.8727,115.8493,28,6,346,270
12,28.8727,115.8498,28,6,346,270
13,28.8748,115.8493,28,6,345,269
14,28.875,115.8483,28,6,345,269
15,28.8752,115.8482,28,6,345,269
16,28.8752,115.8485,28,6,345,269
17,28.8752,115.8485,28,6,345,269
18,28.876,115.8358,28,6,342,269
19,28.8765,115.8377,28,6,342,269
20,28.8772,115.836,28,6,342,268
21,28.8772,115.8367,28,6,342,268
22,28.8773,115.8363,28,6,342,268
23,28.8773,115.8363,28,6,342,268
24,28.8785,115.8335,28,6,341,268
25,28.8785,115.835,28,6,341,268
26,28.8787,115.8333,28,6,341,268
27,28.8787,115.8335,28,6,341,268
28,28.8788,115.8333,28,6,341,268
29,28.8788,115.835,28,6,341,268
30,28.879,115.8333,28,6,341,268
31,28.879,115.8335,28,6,341,268
32,28.879,115.8348,28,6,341,268
33,28.8792,115.8332,28,6,341,268
34,28.8792,115.8333,28,6,341,268
35,28.8792,115.8333,28,6,341,268
36,28.8792,115.8333,28,6,341,268
37,28.8792,115.8333,28,6,341,268
38,28.8792,115.8333,28,6,341,268
39,28.8792,115.8335,28,6,341,268
40,28.8792,115.8335,28,6,341,268
41,28.8792,115.8335,28,6,341,268
42,28.8795,115.835,28,6,341,268
43,28.8795,115.8352,28,6,341,268
44,28.8797,115.835,28,6,341,268
45,28.8797,115.835,28,6,341,268
46,28.8797,115.835,28,6,341,268
47,28.8797,115.835,28,6,341,268
48,28.8797,115.8353,28,6,341,268
49,28.8798,115.8348,28,6,341,268
50,28.8798,115.8348,28,6,341,268
51,28.8798,115.835,28,6,341,268
52,28.8798,115.835,28,6,341,268
53,28.8798,115.835,28,6,341,268
54,28.8798,115.835,28,6,341,268
55,28.8798,115.8352,28,6,341,268
56,28.88,115.835,28,6,341,268
57,28.8803,115.8348,28,6,341,268
58,28.8805,115.8347,28,6,341,268
59,28.8805,115.8348,28,6,341,268
60,28.8805,115.8348,28,6,341,268
61,28.8805,115.8348,28,6,341,268
62,28.8807,115.8045,28,6,334,268
63,28.881,115.8348,28,6,341,268
64,28.881,115.8348,28,6,341,268
65,28.8812,115.8347,28,6,341,268
66,28.8812,115.8348,28,6,341,268
67,28.8812,115.8348,28,6,341,268
68,28.8812,115.8348,28,6,341,268
69,28.8812,115.8348,28,6,341,268
70,28.8812,115.835,28,6,341,268
71,28.8812,115.835,28,6,341,268
72,28.8812,115.835,28,6,341,268
73,28.8813,115.804,28,6,334,267
74,28.8813,115.8348,28,6,341,267
75,28.8815,115.8042,28,6,334,267
76,28.8815,115.8043,28,6,334,267
77,28.8815,115.8063,28,6,335,267
78,28.8817,115.8335,28,6,340,267
79,28.882,115.8065,28,6,334,267
80,28.8822,115.8055,28,6,334,267
81,28.8822,115.8063,28,6,334,267
82,28.8822,115.8065,28,6,334,267
83,28.8823,115.807,28,6,335,267
84,28.8825,115.805,28,6,334,267
85,28.8825,115.8052,28,6,334,267
86,28.8827,115.8042,28,6,334,267
87,28.8827,115.8045,28,6,334,267
88,28.8835,115.8317,28,6,339,267
89,28.8835,115.832,28,6,340,267
90,28.8837,115.8415,28,6,341,267
91,28.8842,115.8048,28,6,334,267
92,28.8845,115.767,28,6,326,267
93,28.8848,115.833,28,6,339,267
94,28.8848,115.833,28,6,339,267
95,28.885,115.8328,28,6,339,267
96,28.885,115.8328,28,6,339,267
97,28.885,115.8328,28,6,339,267
98,28.885,115.8333,28,6,339,267
99,28.885,115.8335,28,6,339,267
100,28.885,115.8408,28,6,341,267
101,28.8852,115.8325,28,6,339,267
102,28.8852,115.8328,28,6,339,267
103,28.8852,115.8332,28,6,339,267
104,28.8855,115.8322,28,6,339,266
105,28.8855,115.8378,28,6,340,266
106,28.8855,115.838,28,6,340,266
107,28.8857,115.8382,28,6,340,266
108,28.8858,115.8315,28,6,339,266
109,28.8858,115.8317,28,6,339,266
110,28.8858,115.8318,28,6,339,266
111,28.8858,115.8318,28,6,339,266
112,28.8868,115.835,28,6,339,266
113,28.887,115.8388,28,6,340,266
114,28.889,115.84,28,6,340,266
115,28.889,115.8402,28,6,340,266
116,28.889,115.8402,28,6,340,266
117,28.889,115.8403,28,6,340,266
118,28.889,115.8403,28,6,340,266
119,28.889,115.8403,28,6,340,266
120,28.889,115.8403,28,6,340,266
121,28.889,115.8403,28,6,340,266
122,28.889,115.8403,28,6,340,266
123,28.889,115.8403,28,6,340,266
124,28.889,115.8405,28,6,340,266
125,28.889,115.8405,28,6,340,266
126,28.889,115.8405,28,6,340,266
127,28.8892,115.8403,28,6,340,266
128,28.8892,115.8403,28,6,340,266
129,28.8892,115.8403,28,6,340,266
130,28.8892,115.8403,28,6,340,266
131,28.8892,115.8403,28,6,340,266
132,28.8892,115.8403,28,6,340,266
133,28.8907,115.8282,28,6,337,265
134,28.8908,115.828,28,6,337,265
135,28.8908,115.828,28,6,337,265
136,28.8928,115.8085,28,6,332,265
137,28.893,115.8087,28,6,332,265
138,28.8933,115.8278,28,6,336,265
139,28.8935,115.828,28,6,336,265
140,28.8937,115.8277,28,6,336,265
141,28.8937,115.8277,28,6,336,265
142,28.8937,115.8277,28,6,336,265
143,28.8937,115.8278,28,6,336,265
144,28.8937,115.8278,28,6,336,265
145,28.8938,115.8277,28,6,336,264
146,28.8938,115.8277,28,6,336,264
147,28.8938,115.8282,28,6,336,264
148,28.8938,115.8282,28,6,336,264
149,28.894,115.8278,28,6,336,264
150,28.894,115.828,28,6,336,264
151,28.8953,115.8292,28,6,336,264
152,28.8955,115.8288,28,6,336,264
153,28.896,115.8293,28,6,336,264
154,28.8962,115.8153,28,6,333,264
155,28.8962,115.8292,28,6,336,264
156,28.8963,115.8148,28,6,333,264
157,28.8965,115.8152,28,6,333,264
158,28.8965,115.8155,28,6,333,264
159,28.8965,115.8155,28,6,333,264
160,28.8967,115.8152,28,6,333,264
161,28.8967,115.8152,28,6,333,264
162,28.8967,115.8153,28,6,333,264
163,28.8967,115.8153,28,6,333,264
164,28.8967,115.8153,28,6,333,264
165,28.8967,115.8153,28,6,333,264
166,28.8967,115.8153,28,6,333,264
