name,upleftx,uplefty,lowrightx,lowrighty,iv,ih,lon_min,lon_max,lat_min,lat_max,continent
h14v00,,,,,0,14,-180,-172.799,80,80.4083,Arctic
h15v00,,,,,0,15,-180,-115.1914,80,83.6167,Arctic
h16v00,,,,,0,16,-180,-57.5837,80,86.8167,Arctic
h17v00,,,,,0,17,-180,59.988,80,90,Arctic
h18v00,,,,,0,18,0,180,80,90,Arctic
h19v00,,,,,0,19,57.6317,180,80,86.8167,Arctic
h20v00,,,,,0,20,115.2394,180,80,83.6167,Arctic
h21v00,,,,,0,21,172.8471,180,80,80.4,Arctic
h11v01,,,,,1,11,-180,-175.4671,70,70.525,Arctic
h12v01,,,,,1,12,-180,-146.2226,70,73.875,Arctic
h13v01,,,,,1,13,-180,-116.9781,70,77.1583,Arctic
h14v01,,,,,1,14,-180,-87.7336,70,80,Arctic
h15v01,,,,,1,15,-172.6609,-58.489,70,80,Arctic
h16v01,,,,,1,16,-115.0993,-29.2445,70,80,Arctic
h17v01,,,,,1,17,-57.5376,0.024,70,80,Arctic
h18v01,,,,,1,18,0,57.5856,70,80,Arctic
h19v01,,,,,1,19,29.2445,115.1472,70,80,Arctic
h20v01,,,,,1,20,58.489,172.7089,70,80,Arctic
h21v01,,,,,1,21,87.7336,180,70,80,Arctic
h22v01,,,,,1,22,116.9781,180,70,77.1583,Arctic
h23v01,,,,,1,23,146.2226,180,70,73.8667,Arctic
h24v01,,,,,1,24,175.4671,180,70,70.525,Arctic
h09v02,,,,,2,9,-180,-160.0139,60,63.6083,North America
h10v02,,,,,2,10,-180,-140.0111,60,67.1167,North America
h11v02,,,,,2,11,-180,-120.0083,60,70,North America
h12v02,,,,,2,12,-175.3959,-100.0056,60,70,North America
h13v02,,,,,2,13,-146.1632,-80.0028,60,70,North America
h14v02,,,,,2,14,-116.9306,-60,60,70,North America
h15v02,,,,,2,15,-87.6979,-39.9972,60,70,North America
h16v02,,,,,2,16,-58.4653,-19.9944,60,70,North America
h17v02,,,,,2,17,-29.2326,0.0121,60,70,Europe
h18v02,,,,,2,18,0,29.2326,60,70,Europe
h19v02,,,,,2,19,20.0074,58.4653,60,70,Europe
h20v02,,,,,2,20,40.0139,87.6979,60,70,Europe
h21v02,,,,,2,21,60.0167,116.9306,60,70,Europe & Asia
h22v02,,,,,2,22,80.0194,146.1632,60,70,Asia
h23v02,,,,,2,23,100.0222,175.3959,60,70,Asia
h24v02,,,,,2,24,120.025,180,60,70,Asia
h25v02,,,,,2,25,140.0278,180,60,67.1083,Asia
h26v02,,,,,2,26,160.0306,180,60,63.6083,Asia
h06v03,,,,,3,6,-180,-171.1446,50,52.3333,Ocean
h07v03,,,,,3,7,-180,-155.586,50,56.25,North America
h08v03,,,,,3,8,-180,-140.0274,50,60,North America
h09v03,,,,,3,9,-179.9667,-124.4688,50,60,North America
h10v03,,,,,3,10,-159.9694,-108.9102,50,60,North America
h11v03,,,,,3,11,-139.9722,-93.3516,50,60,North America
h12v03,,,,,3,12,-119.975,-77.793,50,60,North America
