         88486 function calls (86039 primitive calls) in 0.412 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.008    0.000    0.577    0.019 __init__.py:1(<module>)
        1    0.000    0.000    0.414    0.414 <string>:1(<module>)
        1    0.000    0.000    0.414    0.414 {execfile}
        1    0.001    0.001    0.414    0.414 script.py:1(<module>)
        3    0.005    0.002    0.388    0.129 __init__.py:2(<module>)
        1    0.001    0.001    0.384    0.384 models.py:1(<module>)
        6    0.003    0.000    0.301    0.050 base.py:1(<module>)
      8/7    0.000    0.000    0.246    0.035 importlib.py:18(import_module)
    18/11    0.002    0.000    0.246    0.022 {__import__}
        1    0.000    0.000    0.238    0.238 utils.py:87(__getitem__)
        2    0.000    0.000    0.219    0.110 utils.py:21(load_backend)
        3    0.000    0.000    0.098    0.033 introspection.py:1(<module>)
        1    0.000    0.000    0.098    0.098 __init__.py:33(<module>)
        2    0.001    0.001    0.097    0.049 operations.py:1(<module>)
        3    0.001    0.000    0.095    0.032 __init__.py:5(<module>)
        1    0.000    0.000    0.091    0.091 geos.py:1(<module>)
        1    0.001    0.001    0.091    0.091 geometry.py:4(<module>)
        1    0.001    0.001    0.090    0.090 driver.py:2(<module>)
        1    0.001    0.001    0.086    0.086 ds.py:5(<module>)
        1    0.000    0.000    0.084    0.084 libgdal.py:1(<module>)
       90    0.001    0.000    0.084    0.001 re.py:229(_compile)
       73    0.001    0.000    0.083    0.001 sre_compile.py:501(compile)
       70    0.000    0.000    0.082    0.001 re.py:188(compile)
        1    0.002    0.002    0.081    0.081 __init__.py:106(<module>)
        3    0.000    0.000    0.063    0.021 __init__.py:337(__init__)
        3    0.063    0.021    0.063    0.021 {_ctypes.dlopen}
        1    0.001    0.001    0.060    0.060 query.py:3(<module>)
        1    0.002    0.002    0.051    0.051 __init__.py:11(<module>)
        3    0.002    0.001    0.047    0.016 base.py:5(<module>)
       73    0.000    0.000    0.045    0.001 sre_compile.py:486(_code)
   805/73    0.009    0.000    0.037    0.001 sre_compile.py:38(_compile)
       73    0.000    0.000    0.037    0.001 sre_parse.py:669(parse)
        1    0.000    0.000    0.036    0.036 add_newdocs.py:9(<module>)
   286/73    0.004    0.000    0.036    0.000 sre_parse.py:307(_parse_sub)
   414/74    0.013    0.000    0.036    0.000 sre_parse.py:385(_parse)
        1    0.001    0.001    0.035    0.035 __init__.py:15(<module>)
        3    0.001    0.000    0.029    0.010 utils.py:1(<module>)
      152    0.000    0.000    0.027    0.000 functional.py:274(__getattr__)
        1    0.000    0.000    0.027    0.027 __init__.py:27(_setup)
        1    0.000    0.000    0.027    0.027 __init__.py:77(__init__)
        1    0.001    0.001    0.027    0.027 inspect.py:25(<module>)
        1    0.001    0.001    0.026    0.026 log.py:1(<module>)
        1    0.004    0.004    0.025    0.025 encoding.py:1(<module>)
      302    0.001    0.000    0.024    0.000 sre_compile.py:184(_compile_charset)
      302    0.009    0.000    0.023    0.000 sre_compile.py:213(_optimize_charset)
        2    0.001    0.000    0.022    0.011 models.py:4(<module>)
        1    0.001    0.001    0.021    0.021 tokenize.py:23(<module>)
       13    0.000    0.000    0.020    0.002 {map}
        1    0.000    0.000    0.019    0.019 base.py:8(__init__)
        1    0.000    0.000    0.019    0.019 util.py:119(find_library)
        1    0.000    0.000    0.019    0.019 operations.py:71(__init__)
        2    0.002    0.001    0.019    0.009 __init__.py:3(<module>)
        1    0.000    0.000    0.018    0.018 operations.py:439(postgis_version_tuple)
