site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,22.388955,87.887762,26,6,606,3653
2,22.109358,87.641725,26,6,574,3787
3,25.367479,84.121043,25,6,2884,2223
4,16.614743,81.682847,25,7,3970,1624
5,16.107974,80.633416,25,7,3584,1868
6,10.868029,79.425993,25,7,3840,4383
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2010/01/01,4841,2487,2257,715,2057,381,1039,3260,5006,512,15,1,N\A
1,2010/01/17,4247,1950,2116,694,1719,366,951,2114,4835,498,22,0,N\A
1,2010/02/02,2617,990,2185,732,1251,339,482,639,4394,2325,36,1,N\A
1,2010/02/18,6871,3581,2116,431,2324,226,720,733,3721,406,61,0,N\A
1,2010/03/06,6630,3201,2185,429,2117,201,648,666,3389,2228,68,1,N\A
1,2010/03/22,6586,3539,2185,495,2405,251,688,1991,2488,2145,91,1,N\A
1,2010/04/07,4973,3091,2116,944,2812,449,1040,772,2197,146,109,0,N\A
1,2010/04/23,3483,2007,2185,1144,2367,533,1604,613,1920,1992,116,1,N\A
1,2010/05/09,4304,2271,2185,835,2097,429,1157,639,1696,1810,132,1,N\A
1,2010/05/25,6045,2943,3298,503,2041,266,590,4918,1115,1634,160,3,N\A
1,2010/06/10,5476,4084,2062,872,2983,706,634,2059,1986,-162,166,3,N\A
1,2010/06/26,7691,3195,2262,230,1763,103,436,6071,977,1652,190,3,N\A
1,2010/07/12,5578,3048,3294,663,2336,346,720,2077,2139,-95,198,3,N\A
1,2010/07/28,3664,4285,2066,1459,3147,1607,1302,5003,2613,-44,209,3,N\A
1,2010/08/13,5075,3328,2066,666,2039,763,527,4109,1736,2032,233,3,N\A
1,2010/08/29,7052,3423,34961,381,2204,157,486,735,2550,277,253,1,N\A
1,2010/09/14,9190,4544,2261,101,2393,52,477,4918,2661,2356,272,1,N\A
1,2010/09/30,7437,3160,2185,271,1844,137,386,675,3049,2296,276,1,N\A
1,2010/10/16,6976,3722,2257,434,2437,212,564,734,3878,578,301,1,N\A
1,2010/11/01,7249,3850,2185,394,2471,180,532,666,4028,2393,308,1,N\A
1,2010/11/17,5705,3058,2185,627,2293,325,821,2050,4600,572,326,1,N\A
1,2010/12/03,5059,2159,2261,562,1713,235,641,4129,4690,2440,345,1,N\A
1,2010/12/19,3533,1659,2185,893,1869,336,1069,2086,5032,556,358,1,N\A
2,2010/01/01,1810,785,2261,1011,1458,439,240,4327,5128,512,8,1,N\A
2,2010/01/17,3633,1692,2116,812,1739,389,358,2269,4823,505,22,0,N\A
2,2010/02/02,5564,2682,2185,556,1951,305,496,476,4380,2276,36,1,N\A
2,2010/02/18,8552,6424,2116,319,4088,178,710,896,3713,426,61,0,N\A
2,2010/03/06,8214,5531,2185,336,3428,196,637,504,3381,2177,68,1,N\A
2,2010/03/22,8073,5879,2185,408,3828,231,692,3041,2697,2186,82,1,N\A
2,2010/04/07,3081,1948,2116,1429,2702,659,1998,485,2314,2052,100,0,N\A
2,2010/04/23,1912,1416,34841,1721,2535,1132,2044,6233,2892,81,115,1,N\A
2,2010/05/09,2167,1130,2189,1196,1858,585,1584,4317,2251,-36,136,1,N\A
2,2010/05/25,2242,1682,2066,1221,1927,1168,1351,4838,1140,1622,160,3,N\A
2,2010/06/10,2827,1257,34838,935,1672,351,883,1854,1615,1618,171,3,N\A
2,2010/06/26,4005,2978,2062,1269,2965,1292,984,2215,2090,-163,182,3,N\A
2,2010/07/12,1124,1609,2066,1460,1830,1979,694,6469,884,1697,197,3,N\A
2,2010/07/28,1255,1689,2066,2246,2891,2243,1160,5716,2818,0,218,3,N\A
2,2010/08/13,1776,1016,2066,1000,1432,908,431,5716,2921,101,234,3,N\A
2,2010/08/29,1568,429,34837,500,686,381,127,905,2549,300,253,1,N\A
2,2010/09/14,2380,637,2257,477,775,259,87,3354,3162,394,271,1,N\A
2,2010/09/30,2461,482,2185,320,529,215,106,523,3036,2334,276,1,N\A
2,2010/10/16,2827,588,2185,331,592,198,98,3354,4051,522,303,1,N\A
2,2010/11/01,2115,412,2185,341,524,197,80,515,4009,2441,308,1,N\A
2,2010/11/17,785,153,2185,399,467,235,32,2205,4583,579,326,1,N\A
2,2010/12/03,416,100,2257,552,600,265,93,906,4899,556,349,1,N\A
2,2010/12/19,1085,287,2257,546,679,316,174,934,4961,523,365,1,N\A
3,2010/01/01,3285,1627,2257,883,1747,503,1335,757,5111,2409,9,1,N\A
3,2010/01/17,5785,3170,2185,616,2307,356,1198,1940,4968,518,27,1,N\A
3,2010/02/02,6799,3991,2185,501,2630,307,1063,619,4740,455,34,1,N\A
3,2010/02/18,8079,5636,2185,373,3511,244,748,775,3977,2293,57,1,N\A
3,2010/03/06,6975,4313,2116,516,2896,293,835,774,3404,2211,73,0,N\A
3,2010/03/22,4902,2818,2116,813,2377,451,1268,589,3166,369,82,0,N\A
3,2010/04/07,2587,1496,2116,1351,2294,619,1898,607,2621,338,98,0,N\A
3,2010/04/23,2257,1473,2116,1610,2549,837,2756,1949,2113,155,123,0,N\A
3,2010/05/09,1923,1130,2116,1497,2210,724,2539,765,1670,1908,137,0,N\A
3,2010/05/25,1658,1060,2116,1718,2401,882,2774,774,1607,1781,153,0,N\A
3,2010/06/10,1948,1325,2116,1806,2680,937,3144,589,1761,-41,162,0,N\A
3,2010/06/26,2224,1985,34842,2159,3394,1054,3336,4047,2312,-51,189,3,N\A
3,2010/07/12,3872,3757,2066,1205,2728,1310,1980,5512,2706,8,207,3,N\A
3,2010/07/28,3588,2669,2066,1079,2287,993,1206,5510,1422,2053,220,3,N\A
3,2010/08/13,4789,2067,35038,589,1672,281,349,4129,1979,2156,238,3,N\A
3,2010/08/29,7806,4180,2066,316,2565,135,502,4897,2067,2237,245,3,N\A
3,2010/09/14,8036,4569,2116,300,2756,149,512,2082,3084,2318,272,0,N\A
3,2010/09/30,7992,4646,2185,311,2788,177,546,573,3284,439,274,1,N\A
3,2010/10/16,7836,5108,2185,395,3257,216,620,1900,4121,557,299,1,N\A
3,2010/11/01,7358,4225,2116,414,2720,208,577,583,4275,532,306,0,N\A
3,2010/11/17,5046,3316,2185,995,3022,495,1329,3055,4859,588,324,1,N\A
3,2010/12/03,3180,1843,2185,1206,2331,575,1949,581,5032,575,338,1,N\A
3,2010/12/19,2465,1321,2185,1190,1969,583,2029,3083,5327,571,356,1,N\A
4,2010/01/01,3817,1892,2257,865,1933,402,803,996,4504,492,2,1,N\A
4,2010/01/17,3333,1182,2116,591,1182,298,452,413,4200,2284,25,0,N\A
4,2010/02/02,5462,2257,2116,446,1520,307,714,449,3850,2249,41,0,N\A
4,2010/02/18,8502,6347,2185,300,3708,278,1022,2334,3544,328,59,1,N\A
4,2010/03/06,7719,5113,2185,413,3209,269,680,1863,2554,2083,80,1,N\A
4,2010/03/22,7480,4993,2261,479,3323,261,754,4100,1893,2033,94,1,N\A
4,2010/04/07,5449,3803,2185,976,3314,507,1246,3512,2546,93,100,1,N\A
4,2010/04/23,4493,3106,2116,1213,3193,605,1721,1032,2035,-33,114,0,N\A
4,2010/05/09,3544,1896,2185,1019,2138,467,1431,3069,1503,1593,135,1,N\A
4,2010/05/25,3617,2002,2116,1035,2208,503,1629,468,1878,1512,153,0,N\A
4,2010/06/10,3150,2084,2066,997,1914,920,484,4444,2548,-267,173,3,N\A
4,2010/06/26,3980,2128,2186,819,1902,342,714,977,2157,-305,178,3,N\A
4,2010/07/12,2980,1612,34838,956,1768,655,328,2352,2330,-218,203,3,N\A
4,2010/07/28,2495,1038,3226,797,1327,446,251,4071,1582,1716,222,3,N\A
4,2010/08/13,3828,2718,2066,948,2124,933,600,5835,2916,29,239,3,N\A
4,2010/08/29,6740,3230,3102,418,2147,170,491,5582,1585,2130,252,3,N\A
4,2010/09/14,8446,4295,34837,202,2399,110,392,1872,2453,2198,272,1,N\A
4,2010/09/30,8986,6777,2261,229,4288,92,726,4435,3267,383,285,1,N\A
4,2010/10/16,8597,5268,2257,232,3077,129,434,969,3113,437,290,1,N\A
4,2010/11/01,8725,8283,34841,369,5422,318,1137,5817,4282,474,319,1,N\A
4,2010/11/17,7484,5391,2185,534,3711,291,791,3484,4156,527,324,1,N\A
4,2010/12/03,3397,1462,2185,790,1603,326,891,1854,4340,2372,352,1,N\A
4,2010/12/19,3048,1424,2116,904,1697,427,1163,995,4479,560,354,0,N\A
5,2010/01/01,5353,2687,2257,630,2082,314,1019,1840,4508,499,2,1,N\A
5,2010/01/17,8226,6298,2185,412,4233,205,730,471,4212,492,25,1,N\A
5,2010/02/02,8379,6413,2185,369,4185,203,568,2358,3744,2261,39,1,N\A
5,2010/02/18,7337,4784,2189,499,3250,249,721,4461,3170,2244,53,1,N\A
5,2010/03/06,4625,2344,2185,754,2052,365,1712,2385,2771,2144,71,1,N\A
5,2010/03/22,3447,1964,2116,1094,2245,555,1996,1019,2157,1946,96,0,N\A
5,2010/04/07,3979,2079,3298,879,2041,446,1494,5203,1353,1909,108,3,N\A
5,2010/04/23,2792,1546,34837,1030,1828,681,1422,2330,1639,1756,119,1,N\A
5,2010/05/09,3278,1696,2262,982,1940,495,1454,4451,1314,1582,133,3,N\A
5,2010/05/25,2620,1417,2116,1208,2066,558,1622,1830,2082,-249,146,0,N\A
5,2010/06/10,3535,2860,2066,1193,2498,1100,1259,4932,2656,-271,173,3,N\A
5,2010/06/26,5473,2748,2262,569,1945,287,608,6152,2997,-227,191,3,N\A
5,2010/07/12,3201,1887,34838,994,1930,733,929,1830,2297,-269,194,3,N\A
5,2010/07/28,4368,1822,2185,611,1559,296,626,3491,1677,1695,222,1,N\A
5,2010/08/13,2283,1932,2066,992,1579,1325,528,6306,1125,1899,234,3,N\A
5,2010/08/29,3670,1665,35878,538,1162,670,441,5214,1621,2099,252,3,N\A
5,2010/09/14,8719,4636,2261,175,2558,101,470,5214,2010,2256,268,1,N\A
5,2010/09/30,7568,4252,2257,330,2384,305,416,408,2801,416,281,1,N\A
5,2010/10/16,9596,5741,34841,61,2966,91,532,4470,2850,2376,293,1,N\A
5,2010/11/01,7481,7616,35037,602,4178,807,1089,4470,3339,2416,309,1,N\A
5,2010/11/17,7748,5901,2189,507,3996,301,748,4094,4162,514,324,1,N\A
5,2010/12/03,4437,2239,2116,762,1978,397,1254,1028,4333,2349,352,0,N\A
5,2010/12/19,3771,2098,2116,1015,2244,492,1530,1831,4479,519,354,0,N\A
6,2010/01/01,8418,6783,2261,382,4448,234,891,4209,4289,442,4,1,N\A
6,2010/01/17,6883,4007,2116,507,2747,242,716,2339,3690,2269,23,0,N\A
6,2010/02/02,5264,3124,34961,874,2817,335,1368,1939,3787,386,34,1,N\A
6,2010/02/18,4229,2432,2116,1019,2513,436,1558,1011,2831,2080,64,0,N\A
6,2010/03/06,4140,2524,2116,1043,2517,557,1751,1011,2406,1952,80,0,N\A
6,2010/03/22,3607,2260,2116,1259,2680,602,1684,479,2347,91,89,0,N\A
6,2010/04/07,4593,2596,34965,918,2478,395,1465,4500,1558,1790,101,1,N\A
6,2010/04/23,3801,2121,2185,1064,2369,450,1315,3529,1654,1494,126,1,N\A
6,2010/05/09,5719,3530,2116,715,2626,451,1227,1001,2082,1406,144,0,N\A
6,2010/05/25,6173,3915,2189,697,2946,369,1300,4501,1767,1314,149,1,N\A
6,2010/06/10,5514,4081,2062,924,3196,643,1037,3558,2077,1316,174,3,N\A
6,2010/06/26,4391,2989,2116,1249,3205,579,1517,1903,2578,-404,178,0,N\A
6,2010/07/12,4397,2916,3158,1214,3120,542,1722,4205,2844,-331,196,3,N\A
6,2010/07/28,4035,2413,34962,1098,2584,504,1497,3519,1840,1537,222,3,N\A
6,2010/08/13,4927,3537,2066,1086,3196,640,1492,6244,3059,-82,239,3,N\A
6,2010/08/29,4664,3074,2120,1113,3059,522,1651,4209,2587,-42,244,0,N\A
6,2010/09/14,6627,3507,2262,502,2475,190,866,5267,1657,2145,268,3,N\A
6,2010/09/30,6163,4113,2261,769,3240,378,1040,5023,3028,288,285,1,N\A
6,2010/10/16,5009,3106,2116,957,2878,421,754,1894,2787,358,290,0,N\A
6,2010/11/01,4707,2841,35033,874,2429,532,796,3572,3178,2372,318,1,N\A
6,2010/11/17,3145,1352,34837,620,1189,585,409,1028,3693,2345,336,1,N\A
6,2010/12/03,7543,3642,2185,314,2242,119,413,2395,3735,2364,343,1,N\A
6,2010/12/19,8170,5307,2189,331,3287,180,702,4209,4254,465,356,1,N\A
