site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,20.642243,93.073223,26,6,3406,4491
2,16.619846,94.999704,27,7,494,1622
3,18.330653,95.645518,27,7,380,801
4,20.357012,94.704249,26,6,4218,4628
5,22.399105,95.660529,26,6,4052,3648
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2003/01/01,3753,2246,2116,1096,2413,578,1811,113,4764,2556,5,0,N\A
1,2003/01/17,3619,2238,2116,1191,2542,613,1958,165,4591,2457,21,0,N\A
1,2003/02/02,3345,2134,2116,1308,2623,676,2396,1232,4101,416,46,0,N\A
1,2003/02/18,2961,1439,2116,878,1617,540,1963,151,3806,2247,53,0,N\A
1,2003/03/06,3148,1661,2116,1026,1969,525,2102,2735,3166,2221,67,0,N\A
1,2003/03/22,2925,1459,2189,982,1794,503,2061,4688,2482,2220,81,1,N\A
1,2003/04/07,2967,1624,2257,1083,1997,590,2243,2800,2074,2077,99,1,N\A
1,2003/04/23,3629,2188,34838,1162,2486,578,2115,3794,1431,1894,122,3,N\A
1,2003/05/09,3106,1804,2189,1207,2295,595,2198,4678,1206,1836,129,1,N\A
1,2003/05/25,4552,3334,34837,1268,3387,681,2025,2490,2019,-162,151,1,N\A
1,2003/06/10,1979,920,3294,1074,1604,487,451,2490,2094,-204,167,3,N\A
1,2003/06/26,984,1718,2066,3000,3655,2950,2093,5869,2764,-155,187,3,N\A
1,2003/07/12,2792,1480,34842,987,1752,634,559,4602,2541,-119,201,3,N\A
1,2003/07/28,5374,2984,3226,674,2240,422,588,4592,2590,-34,217,3,N\A
1,2003/08/13,5685,2073,35874,365,1327,256,335,77,2083,2109,229,3,N\A
1,2003/08/29,5959,5977,2066,723,2856,1103,716,5888,1872,2274,255,3,N\A
1,2003/09/14,7884,8498,2185,482,4075,853,1466,3683,3116,373,272,1,N\A
1,2003/09/30,7797,5743,2185,481,3886,260,602,2572,3194,428,279,1,N\A
1,2003/10/16,7431,4978,2185,494,3352,262,622,1286,3773,526,302,1,N\A
1,2003/11/01,7283,5021,2116,559,3556,265,680,2763,3751,2404,307,0,N\A
1,2003/11/17,4708,2979,2116,1061,2949,463,1282,278,4321,2382,325,0,N\A
1,2003/12/03,4035,2582,2116,1164,2739,597,1509,333,4621,2351,341,0,N\A
1,2003/12/19,3562,2225,2116,1235,2602,621,1935,1086,4839,563,1,0,N\A
2,2003/01/01,3237,1803,2116,1062,2079,580,1667,2840,4573,499,9,0,N\A
2,2003/01/17,2976,1813,2116,1396,2579,619,1874,3874,4575,460,18,0,N\A
2,2003/02/02,5531,2947,2116,611,2124,394,1591,1381,3657,2237,46,0,N\A
2,2003/02/18,7085,4395,2116,482,2826,318,1233,96,3493,543,55,0,N\A
2,2003/03/06,7504,5396,2116,484,3395,375,1499,116,2998,129,71,0,N\A
2,2003/03/22,5754,4348,2116,958,3555,583,2116,2775,2712,180,89,0,N\A
2,2003/04/07,4862,2925,2116,889,2572,470,1764,65,2115,174,103,0,N\A
2,2003/04/23,4234,2431,2185,932,2301,509,1947,2625,1618,1797,117,1,N\A
2,2003/05/09,3826,2500,2186,1284,2876,622,2177,3883,2277,-133,130,3,N\A
2,2003/05/25,2639,2259,2066,1284,2205,1296,932,5954,1048,1432,145,3,N\A
2,2003/06/10,2009,1660,2066,1783,2680,1316,948,5426,2686,-251,164,3,N\A
2,2003/06/26,2584,1891,34838,1374,2332,1055,1038,1530,2251,-260,192,3,N\A
2,2003/07/12,2600,2128,2062,1554,2646,1219,908,1602,2256,-185,208,3,N\A
2,2003/07/28,7383,1739,36074,126,837,183,137,6384,1078,1628,216,3,N\A
2,2003/08/13,4589,6019,2066,1108,2988,1577,1420,4791,2681,2,235,3,N\A
2,2003/08/29,4344,5479,2062,1565,3969,1652,1465,3931,2559,62,242,3,N\A
2,2003/09/14,8011,4701,34961,314,2844,170,515,1309,2434,2186,270,1,N\A
2,2003/09/30,6846,5203,2062,376,2009,856,924,3737,2646,2319,284,3,N\A
2,2003/10/16,7143,4924,2185,577,3463,303,880,1548,3519,494,304,1,N\A
2,2003/11/01,6497,4162,2116,650,3062,330,981,57,3637,447,311,0,N\A
2,2003/11/17,5104,3044,2116,876,2703,394,1319,2767,3872,2405,325,0,N\A
2,2003/12/03,3379,1934,2116,1097,2217,577,1871,117,4312,2284,343,0,N\A
2,2003/12/19,2712,1292,2116,943,1645,497,1454,116,4447,2309,359,0,N\A
