id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m,MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
1,2000/02/18,1774,3510,1163,1505,4811,4367,2440,1073741824,5261,6431,-5013,8206,55,2000/02/24,0.1774,0.351,0.1163,0.1505,0.4811,0.4367,0.244,0.328538985617,0.281242912225,-0.108797765647,0.179831932773,-0.487397820163,-0.156351400072,0010000000001110,mixed,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,NA,0.328538985617,0.281242912225,-0.108797765647,0.179831932773,-0.487397820163,-0.156351400072
1,2000/02/26,1668,2995,794,1235,4096,4238,2485,1073741824,4817,3459,-5429,74,58,2000/02/27,0.1668,0.2995,0.0794,0.1235,0.4096,0.4238,0.2485,0.284580742012,0.194597606757,-0.171851237384,0.0930656934307,-0.548693586698,-0.155267240164,0000000001001010,mixed,no,land,low,none,no cloud,no fire,no,no,no,no,Yes,NA,0.284580742012,0.194597606757,-0.171851237384,0.0930656934307,-0.548693586698,-0.155267240164
1,2000/03/05,1538,2797,737,1134,3912,3991,2338,1073741824,4169,1352,-5223,72,72,2000/03/12,0.1538,0.2797,0.0737,0.1134,0.3912,0.3991,0.2338,0.290426758939,0.1907864828,-0.175898644667,0.0893865628043,-0.557463414634,-0.166194663884,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.290426758939,0.1907864828,-0.175898644667,0.0893865628043,-0.557463414634,-0.166194663884
1,2000/03/13,1230,2406,631,992,3346,3443,2018,1073741824,3836,94,-6176,72,79,2000/03/19,0.123,0.2406,0.0631,0.0992,0.3346,0.3443,0.2018,0.323432343234,0.19530341781,-0.177295264148,0.0877034358047,-0.552649379932,-0.163421418637,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.323432343234,0.19530341781,-0.177295264148,0.0877034358047,-0.552649379932,-0.163421418637
1,2000/03/21,1028,2243,539,875,3075,3203,1906,1073741824,3505,1199,12227,136,86,2000/03/26,0.1028,0.2243,0.0539,0.0875,0.3075,0.3203,0.1906,0.371446040966,0.211399937363,-0.176276165993,0.0812243914196,-0.570868072585,-0.156449793155,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.371446040966,0.211399937363,-0.176276165993,0.0812243914196,-0.570868072585,-0.156449793155
1,2000/03/29,1240,2450,629,991,3443,3651,2229,1073741824,3205,27,4862,72,95,2000/04/04,0.124,0.245,0.0629,0.0991,0.3443,0.3651,0.2229,0.327913279133,0.199373867194,-0.196852974922,0.0472323145971,-0.573028866868,-0.168505005939,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.327913279133,0.199373867194,-0.196852974922,0.0472323145971,-0.573028866868,-0.168505005939
1,2000/04/06,1251,2761,658,1065,3683,3691,2143,1073741824,3249,2354,-4861,72,97,2000/04/06,0.1251,0.2761,0.0658,0.1065,0.3683,0.3691,0.2143,0.376370887338,0.246217062353,-0.144141351519,0.126019575856,-0.552144659378,-0.143078833023,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.376370887338,0.246217062353,-0.144141351519,0.126019575856,-0.552144659378,-0.143078833023
1,2000/04/14,908,2616,485,858,3369,3100,1709,1073741824,2628,42,7274,72,111,2000/04/20,0.0908,0.2616,0.0485,0.0858,0.3369,0.31,0.1709,0.484676503973,0.295983086681,-0.0846745976207,0.209710982659,-0.566447700859,-0.125814536341,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.484676503973,0.295983086681,-0.0846745976207,0.209710982659,-0.566447700859,-0.125814536341
1,2000/04/22,976,3156,479,950,3742,3310,1741,1073741824,2786,4173,-4193,72,115,2000/04/24,0.0976,0.3156,0.0479,0.095,0.3742,0.331,0.1741,0.527589545015,0.353448555401,-0.023816888339,0.288952419849,-0.553990610329,-0.0849521600464,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.527589545015,0.353448555401,-0.023816888339,0.288952419849,-0.553990610329,-0.0849521600464
1,2000/04/30,509,3096,255,654,3194,2272,1000,1073741824,1854,5896,10996,136,128,2000/05/07,0.0509,0.3096,0.0255,0.0654,0.3194,0.2272,0.1,0.717614424411,0.454258121159,0.153502235469,0.51171875,-0.552973342447,-0.0155802861685,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.717614424411,0.454258121159,0.153502235469,0.51171875,-0.552973342447,-0.0155802861685
1,2000/05/08,540,3528,304,749,3575,2468,1049,1073741824,1863,3301,12451,136,132,2000/05/11,0.054,0.3528,0.0304,0.0749,0.3575,0.2468,0.1049,0.734513274336,0.51559911651,0.176784523015,0.541621149224,-0.534348772148,-0.00661692242714,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.734513274336,0.51559911651,0.176784523015,0.541621149224,-0.534348772148,-0.00661692242714
1,2000/05/16,587,3580,309,755,3778,2665,1125,1073741824,1838,76,-3532,72,143,2000/05/22,0.0587,0.358,0.0309,0.0755,0.3778,0.2665,0.1125,0.718262538997,0.506104366059,0.146517213771,0.52178533475,-0.558479532164,-0.0269094862734,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.718262538997,0.506104366059,0.146517213771,0.52178533475,-0.558479532164,-0.0269094862734
1,2000/05/24,482,3840,263,732,3791,2343,978,1073741824,1668,1181,13715,72,150,2000/05/29,0.0482,0.384,0.0263,0.0732,0.3791,0.2343,0.0978,0.776955113373,0.568786205495,0.242115477923,0.59402241594,-0.523902439024,0.00642117677893,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.776955113373,0.568786205495,0.242115477923,0.59402241594,-0.523902439024,0.00642117677893
1,2000/06/01,531,4080,300,787,3839,2456,1223,1073741824,1681,23,-1455,136,159,2000/06/07,0.0531,0.408,0.03,0.0787,0.3839,0.2456,0.1223,0.769681197137,0.590869738945,0.24847001224,0.538751650009,-0.514646931853,0.0304331354969,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.769681197137,0.590869738945,0.24847001224,0.538751650009,-0.514646931853,0.0304331354969
1,2000/06/09,787,4127,456,939,3935,2619,1496,1610612736,1430,3302,13517,8204,164,2000/06/12,0.0787,0.4127,0.0456,0.0939,0.3935,0.2619,0.1496,0.679690679691,0.541188670685,0.223539875482,0.46789969767,-0.472175379427,0.0238154304143,0010000000001100,clear,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,Yes,0.668457619845,0.52109933536,0.193917914086,0.478326739345,-0.474149026349,0.0172612787626
1,2000/06/17,1017,3683,669,1099,3653,2782,1512,1073741824,1241,5879,11867,136,176,2000/06/24,0.1017,0.3683,0.0669,0.1099,0.3653,0.2782,0.1512,0.567234042553,0.451328931776,0.139365815932,0.417901828681,-0.433651120845,0.00408942202835,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.567234042553,0.451328931776,0.139365815932,0.417901828681,-0.433651120845,0.00408942202835
1,2000/06/25,559,3968,331,780,3972,2427,1019,1073741824,1640,1227,14294,8204,182,2000/06/30,0.0559,0.3968,0.0331,0.078,0.3972,0.2427,0.1019,0.753037331566,0.574311802958,0.240969507428,0.591337477441,-0.513564078578,-0.000503778337531,0010000000001100,clear,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,Yes,0.666264755668,0.523554445731,0.179199851009,0.523244884674,-0.486581103345,0.0116287978135
1,2000/07/03,562,4227,296,810,4068,2708,964,1073741824,1818,48,9995,72,191,2000/07/09,0.0562,0.4227,0.0296,0.081,0.4068,0.2708,0.0964,0.765295468783,0.595779959685,0.219033886085,0.628587940667,-0.539511085844,0.0191681735986,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.765295468783,0.595779959685,0.219033886085,0.628587940667,-0.539511085844,0.0191681735986
1,2000/07/11,723,4817,403,999,4443,2884,1235,1073741824,2034,2326,-2888,72,193,2000/07/11,0.0723,0.4817,0.0403,0.0999,0.4443,0.2884,0.1235,0.738989169675,0.634433596777,0.25100636281,0.591870456048,-0.485449394798,0.0403887688985,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.738989169675,0.634433596777,0.25100636281,0.591870456048,-0.485449394798,0.0403887688985
1,2000/07/19,655,4536,361,909,4232,2659,1100,1073741824,2064,55,-867,136,207,2000/07/25,0.0655,0.4536,0.0361,0.0909,0.4232,0.2659,0.11,0.747640146407,0.615699463781,0.260875608061,0.609652235628,-0.490470852018,0.0346715328467,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.747640146407,0.615699463781,0.260875608061,0.609652235628,-0.490470852018,0.0346715328467
1,2000/07/27,1005,2913,1085,1193,2857,1789,827,1073741824,1944,3246,13173,8204,212,2000/07/30,0.1005,0.2913,0.1085,0.1193,0.2857,0.1789,0.0827,0.486983154671,0.441441858313,0.239047213952,0.557754010695,-0.199865861838,0.00970537261698,0010000000001100,clear,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,Yes,0.689557124996,0.555158204351,0.232732259097,0.573984645237,-0.482824078491,0.0140606572531
1,2000/08/12,925,4095,483,962,4149,2704,1229,1073741824,2692,1178,-4367,72,232,2000/08/19,0.0925,0.4095,0.0483,0.0962,0.4149,0.2704,0.1229,0.631474103586,0.494616944921,0.204588910134,0.538317054846,-0.475177304965,-0.00655021834061,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.631474103586,0.494616944921,0.204588910134,0.538317054846,-0.475177304965,-0.00655021834061
1,2000/08/20,1014,3651,531,917,4133,2865,1316,1073741824,2819,98,10201,72,239,2000/08/26,0.1014,0.3651,0.0531,0.0917,0.4133,0.2865,0.1316,0.565273311897,0.418504999206,0.120626151013,0.470102677673,-0.515071390799,-0.0619218910586,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.565273311897,0.418504999206,0.120626151013,0.470102677673,-0.515071390799,-0.0619218910586
1,2000/08/28,1278,3840,662,1066,4362,3314,1547,1073741824,3150,1114,-5251,72,248,2000/09/04,0.1278,0.384,0.0662,0.1066,0.4362,0.3314,0.1547,0.500586166471,0.387172822342,0.0735253005312,0.425654353072,-0.513242009132,-0.063643013899,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.500586166471,0.387172822342,0.0735253005312,0.425654353072,-0.513242009132,-0.063643013899
1,2000/09/05,1354,3921,655,1072,4551,3389,1659,1073741824,3324,114,11849,72,255,2000/09/11,0.1354,0.3921,0.0655,0.1072,0.4551,0.3389,0.1659,0.48663507109,0.374580475704,0.0727770177839,0.405376344086,-0.51939027124,-0.0743626062323,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.48663507109,0.374580475704,0.0727770177839,0.405376344086,-0.51939027124,-0.0743626062323
1,2000/09/13,1291,3683,544,905,4533,3400,1627,1073741824,3524,1298,11859,72,262,2000/09/18,0.1291,0.3683,0.0544,0.0905,0.4533,0.34,0.1627,0.480900683554,0.344688454666,0.0399548214034,0.387193973635,-0.579558652729,-0.103456669912,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.480900683554,0.344688454666,0.0399548214034,0.387193973635,-0.579558652729,-0.103456669912
1,2000/09/21,1308,3500,528,910,4482,3383,1708,1073741824,3884,46,14188,72,271,2000/09/27,0.1308,0.35,0.0528,0.091,0.4482,0.3383,0.1708,0.455906821963,0.315159880377,0.0169984018597,0.344086021505,-0.576054041463,-0.123026810323,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.455906821963,0.315159880377,0.0169984018597,0.344086021505,-0.576054041463,-0.123026810323
1,2000/09/29,1498,3550,687,1023,4449,3548,1804,1073741824,4107,1181,11275,72,278,2000/10/04,0.1498,0.355,0.0687,0.1023,0.4449,0.3548,0.1804,0.406497622821,0.295073480774,0.000281769512539,0.32611131864,-0.552395537082,-0.112389048631,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.406497622821,0.295073480774,0.000281769512539,0.32611131864,-0.552395537082,-0.112389048631
