site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,11.285329,104.86298,28,7,1361,4183
2,11.231328,104.839001,28,7,1358,4208
4,11.206289,104.880867,28,7,1382,4220
5,11.210508,104.916488,28,7,1399,4218
6,11.168756,104.92255,28,7,1408,4238
7,11.139514,104.950413,28,7,1427,4253
8,11.135424,104.931886,28,7,1419,4254
9,11.085529,104.807618,28,7,1368,4278
10,11.097829,104.816336,28,7,1371,4273
11,11.118883,104.828184,28,7,1373,4262
12,11.131352,104.828403,28,7,1371,4256
17,11.051932,104.732049,28,7,1339,4295
20,11.256236,104.669843,28,7,1275,4197
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2013/01/01,3003,2264,2116,1811,3366,942,3382,1348,4080,453,10,0,N\A
1,2013/01/17,2965,2082,2116,1633,3010,837,2858,144,3933,2472,17,0,N\A
1,2013/02/02,2735,2058,2185,1920,3366,977,3349,1384,3600,363,42,1,N\A
1,2013/02/18,4395,2857,3298,985,2530,394,1966,6531,2625,2280,50,3,N\A
1,2013/03/06,2665,1920,2185,1787,3086,920,3515,144,2889,2018,65,1,N\A
1,2013/03/22,2636,2117,2066,1743,2991,1125,2421,6484,3194,-7,96,3,N\A
1,2013/04/07,3832,3045,2066,1437,3223,1021,2438,6492,3037,-114,112,3,N\A
1,2013/04/23,5250,4462,2066,1223,3927,898,1827,6508,3016,-213,128,3,N\A
1,2013/05/09,5450,3942,2118,926,3145,495,1708,3928,1645,1426,134,3,N\A
1,2013/05/25,5513,4086,34842,945,3268,489,1914,5518,1563,1276,148,3,N\A
1,2013/06/10,4881,4388,2062,1437,4178,763,2305,2682,2550,-386,163,3,N\A
1,2013/06/26,5019,4159,34842,1235,3724,1103,1908,5518,1784,1264,180,3,N\A
1,2013/07/12,3969,3598,2066,1715,3973,790,2663,6048,3173,-285,199,3,N\A
1,2013/07/28,2967,1491,2066,885,1632,1008,515,5508,1580,1422,212,3,N\A
1,2013/08/13,2891,1863,2116,1480,2684,721,762,3966,1679,1629,230,0,N\A
1,2013/08/29,4827,3970,35874,1268,3635,733,1034,3781,2508,41,252,3,N\A
1,2013/09/14,3019,2547,2062,1778,3316,1728,1654,2664,2394,118,259,3,N\A
1,2013/09/30,7836,5483,2257,439,3619,234,734,3825,2861,312,284,1,N\A
1,2013/10/16,7961,6089,2120,480,4229,229,790,4750,3160,349,293,1,N\A
1,2013/11/01,7378,4915,2116,508,3367,250,698,91,3060,2567,305,0,N\A
1,2013/11/17,3455,1954,2116,1163,2391,488,950,2874,3620,2368,335,0,N\A
1,2013/12/03,2795,1873,2116,1671,2968,758,1789,1349,3988,492,346,0,N\A
1,2013/12/19,2898,1839,2185,1438,2612,705,2061,2917,3876,2333,2,1,N\A
2,2013/01/01,3437,2209,2116,1412,2891,617,2376,1366,4077,475,10,0,N\A
2,2013/01/17,3088,2000,2116,1421,2691,713,2379,117,3929,2204,17,0,N\A
2,2013/02/02,3042,2025,2116,1521,2851,741,2760,99,3683,2299,33,0,N\A
2,2013/02/18,5179,3138,2262,771,2428,408,1942,6531,2621,2279,50,3,N\A
2,2013/03/06,2971,2017,2185,1562,2883,785,3032,128,2888,2174,65,1,N\A
2,2013/03/22,3185,2724,34842,1771,3427,936,3536,4690,2942,84,85,3,N\A
2,2013/04/07,3710,2172,34838,962,2097,288,1871,3995,1623,1783,102,3,N\A
2,2013/04/23,4437,3255,2066,1155,2998,843,1101,6514,3019,-211,128,3,N\A
2,2013/05/09,3841,2058,3154,840,1888,453,604,3924,1649,1425,134,3,N\A
2,2013/05/25,4736,3334,34842,1032,2889,615,1111,4823,1776,1286,157,3,N\A
2,2013/06/10,3676,3053,2062,1573,3402,783,1840,116,2286,1368,161,3,N\A
2,2013/06/26,4875,4233,34842,1363,3957,736,1480,6521,3321,-300,192,3,N\A
2,2013/07/12,3176,2093,2116,1654,3194,630,1440,83,2374,1732,193,0,N\A
2,2013/07/28,3304,2777,34842,1696,3370,1536,1445,5508,1583,1421,212,3,N\A
2,2013/08/13,1886,1387,2116,2234,3273,1061,1180,1582,1965,1657,232,0,N\A
2,2013/08/29,4910,3554,34842,1037,3038,733,815,5432,2808,47,254,3,N\A
2,2013/09/14,3817,2880,2062,1336,2986,1187,1258,2673,2393,111,259,3,N\A
2,2013/09/30,7570,5196,2257,471,3407,281,892,3835,2860,307,284,1,N\A
2,2013/10/16,7632,5406,2120,485,3612,275,888,4760,3159,353,293,1,N\A
2,2013/11/01,7930,5495,2116,412,3569,224,758,2729,3280,443,307,0,N\A
2,2013/11/17,7124,4789,2116,554,3299,306,816,2865,3616,2375,335,0,N\A
2,2013/12/03,4914,3161,2116,994,2915,492,1200,1567,3817,2350,344,0,N\A
2,2013/12/19,3315,2148,2116,1386,2761,677,1855,1321,4099,506,362,0,N\A
4,2013/01/01,3226,2053,2116,1460,2851,623,2301,1312,4072,444,10,0,N\A
4,2013/01/17,3359,2195,2116,1422,2861,668,2387,164,3925,2156,17,0,N\A
4,2013/02/02,3020,2002,2116,1518,2832,738,2635,143,3679,2198,33,0,N\A
4,2013/02/18,3587,3162,2262,1746,3700,867,3097,6492,3824,184,64,3,N\A
4,2013/03/06,3177,2163,2185,1557,3007,746,2869,171,2883,2084,65,1,N\A
4,2013/03/22,3333,2733,2066,1627,3254,817,3148,4670,2938,85,85,3,N\A
4,2013/04/07,3976,2738,34842,1145,2657,596,1816,4878,1402,1692,109,3,N\A
4,2013/04/23,4935,3881,34842,1162,3427,864,1294,6496,3014,-215,128,3,N\A
4,2013/05/09,5052,4298,2066,1276,3882,949,1510,5443,2799,-297,142,3,N\A
4,2013/05/25,5771,4049,2122,825,3077,442,1529,5529,1567,1275,148,3,N\A
4,2013/06/10,5554,4046,2066,914,3198,1076,787,6102,1665,1210,171,3,N\A
4,2013/06/26,5044,4017,34838,1158,3516,700,1960,3976,2013,1327,182,3,N\A
4,2013/07/12,4882,4372,2066,1428,4153,724,2303,6036,3173,-288,199,3,N\A
4,2013/07/28,3972,3233,2118,1455,3373,594,1847,1600,2092,1534,216,3,N\A
4,2013/08/13,2955,2016,2116,1790,3292,721,1634,1627,1960,1653,232,0,N\A
4,2013/08/29,3850,2486,35934,1071,2412,491,737,5550,1319,1819,244,3,N\A
4,2013/09/14,4427,3077,34842,1073,2778,872,510,4851,1758,2150,269,3,N\A
4,2013/09/30,7098,4492,2257,503,2964,305,680,3806,2855,309,284,1,N\A
4,2013/10/16,7779,5648,2120,473,3787,261,823,4731,3153,347,293,1,N\A
4,2013/11/01,7237,4014,2116,420,2621,191,493,111,3053,2132,305,0,N\A
4,2013/11/17,7061,4488,2116,530,3077,276,753,2902,3612,2371,335,0,N\A
4,2013/12/03,5578,3545,2116,824,2903,425,1077,1609,3813,2360,344,0,N\A
4,2013/12/19,3313,2144,2116,1435,2857,652,1963,1276,4095,473,362,0,N\A
5,2013/01/01,3157,2099,2116,1571,3021,691,2457,1276,4070,440,10,0,N\A
5,2013/01/17,2825,1916,2116,1581,2826,810,2659,198,3923,2201,17,0,N\A
5,2013/02/02,4036,2753,2262,1119,2634,502,2261,5540,3167,2284,36,3,N\A
5,2013/02/18,3246,2996,2262,1976,3876,931,3497,6484,3822,183,64,3,N\A
5,2013/03/06,2854,2083,2185,1757,3161,914,3566,207,2880,2106,65,1,N\A
5,2013/03/22,2793,2345,34842,1823,3236,1131,2695,6472,3190,-5,96,3,N\A
5,2013/04/07,3431,2678,34838,1491,3049,899,3047,2977,1688,1674,111,3,N\A
5,2013/04/23,4146,3331,34842,1386,3350,979,1860,6484,3011,-215,128,3,N\A
5,2013/05/09,3949,3394,2066,1585,3654,784,1767,5426,2796,-295,142,3,N\A
5,2013/05/25,4614,3343,2190,1099,2982,550,2179,5545,1564,1276,148,3,N\A
5,2013/06/10,5695,4102,34842,871,3176,1085,961,6114,1662,1207,171,3,N\A
5,2013/06/26,4733,4205,2066,1452,4062,926,1898,6002,3166,-328,183,3,N\A
5,2013/07/12,4582,3543,34842,1213,3265,852,1909,5529,1731,1318,196,3,N\A
5,2013/07/28,3222,2394,34894,1433,2796,782,2061,1636,2088,1537,216,3,N\A
