8,10.865556,-3.072778,17,7,3351,4384
9,13.2829,30.4783,20,7,4638,3224
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_250m_quality_control_flags,actual_date
8,2000/02/18,1140,1734,4096,N\A
8,2000/02/26,1518,2220,4096,N\A
8,2000/03/05,1357,2014,4096,N\A
8,2000/03/13,1533,2283,4096,N\A
8,2000/03/21,1421,2130,4096,N\A
8,2000/03/29,1668,2578,4096,N\A
8,2000/04/06,1369,2329,4096,N\A
8,2000/04/14,1306,2164,4096,N\A
8,2000/04/22,1183,2274,4096,N\A
8,2000/04/30,1175,2310,4096,N\A
8,2000/05/08,1864,2993,4096,N\A
8,2000/05/16,1179,2800,4096,N\A
8,2000/05/24,948,2494,4096,N\A
8,2000/06/01,1162,2916,4096,N\A
8,2000/06/09,816,2683,4096,N\A
8,2000/06/17,526,2986,4096,N\A
8,2000/06/25,687,3375,4096,N\A
8,2000/07/03,412,2973,4096,N\A
8,2000/07/11,2201,4293,4096,N\A
8,2000/07/19,649,2364,4096,N\A
8,2000/07/27,571,3301,4096,N\A
8,2000/08/04,-28672,-28672,65535,N\A
8,2000/08/12,3448,4687,4096,N\A
8,2000/08/20,579,4194,4096,N\A
8,2000/08/28,1654,3206,4096,N\A
8,2000/09/05,619,3310,4096,N\A
8,2000/09/13,976,2736,4096,N\A
8,2000/09/21,697,2495,4096,N\A
8,2000/09/29,596,2433,4096,N\A
8,2000/10/07,935,2931,4096,N\A
8,2000/10/15,1303,2874,4096,N\A
8,2000/10/23,1129,2955,4096,N\A
8,2000/10/31,492,1062,4096,N\A
8,2000/11/08,848,1654,4096,N\A
8,2000/11/16,929,1885,4096,N\A
8,2000/11/24,772,1312,4096,N\A
8,2000/12/02,934,1874,4096,N\A
8,2000/12/10,817,1409,4096,N\A
8,2000/12/18,787,1256,4096,N\A
8,2000/12/26,927,1547,4096,N\A
8,2001/01/01,1012,1619,4096,N\A
8,2001/01/09,1117,1724,4096,N\A
8,2001/01/17,1097,1710,4096,N\A
8,2001/01/25,1150,1775,4096,N\A
8,2001/02/02,1165,1752,4096,N\A
8,2001/02/10,1158,1727,4096,N\A
8,2001/02/18,1194,1770,4096,N\A
8,2001/02/26,1162,1767,4096,N\A
8,2001/03/06,1402,2078,4096,N\A
8,2001/03/14,1196,1851,4096,N\A
8,2001/03/22,1276,2002,4096,N\A
8,2001/03/30,972,1645,4096,N\A
8,2001/04/07,1058,1761,4096,N\A
8,2001/04/15,1473,2492,4096,N\A
8,2001/04/23,1197,1989,4096,N\A
8,2001/05/01,947,1636,4096,N\A
8,2001/05/09,1146,2007,4096,N\A
8,2001/05/17,1027,2087,4096,N\A
8,2001/05/25,1115,2272,4096,N\A
