id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m,MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
8,2000/02/18,1103,1780,588,873,2501,2562,2218,1073741824,2842,324,14784,72,56,2000/02/25,0.1103,0.178,0.0588,0.0873,0.2501,0.2562,0.2218,0.234824835241,0.120996568487,-0.18010133579,-0.109554777389,-0.491703056769,-0.168418593786,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.234824835241,0.120996568487,-0.18010133579,-0.109554777389,-0.491703056769,-0.168418593786
8,2000/02/26,1479,2227,760,1183,3019,3124,2701,1073741824,3009,2498,-3201,136,58,2000/02/27,0.1479,0.2227,0.076,0.1183,0.3019,0.3124,0.2701,0.201834862385,0.121420686968,-0.167632218277,-0.0961850649351,-0.45066171349,-0.150972169272,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.201834862385,0.121420686968,-0.167632218277,-0.0961850649351,-0.45066171349,-0.150972169272
8,2000/03/05,1349,2033,708,1072,2738,2908,2397,1073741824,2369,361,15815,200,72,2000/03/12,0.1349,0.2033,0.0708,0.1072,0.2738,0.2908,0.2397,0.202247191011,0.115407977323,-0.177089657964,-0.0821670428894,-0.461306532663,-0.147767763572,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.202247191011,0.115407977323,-0.177089657964,-0.0821670428894,-0.461306532663,-0.147767763572
8,2000/03/13,1500,2287,773,1189,3015,3250,2712,1073741824,2569,2498,-2158,200,74,2000/03/14,0.15,0.2287,0.0773,0.1189,0.3015,0.325,0.2712,0.207816213361,0.127021530714,-0.173920895792,-0.0850170034007,-0.464293759856,-0.137306676726,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.207816213361,0.127021530714,-0.173920895792,-0.0850170034007,-0.464293759856,-0.137306676726
8,2000/03/21,1437,2195,768,1142,2883,3145,2732,1073741824,2243,1032,-1531,136,81,2000/03/21,0.1437,0.2195,0.0768,0.1142,0.2883,0.3145,0.2732,0.208700440529,0.125855084014,-0.177902621723,-0.10899127258,-0.467226498717,-0.135486411973,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.208700440529,0.125855084014,-0.177902621723,-0.10899127258,-0.467226498717,-0.135486411973
8,2000/03/29,1670,2584,1148,1429,3475,3670,3073,1073741824,2167,2341,-845,8200,90,2000/03/30,0.167,0.2584,0.1148,0.1429,0.3475,0.367,0.3073,0.214856605548,0.163284264685,-0.173648864727,-0.0864415768075,-0.439497940773,-0.147053969302,0010000000001000,clear,no,land,climatology,none,no cloud,no fire,no,yes,no,no,No,No,0.214856605548,0.163284264685,-0.173648864727,-0.0864415768075,-0.439497940773,-0.147053969302
8,2000/04/06,1364,2373,709,1080,3205,3353,2718,1073741824,1655,469,-17968,136,104,2000/04/13,0.1364,0.2373,0.0709,0.108,0.3205,0.3353,0.2718,0.270002675943,0.165523803274,-0.171149144254,-0.0677666470242,-0.512745319197,-0.149157404087,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.270002675943,0.165523803274,-0.171149144254,-0.0677666470242,-0.512745319197,-0.149157404087
8,2000/04/14,1379,2330,714,1101,3099,3292,2812,1073741824,1443,1982,-16739,136,111,2000/04/20,0.1379,0.233,0.0714,0.1101,0.3099,0.3292,0.2812,0.256403343219,0.155911863073,-0.171113482746,-0.0937378451964,-0.498748008195,-0.141646712102,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.256403343219,0.155911863073,-0.171113482746,-0.0937378451964,-0.498748008195,-0.141646712102
8,2000/04/22,1202,2319,608,1016,3135,2918,2032,1073741824,2025,3502,1553,200,115,2000/04/24,0.1202,0.2319,0.0608,0.1016,0.3135,0.2918,0.2032,0.317239420619,0.186527286086,-0.114378460951,0.0659618478511,-0.483477376716,-0.149614961496,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.317239420619,0.186527286086,-0.114378460951,0.0659618478511,-0.483477376716,-0.149614961496
8,2000/04/30,1178,2312,617,990,2969,3008,2282,1073741824,1492,1964,-14688,136,127,2000/05/06,0.1178,0.2312,0.0617,0.099,0.2969,0.3008,0.2282,0.324928366762,0.192170818505,-0.130827067669,0.00653025685677,-0.504752376188,-0.124408256012,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.324928366762,0.192170818505,-0.130827067669,0.00653025685677,-0.504752376188,-0.124408256012
