site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,15.64448,121.036645,29,7,786,522
2,15.66082,120.998398,29,7,780,520
3,15.65759,120.914072,29,7,771,521
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
1,2010/01/01,17,3,0,136,5,1,N\A
1,2010/01/09,27,5,0,136,5,1,N\A
1,2010/01/17,54,12,0,136,3,1,N\A
1,2010/01/25,82,33,0,128,8,16,N\A
1,2010/02/02,71,21,0,128,4,3,N\A
1,2010/02/10,93,56,97,192,248,248,N\A
1,2010/02/18,86,42,0,136,4,10,N\A
1,2010/02/26,94,57,97,136,248,248,N\A
1,2010/03/06,91,55,32,128,2,8,N\A
1,2010/03/14,87,46,0,128,3,9,N\A
1,2010/03/22,82,40,0,136,5,11,N\A
1,2010/03/30,67,21,0,128,5,3,N\A
1,2010/04/07,49,14,0,128,5,2,N\A
1,2010/04/15,34,8,0,128,6,2,N\A
1,2010/04/23,30,7,8,128,6,2,N\A
1,2010/05/01,28,6,16,128,7,2,N\A
1,2010/05/09,35,7,8,192,5,1,N\A
1,2010/05/17,25,6,8,128,7,2,N\A
1,2010/05/25,25,5,8,160,5,1,N\A
1,2010/06/02,24,5,8,160,5,1,N\A
1,2010/06/10,27,6,8,160,7,2,N\A
1,2010/06/18,25,6,8,128,6,2,N\A
1,2010/06/26,24,5,8,160,5,1,N\A
1,2010/07/04,20,4,16,160,5,1,N\A
1,2010/07/12,16,3,8,160,0,0,N\A
1,2010/07/20,23,5,8,176,5,1,N\A
1,2010/07/28,42,10,8,160,5,1,N\A
1,2010/08/05,43,10,8,160,4,1,N\A
1,2010/08/13,66,23,8,192,5,3,N\A
1,2010/08/21,76,33,16,128,4,5,N\A
1,2010/08/29,82,38,8,176,6,11,N\A
1,2010/09/06,70,26,8,176,7,7,N\A
1,2010/09/14,82,36,0,192,4,7,N\A
1,2010/09/22,78,35,0,128,4,5,N\A
1,2010/09/30,64,21,0,192,5,3,N\A
1,2010/10/08,53,13,8,160,4,2,N\A
1,2010/10/16,21,4,8,176,9,2,N\A
1,2010/10/24,41,10,16,192,4,1,N\A
1,2010/11/01,29,6,8,160,8,2,N\A
1,2010/11/09,41,8,16,128,6,2,N\A
1,2010/11/17,48,10,8,200,4,1,N\A
1,2010/11/25,36,7,8,176,8,2,N\A
1,2010/12/03,36,8,0,136,4,1,N\A
1,2010/12/11,28,5,16,200,6,1,N\A
1,2010/12/19,21,3,16,200,0,0,N\A
1,2010/12/27,20,3,0,136,0,0,N\A
2,2010/01/01,12,2,0,136,7,1,N\A
2,2010/01/09,23,3,8,176,0,0,N\A
2,2010/01/17,46,8,0,136,0,0,N\A
2,2010/01/25,66,15,0,136,3,1,N\A
2,2010/02/02,74,19,0,128,3,2,N\A
2,2010/02/10,82,32,0,128,2,2,N\A
2,2010/02/18,83,33,0,136,3,4,N\A
2,2010/02/26,85,36,0,192,2,2,N\A
2,2010/03/06,76,27,0,128,3,3,N\A
2,2010/03/14,73,25,0,136,3,3,N\A
2,2010/03/22,69,19,0,200,3,2,N\A
2,2010/03/30,51,11,0,128,6,2,N\A
2,2010/04/07,34,7,0,136,4,1,N\A
2,2010/04/15,28,5,0,128,6,1,N\A
2,2010/04/23,24,5,0,128,5,1,N\A
2,2010/05/01,31,6,16,136,0,0,N\A
2,2010/05/09,33,7,0,128,4,1,N\A
2,2010/05/17,33,7,0,136,4,1,N\A
2,2010/05/25,33,7,8,160,5,1,N\A
2,2010/06/02,31,6,8,200,0,0,N\A
2,2010/06/10,32,6,8,176,0,0,N\A
2,2010/06/18,19,4,0,128,4,1,N\A
2,2010/06/26,29,6,8,160,0,0,N\A
2,2010/07/04,13,2,8,176,6,1,N\A
2,2010/07/12,17,3,8,192,0,0,N\A
2,2010/07/20,25,5,8,176,5,1,N\A
2,2010/07/28,46,9,8,176,4,1,N\A
2,2010/08/05,60,16,105,192,248,248,N\A
