site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,15.502,120.90471,29,7,780,539
2,15.58777,120.85976,29,7,769,529
3,15.67305,120.89684,29,7,768,519
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
1,2011/01/01,23,3,0,136,0,0,N\A
1,2011/01/09,11,2,0,192,6,1,N\A
1,2011/01/17,10,2,0,192,6,1,N\A
1,2011/01/25,22,3,0,192,0,0,N\A
1,2011/02/02,36,7,0,136,5,1,N\A
1,2011/02/10,55,12,0,128,3,1,N\A
1,2011/02/18,72,21,0,128,3,2,N\A
1,2011/02/26,71,21,0,128,3,2,N\A
1,2011/03/06,72,22,0,192,3,2,N\A
1,2011/03/14,73,23,0,128,2,2,N\A
1,2011/03/22,68,21,0,192,3,2,N\A
1,2011/03/30,64,19,0,128,3,2,N\A
1,2011/04/07,51,13,0,128,4,2,N\A
1,2011/04/15,41,10,0,136,4,1,N\A
1,2011/04/23,38,7,8,136,5,1,N\A
1,2011/05/01,33,6,8,192,0,0,N\A
1,2011/05/09,34,7,0,128,4,1,N\A
1,2011/05/17,34,6,16,136,3,1,N\A
1,2011/05/25,37,7,8,192,5,1,N\A
1,2011/06/02,38,7,8,160,5,1,N\A
1,2011/06/10,36,7,0,192,5,1,N\A
1,2011/06/26,18,3,16,192,0,0,N\A
1,2011/07/04,6,1,8,160,0,0,N\A
1,2011/07/12,13,2,8,160,7,1,N\A
1,2011/07/20,24,5,8,192,6,1,N\A
1,2011/07/28,33,7,0,192,5,1,N\A
1,2011/08/05,31,6,0,128,4,1,N\A
1,2011/08/13,37,7,8,176,5,1,N\A
1,2011/08/29,55,12,8,160,3,1,N\A
1,2011/09/06,34,7,16,192,5,1,N\A
1,2011/09/22,37,8,105,176,248,248,N\A
1,2011/09/30,54,12,16,160,3,1,N\A
1,2011/10/08,57,15,16,200,3,1,N\A
1,2011/10/16,47,11,0,200,2,1,N\A
1,2011/10/24,45,9,0,128,4,1,N\A
1,2011/11/01,40,8,0,128,4,1,N\A
1,2011/11/09,36,6,16,136,0,0,N\A
1,2011/11/17,31,6,16,200,3,1,N\A
1,2011/11/25,21,3,0,192,0,0,N\A
1,2011/12/03,14,2,16,136,7,1,N\A
1,2011/12/11,7,1,8,160,0,0,N\A
1,2011/12/19,22,3,0,136,0,0,N\A
1,2011/12/27,22,3,0,136,0,0,N\A
2,2011/01/01,25,4,0,128,5,1,N\A
2,2011/01/09,25,4,0,200,5,1,N\A
2,2011/01/17,26,4,0,128,6,1,N\A
2,2011/01/25,54,11,0,128,1,0,N\A
2,2011/02/02,75,19,0,160,3,2,N\A
2,2011/02/10,76,20,0,128,2,2,N\A
2,2011/02/18,73,24,0,128,3,3,N\A
2,2011/02/26,76,23,0,128,3,2,N\A
2,2011/03/06,72,23,0,128,3,2,N\A
2,2011/03/14,68,20,0,128,3,2,N\A
2,2011/03/22,59,17,0,128,4,2,N\A
2,2011/03/30,49,12,0,128,3,1,N\A
2,2011/04/07,36,7,0,128,4,1,N\A
2,2011/04/15,37,7,0,128,5,1,N\A
2,2011/04/23,28,6,0,136,1,0,N\A
2,2011/05/01,25,5,8,128,5,1,N\A
2,2011/05/09,35,7,0,128,4,1,N\A
2,2011/05/17,36,7,16,136,5,1,N\A
2,2011/05/25,47,10,8,160,4,1,N\A
2,2011/06/02,41,10,8,192,4,1,N\A
2,2011/06/10,40,8,0,160,6,2,N\A
2,2011/06/26,26,5,16,128,5,1,N\A
2,2011/07/04,7,1,8,176,0,0,N\A
2,2011/07/12,34,7,8,176,4,1,N\A
2,2011/07/20,53,13,0,136,3,1,N\A
2,2011/07/28,43,10,8,160,4,1,N\A
2,2011/08/05,65,16,0,128,4,2,N\A
2,2011/08/13,65,21,0,192,3,2,N\A
2,2011/08/29,67,21,0,200,3,2,N\A
2,2011/09/06,49,12,16,192,3,1,N\A
2,2011/09/22,43,10,105,176,248,248,N\A
2,2011/09/30,51,12,16,200,5,2,N\A
2,2011/10/08,28,5,8,160,6,1,N\A
2,2011/10/16,36,7,0,128,5,1,N\A
2,2011/10/24,38,7,0,128,5,1,N\A
2,2011/11/01,38,7,0,128,5,1,N\A
2,2011/11/09,44,8,16,136,4,1,N\A
2,2011/11/17,32,6,16,160,0,0,N\A
2,2011/11/25,47,9,8,192,6,2,N\A
2,2011/12/03,38,6,8,160,0,0,N\A
2,2011/12/11,42,8,0,128,5,1,N\A
2,2011/12/19,40,7,0,128,5,1,N\A
2,2011/12/27,32,5,0,136,6,1,N\A
3,2011/01/01,15,2,0,128,8,1,N\A
3,2011/01/09,22,3,16,192,0,0,N\A
3,2011/01/17,7,1,8,192,0,0,N\A
3,2011/01/25,35,6,0,136,0,0,N\A
3,2011/02/02,45,8,0,136,0,0,N\A
3,2011/02/10,58,12,0,136,3,1,N\A
3,2011/02/18,67,18,0,128,3,2,N\A
3,2011/02/26,70,20,0,128,2,1,N\A
3,2011/03/06,65,19,0,136,4,2,N\A
3,2011/03/14,67,19,0,200,4,2,N\A
3,2011/03/22,53,15,0,192,3,1,N\A
3,2011/03/30,55,15,0,192,3,1,N\A
3,2011/04/07,44,10,0,128,4,1,N\A
3,2011/04/15,34,6,16,136,0,0,N\A
3,2011/04/23,39,7,8,128,5,1,N\A
3,2011/05/01,28,5,8,128,5,1,N\A
3,2011/05/09,26,5,0,128,5,1,N\A
3,2011/05/17,29,5,8,136,5,1,N\A
3,2011/05/25,26,5,8,160,6,1,N\A
3,2011/06/02,26,6,0,128,4,1,N\A
3,2011/06/10,37,7,16,192,5,1,N\A
