1,-2.8567,-54.9589,12,9,1226,685
2,-3.018,-54.9714,12,9,1225,724
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date
1,2000/02/18,1811,3988,1975,2012,3886,2333,1119,1073741824,2245,823,16788,8205,56,2000/02/25
1,2000/02/26,424,2512,626,595,2694,1263,427,1073741824,1733,4455,17261,1545,61,2000/03/01
1,2000/03/05,4334,5225,4408,4469,4903,3527,1995,1073741824,2855,5146,500,1033,69,2000/03/09
1,2000/03/13,1664,3438,1789,1785,3635,2481,1442,1073741824,1876,2333,-16537,1033,79,2000/03/19
1,2000/03/21,482,2525,554,611,2709,1219,393,1073741824,1728,3587,-15375,1290,86,2000/03/26
1,2000/03/29,631,3506,724,826,3621,2047,896,1073741824,2624,4238,2580,8206,92,2000/04/01
1,2000/04/06,2134,3857,2378,2325,3926,2672,1576,1073741824,2229,488,3023,1033,97,2000/04/06
1,2000/04/14,1858,2837,2037,1980,2229,1741,1119,1073741824,2173,2442,-12971,8205,111,2000/04/20
1,2000/04/22,383,3170,423,557,3238,1781,653,1073741824,2438,451,4825,8204,113,2000/04/22
1,2000/04/30,1787,3759,1886,2004,3907,2727,1565,1073741824,2706,1910,5116,1801,122,2000/05/01
1,2000/05/08,4198,6126,4045,4267,5796,4407,2844,1073741824,2979,3248,5354,1033,131,2000/05/10
1,2000/05/16,1286,2164,1512,1431,2035,1233,585,1073741824,2616,4483,-11053,1546,141,2000/05/20
1,2000/05/24,77,2269,27,173,2448,1213,418,1073741824,2669,5291,-10663,8204,148,2000/05/27
1,2000/06/01,126,2413,62,232,2598,1289,398,1073741824,3022,2369,-11334,72,159,2000/06/07
1,2000/06/09,180,2817,92,308,2986,1554,505,1073741824,3209,532,6257,72,161,2000/06/09
1,2000/06/17,175,3011,57,306,3093,1650,509,1073741824,3363,1993,6048,136,170,2000/06/18
1,2000/06/25,1514,3158,1644,1693,3085,2802,1090,1073741824,3290,524,6482,8204,177,2000/06/25
1,2000/07/03,188,2989,95,347,3065,1575,526,1073741824,3368,1947,5819,72,186,2000/07/04
1,2000/07/11,2690,3864,2839,2801,3828,3177,2138,1073741824,2779,5332,-10946,1033,196,2000/07/14
1,2000/07/19,5005,5569,5033,5145,4286,2855,1391,1077411841,2609,5935,-10929,8206,203,2000/07/21
1,2000/07/27,230,2497,331,426,2628,1453,674,1073741824,2522,5267,-11410,8204,212,2000/07/30
1,2000/08/04,-28672,-28672,-28672,-28672,-28672,-28672,-28672,4294967295,0,0,0,65535,65535,2179/06/05
1,2000/08/12,521,3312,684,734,3180,1554,563,1073741824,2448,1039,-13284,8204,232,2000/08/19
1,2000/08/20,2765,3904,2891,2903,3799,3099,1962,1073741824,1826,5967,-12006,8205,235,2000/08/22
1,2000/08/28,161,3059,79,312,3038,1493,411,1073741824,2043,1121,-14538,140,248,2000/09/04
1,2000/09/05,101,2897,23,242,2819,1334,413,1073741824,1738,2507,-14851,140,255,2000/09/11
1,2000/09/13,411,3835,388,629,3662,1951,690,1077411841,1980,389,3189,8204,257,2000/09/13
1,2000/09/21,1651,3779,1725,1805,3494,2102,1110,1073741824,1179,4582,-16330,8204,269,2000/09/25
1,2000/09/29,196,3570,140,395,3434,1659,495,1073741824,1567,967,17907,8204,280,2000/10/06
1,2000/10/07,269,3719,124,457,3596,1856,586,1073741824,2165,4258,-337,8200,284,2000/10/10
1,2000/10/15,472,3361,404,638,3245,1735,729,1073741824,1681,976,15798,8204,296,2000/10/22
1,2000/10/23,1683,2745,2024,1888,2682,1963,1270,1073741824,1172,5915,13334,1033,299,2000/10/25
1,2000/10/31,1742,4201,1814,1930,4683,3080,1847,1077411841,2244,3296,-2479,1034,307,2000/11/02
1,2000/11/08,191,3559,79,384,3293,1655,563,1073741824,2800,5759,-2602,136,318,2000/11/13
1,2000/11/16,175,3617,86,340,3459,1648,567,1073741824,2313,940,13914,1034,328,2000/11/23
1,2000/11/24,1450,3990,1437,1579,4049,2717,1637,1073741824,2554,2020,-3732,8204,330,2000/11/25
1,2000/12/02,184,3567,77,368,3471,1738,523,1073741824,2582,660,-4461,8204,337,2000/12/02
1,2000/12/10,999,3768,955,1123,3542,2138,1071,1073741824,2819,2084,-3975,8204,346,2000/12/11
1,2000/12/18,250,2737,385,407,2580,1138,310,1073741824,2377,5300,12680,8204,356,2000/12/21
1,2000/12/26,1807,4299,1916,2022,4371,3067,1940,1073741824,2967,1993,-3773,1034,362,2000/12/27
1,2001/01/01,2168,3692,2255,2275,3662,2786,2041,1073741824,2888,560,-3653,1033,3,2001/01/03
1,2001/01/09,2988,4364,3072,3081,4076,2774,1610,1073741824,2781,912,14286,1033,10,2001/01/10
1,2001/01/17,185,3126,202,371,3030,1606,692,1073741824,2467,3531,14569,8204,24,2001/01/24
1,2001/01/25,1671,2892,2047,1891,2832,1957,1128,1073741824,2074,5914,14076,1033,29,2001/01/29
1,2001/02/02,495,2594,770,655,2502,1136,374,1073741824,2034,5312,15006,8204,38,2001/02/07
1,2001/02/10,2440,4049,2444,2486,3941,3074,2099,1073741824,2488,1003,15913,1033,42,2001/02/11
1,2001/02/18,536,3072,615,698,3076,1626,637,1073741824,2512,514,-1259,1033,51,2001/02/20
1,2001/02/26,2813,3790,3100,3030,3592,2320,1284,1073741824,1781,4512,17647,1801,63,2001/03/04
1,2001/03/06,2043,3122,2148,2137,2948,1889,954,1073741824,1861,3484,-17289,8205,72,2001/03/13
1,2001/03/14,147,2383,47,220,2437,1198,363,1073741824,1685,4483,-16247,8204,79,2001/03/20
1,2001/03/22,810,2650,931,998,2595,1481,753,1073741824,1985,2314,-16061,8204,81,2001/03/22
1,2001/03/30,2286,3576,2440,2429,3512,2288,1371,1075576832,2162,913,-15467,1801,90,2001/03/31
1,2001/04/07,2954,3940,3058,3016,3762,2734,1554,1073741824,1783,5290,-13101,8205,102,2001/04/12
1,2001/04/15,1089,3250,1326,1284,3160,2014,930,1077411841,3191,5748,3806,1033,112,2001/04/22
1,2001/04/23,1590,3542,1690,1719,3489,2256,1196,1073741824,2598,532,4596,1033,115,2001/04/25
1,2001/05/01,90,2429,21,168,2450,1228,389,1073741824,2421,4522,-11669,8204,127,2001/05/07
1,2001/05/09,117,3253,44,266,3378,1783,576,1073741824,3130,3249,5204,8204,133,2001/05/13
1,2001/05/17,809,3374,911,1013,3434,1935,771,1073741824,2905,985,-12126,8204,138,2001/05/18
1,2001/05/25,2256,3722,2436,2455,3707,2625,1475,1073741824,2773,5321,-10870,8204,150,2001/05/30
1,2001/06/02,216,686,290,276,631,320,67,1073741824,2802,5924,-10595,76,157,2001/06/06
1,2001/06/10,441,2693,531,588,2537,1410,529,1073741824,3538,3258,5742,8204,165,2001/06/14
1,2001/06/26,1216,2777,1298,1354,2758,1973,1305,1073741824,3118,3513,-11514,1032,184,2001/07/03
1,2001/07/04,454,3489,311,601,3478,1879,706,1073741824,3675,4297,5261,136,190,2001/07/09
