site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,15.10653,100.02415,27,7,1576,1174
2,14.53313,100.12565,27,7,1661,1312
3,14.29234,100.13954,27,7,1689,1369
4,14.05285,100.1741,27,7,1722,1427
5,13.49009,100.06744,27,7,1753,1562
6,14.76528,100.44693,27,7,1711,1256
7,14.6705,100.37515,27,7,1704,1279
8,14.52054,100.55989,27,7,1763,1315
9,14.28868,100.60973,27,7,1799,1370
10,14.1545,100.50478,27,7,1788,1402
11,13.59758,100.58845,27,7,1864,1536
12,14.51312,100.82942,27,7,1826,1316
13,14.34029,100.86974,27,7,1854,1358
14,14.2546,101.06443,27,7,1908,1378
15,13.89866,100.8131,27,7,1886,1464
16,14.05771,101.35052,27,7,1995,1426
17,13.96792,101.20529,27,7,1971,1447
18,13.72198,101.2018,27,7,1995,1506
19,13.59492,101.04099,27,7,1970,1537
20,13.50474,101.16583,27,7,2008,1558
21,13.49624,100.98103,27,7,1966,1560
22,13.33782,100.93659,27,7,1971,1598
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date
1,2012/01/01,824,2904,424,936,3055,2125,1119,1073741824,4795,5780,-4616,136,1,2012/01/01
1,2012/01/09,552,2408,282,592,2509,1632,830,1073741824,4140,3237,12567,72,9,2012/01/09
1,2012/01/17,1625,3335,1204,1756,3368,2578,1580,1073741824,4397,3418,-4431,204,22,2012/01/22
1,2012/01/25,360,2392,176,490,2367,1560,698,1073741824,3720,4188,12997,200,32,2012/02/01
1,2012/02/02,650,2939,355,809,2973,2084,1112,1073741824,4117,3438,-3984,136,38,2012/02/07
1,2012/02/10,533,2423,285,688,2318,1623,882,1073741824,3704,603,13822,200,43,2012/02/12
1,2012/02/26,1061,3319,535,1122,3736,2569,1472,1073741824,3412,2195,-3223,200,61,2012/03/01
1,2012/03/05,476,2602,253,641,2737,1673,738,1073741824,2927,2037,14584,200,66,2012/03/06
1,2012/03/13,740,3021,394,817,3211,2361,1272,1073741824,2949,2223,-2331,136,77,2012/03/17
1,2012/03/21,971,3014,537,1076,3086,2274,1207,1073741824,2628,869,-1821,202,84,2012/03/24
1,2012/04/06,739,2712,401,818,2774,2054,1104,1073741824,2248,913,-965,136,100,2012/04/09
1,2012/04/14,731,2471,372,769,2643,1858,944,1073741824,1978,587,17146,74,107,2012/04/16
1,2012/04/22,858,2726,439,893,2810,2054,1164,1073741824,2016,860,821,136,116,2012/04/25
1,2012/04/30,746,2429,372,785,2582,1866,1033,1073741824,1826,612,-16765,73,123,2012/05/02
1,2012/05/08,815,2658,412,880,2702,1976,1058,1073741824,1967,851,2256,72,132,2012/05/11
1,2012/05/16,2265,3742,2124,2486,3515,2889,1857,1073741824,1850,595,-15625,1033,139,2012/05/18
1,2012/05/24,1514,3012,1302,1658,2957,2203,1365,1073741824,1758,1973,-15007,1033,146,2012/05/25
1,2012/06/01,507,3324,277,645,2988,1900,841,1073741824,1349,5636,-13359,205,158,2012/06/06
1,2012/06/09,888,3429,548,1030,3078,2116,1149,1073741824,2161,923,3456,8205,164,2012/06/12
