1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
6,No Data
7,No Data
8,No Data
9,No Data
10,No Data
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date
1,2000/02/18,-28672,-28672,-28672,-28672,-28672,-28672,-28672,1002159035,4253,5146,-4485,8,55,2000/02/24
1,2000/02/26,1065,2135,521,797,2961,2696,1754,1077411841,3752,246,11768,72,58,2000/02/27
1,2000/03/05,1294,2379,657,975,3214,2954,1975,1073741824,3501,1096,-4542,72,67,2000/03/07
1,2000/03/13,1272,2313,644,949,3052,2904,1917,1075576832,3163,254,12386,72,74,2000/03/14
1,2000/03/21,1480,2543,749,1097,3310,3214,2209,1073741824,2903,1014,-4334,72,83,2000/03/23
1,2000/03/29,1388,2383,674,999,3200,3058,2125,1073741824,2557,413,13706,72,90,2000/03/30
1,2000/04/06,1588,2698,743,1125,3564,3442,2421,1073741824,2337,977,-3654,72,99,2000/04/08
1,2000/04/14,1494,2386,765,1122,3131,3030,2189,1073741824,2016,378,14009,72,106,2000/04/15
1,2000/04/22,1480,2592,773,1103,3358,3285,2260,1073741824,1863,914,-2573,72,115,2000/04/24
1,2000/04/30,1365,2421,702,1020,3182,3058,2093,1073741824,1588,476,15818,72,122,2000/05/01
1,2000/05/08,1379,2598,690,1010,3472,3295,2324,1073741824,1568,995,-1434,74,131,2000/05/10
1,2000/05/16,1206,2332,607,892,3167,2883,2130,1073741824,1372,289,16153,72,138,2000/05/17
1,2000/05/24,1517,2776,762,1134,3667,3478,2501,1073741824,1454,1022,-320,72,147,2000/05/26
1,2000/06/01,1197,2289,609,915,3011,2850,2017,1073741824,1310,382,17282,73,154,2000/06/02
1,2000/06/09,1215,2604,625,1020,3127,2998,2033,1075576832,1470,979,899,137,163,2000/06/11
1,2000/06/17,983,2672,503,962,2923,2443,1455,1073741824,1941,4319,727,201,174,2000/06/22
1,2000/06/25,973,3175,511,998,3490,2819,1701,1073741824,1546,960,972,8202,179,2000/06/27
1,2000/07/03,796,2832,752,977,3173,2333,1376,1073741824,1445,432,-17749,1033,186,2000/07/04
1,2000/07/11,5149,6396,5038,5238,5842,4719,3086,1073741824,1637,933,530,1033,195,2000/07/13
1,2000/07/19,3693,4508,3621,3769,4561,4183,3136,1073741824,2130,4327,-173,1033,206,2000/07/24
1,2000/07/27,1323,4551,1317,1633,4709,3017,1501,1073741824,2054,3466,-615,1033,213,2000/07/31
1,2000/08/04,1393,3611,1266,1598,3447,2506,1376,1073741824,2633,6232,-651,1033,217,2000/08/04
1,2000/08/12,9014,8418,9118,9100,5413,2928,1644,1073741824,1680,2966,14728,1033,232,2000/08/19
1,2000/08/20,583,4359,376,913,4034,2698,1282,1077411841,2455,4258,-2343,8206,238,2000/08/25
1,2000/08/28,1008,3360,1032,1244,3192,2078,935,1073741824,2724,5001,-2921,1034,247,2000/09/03
1,2000/09/05,478,3838,72,718,3584,2374,1062,1077411841,3013,5628,-3328,8204,256,2000/09/12
