1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
6,No Data
7,No Data
8,No Data
9,No Data
10,No Data
11,No Data
12,No Data
13,No Data
14,No Data
15,No Data
16,No Data
17,No Data
18,No Data
19,No Data
20,No Data
21,No Data
22,No Data
23,No Data
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
1,2000/02/18,255,255,157,255,255,255,N\A
1,2000/02/26,20,3,0,128,0,0,N\A
1,2000/03/05,15,3,0,128,7,1,N\A
1,2000/03/13,15,3,0,128,7,1,N\A
1,2000/03/21,15,3,0,128,7,1,N\A
1,2000/03/29,15,3,0,128,7,1,N\A
1,2000/04/06,12,2,0,128,6,1,N\A
1,2000/04/14,11,2,0,128,6,1,N\A
1,2000/04/22,12,2,0,128,6,1,N\A
1,2000/04/30,12,2,0,128,6,1,N\A
1,2000/05/08,12,2,16,128,6,1,N\A
1,2000/05/16,12,2,8,160,6,1,N\A
1,2000/06/01,12,2,8,160,6,1,N\A
1,2000/06/09,10,2,8,160,6,1,N\A
1,2000/06/17,18,3,8,136,0,0,N\A
1,2000/06/25,22,4,8,192,5,1,N\A
1,2000/07/03,16,3,8,160,6,1,N\A
1,2000/07/11,2,0,105,160,248,248,N\A
1,2000/07/19,24,5,8,160,5,1,N\A
1,2000/07/27,34,7,8,192,4,1,N\A
1,2000/08/04,255,255,157,255,255,255,N\A
1,2000/08/20,6,1,8,176,0,0,N\A
1,2000/08/28,28,6,105,160,248,248,N\A
1,2000/09/05,47,10,8,136,4,1,N\A
1,2000/09/13,42,9,8,136,0,0,N\A
1,2000/09/21,46,10,8,192,4,1,N\A
1,2000/09/29,38,8,16,136,4,1,N\A
1,2000/10/07,31,6,16,136,0,0,N\A
1,2000/10/15,29,5,0,128,5,1,N\A
1,2000/10/23,28,4,0,136,6,1,N\A
1,2000/10/31,26,4,0,128,5,1,N\A
1,2000/11/08,26,4,0,128,5,1,N\A
1,2000/11/16,23,3,0,128,0,0,N\A
1,2000/11/24,23,3,0,128,0,0,N\A
1,2000/12/02,23,3,0,128,0,0,N\A
1,2000/12/10,23,3,0,128,0,0,N\A
1,2000/12/18,18,3,0,128,7,1,N\A
1,2000/12/26,23,3,16,136,0,0,N\A
1,2001/01/01,23,3,16,136,0,0,N\A
1,2001/01/09,15,2,0,128,8,1,N\A
1,2001/01/17,23,3,16,136,0,0,N\A
1,2001/01/25,17,3,0,136,7,1,N\A
1,2001/02/02,15,2,0,128,8,1,N\A
1,2001/02/10,15,2,0,128,8,1,N\A
1,2001/02/18,15,2,0,128,8,1,N\A
1,2001/02/26,11,2,0,192,6,1,N\A
1,2001/03/06,13,2,0,128,7,1,N\A
1,2001/03/14,11,2,0,136,6,1,N\A
1,2001/03/22,11,2,0,128,6,1,N\A
1,2001/03/30,13,2,0,128,7,1,N\A
1,2001/04/07,12,2,0,128,7,1,N\A
1,2001/04/15,12,2,16,128,6,1,N\A
1,2001/04/23,12,2,0,128,6,1,N\A
1,2001/05/09,10,2,16,128,6,1,N\A
1,2001/05/17,9,2,8,160,5,1,N\A
1,2001/05/25,10,2,0,136,6,1,N\A
1,2001/06/02,8,2,8,192,5,1,N\A
1,2001/06/10,7,1,8,160,0,0,N\A
1,2001/07/04,15,3,8,160,6,1,N\A
1,2001/07/12,25,5,8,160,5,1,N\A
1,2001/07/20,37,9,8,160,3,1,N\A
1,2001/07/28,26,5,8,160,6,1,N\A
1,2001/08/05,4,1,105,160,248,248,N\A
1,2001/08/13,20,3,8,160,0,0,N\A
1,2001/08/21,19,4,105,160,248,248,N\A
1,2001/08/29,43,10,16,136,3,1,N\A
1,2001/09/06,54,12,0,136,3,1,N\A
1,2001/09/14,47,10,0,128,4,1,N\A
1,2001/09/22,53,12,0,136,3,1,N\A
1,2001/09/30,43,10,0,136,4,1,N\A
1,2001/10/08,61,15,0,136,3,1,N\A
1,2001/10/16,58,14,0,136,4,2,N\A
1,2001/10/24,52,10,0,136,4,1,N\A
1,2001/11/01,52,10,0,128,4,1,N\A
1,2001/11/09,49,9,0,128,4,1,N\A
1,2001/11/17,46,8,0,136,0,0,N\A
1,2001/11/25,44,8,0,128,4,1,N\A
1,2001/12/03,40,7,0,128,5,1,N\A
1,2001/12/11,36,6,0,136,0,0,N\A
1,2001/12/19,36,6,0,128,0,0,N\A
1,2001/12/27,33,5,0,136,5,1,N\A
1,2002/01/01,36,6,0,136,0,0,N\A
1,2002/01/09,29,5,0,128,6,1,N\A
1,2002/01/17,29,5,0,128,6,1,N\A
1,2002/01/25,27,4,0,128,6,1,N\A
1,2002/02/02,26,4,0,128,5,1,N\A
1,2002/02/10,23,3,0,128,0,0,N\A
1,2002/02/18,23,3,0,136,0,0,N\A
1,2002/02/26,19,3,0,128,0,0,N\A
1,2002/03/06,17,3,0,128,6,1,N\A
1,2002/03/14,20,3,0,128,0,0,N\A
1,2002/03/30,15,3,0,128,7,1,N\A
1,2002/04/07,13,2,0,128,7,1,N\A
1,2002/04/15,10,2,16,128,6,1,N\A
1,2002/04/23,13,2,0,128,7,1,N\A
1,2002/05/01,11,2,0,128,6,1,N\A
1,2002/05/09,13,2,8,128,7,1,N\A
1,2002/05/17,12,2,0,128,6,1,N\A
1,2002/05/25,13,2,16,128,7,1,N\A
1,2002/06/02,10,2,0,128,6,1,N\A
1,2002/06/10,10,2,8,192,6,1,N\A
1,2002/06/18,7,1,8,160,0,0,N\A
1,2002/06/26,11,2,8,192,6,1,N\A
1,2002/07/04,11,2,8,160,6,1,N\A
1,2002/07/12,6,1,8,160,0,0,N\A
1,2002/07/20,20,3,8,160,0,0,N\A
1,2002/07/28,14,2,8,160,7,1,N\A
1,2002/08/05,8,1,105,160,248,248,N\A
1,2002/08/13,28,5,8,160,6,1,N\A
1,2002/08/21,48,11,0,160,4,2,N\A
1,2002/08/29,31,7,105,160,248,248,N\A
1,2002/09/06,52,12,0,136,5,2,N\A
1,2002/09/14,53,12,0,128,3,1,N\A
1,2002/09/22,46,10,8,136,4,1,N\A
1,2002/09/30,46,10,0,136,4,1,N\A
1,2002/10/08,41,8,0,136,3,1,N\A
1,2002/10/16,41,7,0,136,5,1,N\A
1,2002/10/24,40,7,0,128,5,1,N\A
1,2002/11/01,39,6,0,128,4,1,N\A
1,2002/11/09,36,6,0,136,0,0,N\A
1,2002/11/17,36,6,0,128,0,0,N\A
1,2002/11/25,35,6,0,128,0,0,N\A
1,2002/12/03,31,5,0,128,6,1,N\A
1,2002/12/11,31,5,0,128,6,1,N\A
1,2002/12/19,31,5,0,128,6,1,N\A
1,2002/12/27,28,4,0,136,6,1,N\A
1,2003/01/01,30,3,16,136,0,0,N\A
1,2003/01/09,26,4,0,136,5,1,N\A
1,2003/01/17,29,5,0,128,6,1,N\A
1,2003/01/25,27,4,0,192,6,1,N\A
