1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
6,No Data
7,No Data
8,No Data
9,No Data
10,No Data
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
1,2000/02/18,255,255,157,255,255,255,N\A
1,2000/02/26,26,5,0,128,6,1,N\A
1,2000/03/05,24,5,0,128,5,1,N\A
1,2000/03/13,23,5,0,128,5,1,N\A
1,2000/03/21,22,4,0,128,8,2,N\A
1,2000/03/29,21,4,0,128,5,1,N\A
1,2000/04/06,19,4,0,128,9,2,N\A
1,2000/04/14,17,3,0,128,8,2,N\A
1,2000/04/22,20,4,0,192,5,1,N\A
1,2000/04/30,17,3,0,128,8,2,N\A
1,2000/05/08,23,5,8,200,5,1,N\A
1,2000/05/16,21,5,0,128,5,1,N\A
1,2000/06/01,24,5,16,136,4,1,N\A
1,2000/06/09,27,6,8,136,6,2,N\A
1,2000/06/17,33,8,8,136,6,2,N\A
1,2000/06/25,46,12,16,136,6,2,N\A
1,2000/07/03,51,14,8,160,5,2,N\A
1,2000/07/11,11,2,105,160,248,248,N\A
1,2000/07/19,10,2,105,160,248,248,N\A
1,2000/07/27,48,13,105,160,248,248,N\A
1,2000/08/04,31,6,8,160,0,0,N\A
1,2000/08/20,44,10,8,160,4,1,N\A
1,2000/08/28,40,9,8,160,7,2,N\A
1,2000/09/05,44,10,0,192,4,1,N\A
1,2000/09/13,70,23,0,136,4,3,N\A
1,2000/09/21,67,21,0,136,5,3,N\A
1,2000/09/29,59,17,0,128,4,2,N\A
1,2000/10/07,53,14,0,136,5,2,N\A
1,2000/10/15,54,12,0,128,3,1,N\A
1,2000/10/23,47,10,0,136,4,1,N\A
1,2000/10/31,46,10,0,136,4,1,N\A
1,2000/11/08,38,8,0,128,4,1,N\A
1,2000/11/16,38,8,0,128,4,1,N\A
1,2000/11/24,36,7,0,136,5,1,N\A
1,2000/12/02,36,7,0,128,5,1,N\A
1,2000/12/10,35,7,0,128,4,1,N\A
1,2000/12/18,35,6,0,128,4,1,N\A
1,2000/12/26,28,5,0,128,5,1,N\A
1,2001/01/01,35,7,0,128,4,1,N\A
1,2001/01/09,32,4,0,136,7,1,N\A
1,2001/01/17,28,5,0,128,5,1,N\A
1,2001/01/25,28,5,0,128,6,1,N\A
1,2001/02/02,27,5,0,128,6,1,N\A
1,2001/02/10,27,5,0,128,6,1,N\A
1,2001/02/18,25,4,0,128,6,1,N\A
1,2001/02/26,22,4,0,128,8,2,N\A
1,2001/03/06,24,5,0,128,5,1,N\A
1,2001/03/14,21,4,0,128,5,1,N\A
1,2001/03/22,20,4,0,128,5,1,N\A
1,2001/03/30,21,4,0,128,5,1,N\A
1,2001/04/07,20,4,0,128,8,2,N\A
1,2001/04/15,20,4,8,160,5,1,N\A
1,2001/04/23,16,3,0,128,9,2,N\A
1,2001/05/09,16,3,0,128,10,2,N\A
1,2001/05/17,22,5,8,136,5,1,N\A
1,2001/05/25,29,7,8,192,6,2,N\A
1,2001/06/02,38,10,16,128,3,1,N\A
1,2001/06/10,38,10,8,136,4,1,N\A
1,2001/07/04,11,2,8,160,6,1,N\A
1,2001/07/12,41,10,105,160,248,248,N\A
1,2001/07/20,2,0,105,160,248,248,N\A
1,2001/07/28,33,8,105,160,248,248,N\A
1,2001/08/05,79,35,0,192,5,8,N\A
1,2001/08/13,25,5,105,160,248,248,N\A
1,2001/08/21,46,11,16,160,5,2,N\A
1,2001/08/29,69,21,0,136,5,3,N\A
1,2001/09/06,70,22,0,136,4,3,N\A
1,2001/09/14,72,24,0,128,5,4,N\A
1,2001/09/22,67,20,0,136,5,3,N\A
1,2001/09/30,72,24,0,192,5,4,N\A
1,2001/10/08,67,21,0,136,5,3,N\A
1,2001/10/16,60,15,0,136,3,2,N\A
1,2001/10/24,57,13,0,136,5,2,N\A
1,2001/11/01,47,10,0,128,5,2,N\A
1,2001/11/09,47,10,0,136,4,1,N\A
1,2001/11/17,45,9,0,128,4,1,N\A
1,2001/11/25,41,8,0,128,5,1,N\A
1,2001/12/03,38,7,0,128,5,1,N\A
1,2001/12/11,39,6,0,136,5,1,N\A
1,2001/12/19,41,6,0,128,0,0,N\A
1,2001/12/27,34,5,0,136,7,1,N\A
