1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
6,No Data
7,No Data
8,No Data
9,No Data
10,No Data
id,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
1,2000/03/05,15768,0,110,75,14666,0,225,52,247,248,239,251,N\A
1,2000/03/13,15855,0,108,58,14763,0,228,84,246,248,251,189,N\A
1,2000/03/21,15796,0,110,78,14721,0,227,72,246,248,191,122,N\A
1,2000/03/29,15791,0,107,42,14782,65,226,57,247,248,3,21,N\A
1,2000/04/06,15754,65,113,109,14703,65,221,16,247,248,137,137,N\A
1,2000/04/14,15627,65,110,81,14765,0,226,57,246,248,74,21,N\A
1,2000/04/22,15886,0,112,99,14755,0,221,5,247,248,33,33,N\A
1,2000/04/30,15822,65,107,41,14651,65,229,91,246,248,43,129,N\A
1,2000/05/08,15722,0,111,78,14645,65,228,82,247,248,48,112,N\A
1,2000/05/16,0,2,255,255,14750,0,222,21,247,248,0,80,N\A
1,2000/05/24,0,2,255,255,14657,0,227,71,247,248,0,48,N\A
1,2000/06/01,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/09,0,2,255,255,14521,0,222,20,247,248,0,32,N\A
1,2000/06/17,0,2,255,255,14539,65,230,106,247,248,0,160,N\A
1,2000/06/25,15208,65,111,93,0,2,255,255,246,248,1,0,N\A
1,2000/07/03,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/11,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/19,15234,65,108,51,14544,65,228,89,246,248,8,164,N\A
1,2000/07/27,0,2,255,255,14708,0,224,41,246,248,0,8,N\A
1,2000/08/04,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/12,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/20,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/28,0,2,255,255,14560,65,225,57,247,249,0,192,N\A
1,2000/09/05,15209,65,107,40,14634,0,227,72,246,248,40,53,N\A
1,2000/09/13,15230,0,110,81,0,2,255,255,246,248,5,0,N\A
1,2000/09/21,14988,65,109,67,0,2,255,255,246,249,10,0,N\A
1,2000/09/29,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/07,15089,65,110,80,0,2,255,255,246,249,2,0,N\A
1,2000/10/15,15049,65,111,93,0,2,255,255,246,248,1,0,N\A
1,2000/10/23,15096,0,107,47,14615,0,226,72,246,248,235,229,N\A
1,2000/10/31,15148,0,108,60,14605,0,227,72,246,248,226,120,N\A
1,2000/11/08,15129,0,108,56,14511,0,226,72,246,248,234,229,N\A
1,2000/11/16,15061,0,106,47,14478,0,222,20,246,248,3,32,N\A
1,2000/11/24,15192,0,106,40,14483,0,229,91,247,248,43,12,N\A
1,2000/12/02,15208,0,110,81,14466,0,225,60,246,248,248,250,N\A
1,2000/12/10,15225,0,108,58,14418,0,227,73,246,248,251,253,N\A
1,2000/12/18,15204,0,109,71,14390,0,224,49,247,248,255,249,N\A
1,2000/12/26,15080,0,104,15,14589,0,226,71,246,248,33,53,N\A
1,2001/01/01,15224,0,108,60,14511,0,225,53,247,248,250,233,N\A
1,2001/01/09,15320,0,109,77,14602,0,229,101,247,248,234,133,N\A
1,2001/01/17,15296,0,109,73,14473,0,224,51,246,248,215,239,N\A
1,2001/01/25,15457,0,108,56,14558,0,231,117,246,248,193,33,N\A
1,2001/02/02,15549,0,108,65,14641,0,224,52,247,248,254,239,N\A
1,2001/02/10,15581,0,107,55,14619,0,227,75,246,248,231,247,N\A
1,2001/02/18,15602,0,109,71,14732,0,225,58,247,248,255,238,N\A
1,2001/02/26,15727,0,107,58,14714,0,227,75,246,248,239,247,N\A
1,2001/03/06,15651,0,110,83,14699,0,224,51,246,248,231,239,N\A
1,2001/03/14,15754,0,107,49,14782,0,225,58,246,248,41,198,N\A
1,2001/03/22,15751,0,109,71,14799,0,224,51,246,248,255,239,N\A
1,2001/03/30,15775,0,106,44,14744,0,227,77,246,248,39,135,N\A
1,2001/04/07,15875,0,103,10,14527,65,231,121,247,248,2,64,N\A
1,2001/04/15,15466,65,109,80,0,2,255,255,246,248,8,0,N\A
1,2001/04/23,15678,65,108,66,14797,0,224,49,247,248,16,109,N\A
1,2001/05/01,15807,0,108,61,14814,0,226,71,247,248,3,147,N\A
1,2001/05/09,15659,65,109,71,14749,0,224,49,247,248,255,231,N\A
1,2001/05/17,15639,65,108,61,14646,65,226,73,246,248,3,151,N\A
1,2001/05/25,0,2,255,255,14694,65,223,44,246,248,0,168,N\A
1,2001/06/02,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/06/10,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/07/04,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/07/12,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/07/20,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/07/28,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/08/05,0,2,255,255,14629,65,226,85,246,248,0,4,N\A
1,2001/08/13,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/08/21,0,2,255,255,14619,65,228,107,247,248,0,1,N\A
1,2001/08/29,15256,65,106,52,14643,0,222,38,246,248,80,44,N\A
1,2001/09/06,15311,65,103,18,14732,0,226,84,247,248,1,4,N\A
