site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,14.889385,104.76996,28,7,601,2453
2,16.310529,99.870842,27,7,2808,1770
3,13.221547,99.8441,27,7,3454,3253
4,15.26056,100.154376,27,7,3178,2274
5,16.860409,99.783051,27,7,2637,1507
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2003/01/01,4232,2683,2116,1078,2660,585,2198,740,4208,2343,13,0,N\A
1,2003/01/17,3822,2418,2116,1186,2654,613,2407,793,3973,2271,29,0,N\A
1,2003/02/02,3441,2324,2116,1453,2978,706,2506,795,3605,2252,45,0,N\A
1,2003/02/18,5058,2477,34842,594,1810,414,1650,6245,2794,2294,55,3,N\A
1,2003/03/06,4194,2550,2257,1032,2523,547,2210,3322,2490,2114,75,1,N\A
1,2003/03/22,4704,3682,2066,1207,3352,804,2140,6256,3220,91,92,3,N\A
1,2003/04/07,4721,3475,2257,1227,3422,666,2813,688,2169,41,102,1,N\A
1,2003/04/23,5980,3304,35038,617,2453,302,1112,6229,943,1710,119,3,N\A
1,2003/05/09,5615,3580,34966,759,2703,491,1698,4314,1371,1574,130,3,N\A
1,2003/05/25,3940,2123,2116,912,2098,481,665,2030,2248,-326,159,0,N\A
1,2003/06/10,4135,2348,2190,936,2256,509,792,4258,2534,-295,161,3,N\A
1,2003/06/26,3710,2413,2066,1167,2544,704,664,5094,2796,-276,186,3,N\A
1,2003/07/12,4258,2129,3158,774,1922,412,384,4294,1715,1434,194,3,N\A
1,2003/07/28,7309,5837,35038,646,4156,400,935,6292,3078,-129,220,3,N\A
1,2003/08/13,7739,3541,2120,259,2033,142,481,5701,1315,1901,240,1,N\A
1,2003/08/29,6931,4443,3158,564,3112,288,773,4346,2609,16,241,3,N\A
1,2003/09/14,8389,4238,35878,221,2523,36,521,4255,1807,2095,258,3,N\A
1,2003/09/30,7223,3846,2116,404,2506,169,613,725,2657,330,278,0,N\A
1,2003/10/16,6401,3591,2116,554,2525,284,811,739,3181,2295,301,0,N\A
1,2003/11/01,5619,3104,2116,668,2382,345,901,2138,3310,2349,308,0,N\A
1,2003/11/17,4187,2325,2116,948,2314,442,1694,561,3887,569,326,0,N\A
1,2003/12/03,4616,2435,2120,786,2134,402,1410,4431,3894,2419,338,0,N\A
1,2003/12/19,3902,2250,2116,1032,2353,516,1856,946,4274,2336,365,0,N\A
2,2003/01/01,6305,4056,2185,704,3107,336,1245,1276,4442,507,11,1,N\A
2,2003/01/17,6079,3516,2185,631,2588,328,1110,206,4290,2327,18,1,N\A
2,2003/02/02,5459,3597,2116,880,2996,476,1811,2526,4142,419,36,0,N\A
2,2003/02/18,4185,2271,2185,891,2174,453,1659,2846,2976,2178,64,1,N\A
2,2003/03/06,4550,2574,2257,821,2192,507,2078,144,3120,2069,66,1,N\A
2,2003/03/22,3444,2197,2185,1283,2631,666,2546,2920,1972,1996,96,1,N\A
2,2003/04/07,3726,2296,2185,1214,2656,566,2301,3956,1673,1945,103,1,N\A
2,2003/04/23,4334,2500,34842,1030,2606,404,1834,5465,1157,1806,117,3,N\A
2,2003/05/09,4815,3630,34842,1173,3352,718,1494,5924,2691,-159,136,3,N\A
2,2003/05/25,5833,4172,3226,915,3477,482,1332,5300,2642,-251,159,3,N\A
2,2003/06/10,4891,4277,34838,1266,3690,949,1394,2936,1787,1448,176,3,N\A
2,2003/06/26,6123,5352,2066,880,3660,794,958,4797,1554,1445,190,3,N\A
2,2003/07/12,7239,6310,34842,743,4640,488,1023,5957,2956,-200,200,3,N\A
2,2003/07/28,6513,3975,35874,656,3107,217,1125,1554,1928,1650,217,3,N\A
2,2003/08/13,7013,5347,2066,601,3424,511,730,6481,1041,1787,227,3,N\A
2,2003/08/29,7849,6685,3226,584,4848,321,921,6444,3104,30,241,3,N\A
2,2003/09/14,7861,6169,35034,446,3725,415,638,3899,2032,2169,263,3,N\A
2,2003/09/30,7217,8638,34837,783,4846,1038,1123,1248,2908,419,283,1,N\A
2,2003/10/16,8134,5705,2261,373,3625,215,657,4787,3115,2413,302,1,N\A
2,2003/11/01,7516,5438,2185,512,3611,325,913,1176,3769,526,315,1,N\A
2,2003/11/17,7335,4892,2116,503,3273,285,820,1781,3974,2400,329,0,N\A
2,2003/12/03,6831,4350,2185,572,3039,306,844,395,4199,2360,338,1,N\A
2,2003/12/19,5975,3537,2185,660,2620,364,1074,3041,4281,2360,3,1,N\A
3,2003/01/01,3575,2167,2185,1148,2426,610,2214,679,4171,465,11,1,N\A
3,2003/01/17,3071,1560,2116,926,1747,553,2073,2039,4166,458,20,0,N\A
3,2003/02/02,2872,1273,2185,846,1528,429,1819,883,3747,2235,34,1,N\A
3,2003/02/18,2487,1181,2185,953,1584,526,1669,858,3358,2211,50,1,N\A
3,2003/03/06,4620,2500,2185,772,2098,463,868,3268,2971,187,77,1,N\A
3,2003/03/22,7534,5303,2116,504,3585,278,875,3240,2596,74,93,0,N\A
3,2003/04/07,7922,6828,2185,548,4727,362,1330,3277,2360,-51,109,1,N\A
3,2003/04/23,8171,6741,2185,466,4632,264,1075,3296,2288,-181,125,1,N\A
3,2003/05/09,8186,5697,3226,365,3661,185,634,5184,1404,1380,142,3,N\A
3,2003/05/25,5959,4369,2120,945,3733,460,1101,5043,2738,-313,159,1,N\A
3,2003/06/10,5186,3424,2186,963,3038,489,1324,912,2098,1434,162,3,N\A
3,2003/06/26,3740,1455,2116,604,1326,340,590,2238,2074,1411,185,0,N\A
3,2003/07/12,4318,1711,34842,540,1361,348,455,5766,1547,1356,197,3,N\A
3,2003/07/28,4419,2290,2066,759,1961,453,678,6292,3154,-214,209,3,N\A
3,2003/08/13,4430,3382,2066,846,2192,976,745,5122,1424,1791,238,3,N\A
3,2003/08/29,6192,3929,34842,684,2909,381,870,6292,3054,-25,241,3,N\A
3,2003/09/14,8456,7766,34842,415,4963,375,879,5104,2918,223,271,3,N\A
3,2003/09/30,8082,4443,2185,279,2631,143,478,652,2665,351,283,1,N\A
3,2003/10/16,7701,3423,2185,255,1964,135,400,3387,2991,2358,304,1,N\A
3,2003/11/01,7785,3802,2185,270,2169,174,563,2257,3302,2356,313,1,N\A
3,2003/11/17,6825,4239,2185,525,2783,349,893,1921,3775,520,324,1,N\A
3,2003/12/03,3801,2170,2116,1045,2327,511,1454,426,4102,515,347,0,N\A
3,2003/12/19,3644,2068,2185,1028,2207,550,1907,435,4207,493,363,1,N\A
4,2003/01/01,6535,3246,2116,449,2143,239,719,685,4305,2342,2,0,N\A
4,2003/01/17,3801,1875,2185,857,1908,405,790,702,4183,2312,18,1,N\A
4,2003/02/02,5119,2953,2116,783,2426,429,1010,2104,4040,413,36,0,N\A
4,2003/02/18,7331,4604,2185,464,3013,261,797,3246,2875,2172,64,1,N\A
4,2003/03/06,6644,4056,2257,523,2594,396,929,630,3025,2121,66,1,N\A
4,2003/03/22,7358,5542,2116,552,3627,409,983,3324,2644,121,93,0,N\A
4,2003/04/07,6910,4846,2257,649,3553,329,1038,2122,2358,73,100,1,N\A
4,2003/04/23,7068,4399,34838,491,2859,313,1045,675,1865,1775,114,3,N\A
4,2003/05/09,6061,3705,2190,695,2834,343,1011,5085,1293,1448,142,3,N\A
4,2003/05/25,6290,4178,3226,711,3122,395,1112,5083,2645,-274,159,3,N\A
4,2003/06/10,7787,5763,34894,409,3288,434,853,3321,1807,1414,176,3,N\A
4,2003/06/26,7861,4755,35874,343,2865,222,689,2092,1964,1447,185,3,N\A
