site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,20.477082,106.07578,27,6,4499,4571
2,20.527173,106.479465,27,6,4664,4546
3,20.285576,105.824057,27,6,4445,4662
4,21.164632,105.980063,27,6,4239,4240
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2003/01/01,3736,1836,2185,838,1838,434,486,748,4657,2358,13,1,N\A
1,2003/01/17,2951,1521,2257,967,1777,569,458,2119,4497,2350,20,1,N\A
1,2003/02/02,1482,571,34837,974,1313,309,262,1985,4112,428,47,1,N\A
1,2003/02/18,5490,2829,2185,627,2154,323,621,2049,3627,385,63,1,N\A
1,2003/03/06,1969,3469,2066,2647,3945,2730,898,4993,3601,294,74,3,N\A
1,2003/03/22,8365,5786,2257,324,3641,167,642,802,2425,2071,93,1,N\A
1,2003/04/07,7495,5715,2257,556,3884,355,689,634,2294,197,102,1,N\A
1,2003/04/23,7441,4648,2185,442,3013,245,671,738,1743,1834,125,1,N\A
1,2003/05/09,7150,6188,34841,557,3353,720,807,4226,1274,1809,130,1,N\A
1,2003/05/25,3232,1553,34893,870,1701,473,953,838,1705,1594,157,1,N\A
1,2003/06/10,5429,2388,35038,463,1563,377,767,5039,1216,1524,169,3,N\A
1,2003/06/26,1022,467,2116,1199,1472,543,316,626,1978,-237,182,0,N\A
1,2003/07/12,2164,1207,2185,1151,1787,737,830,2073,1750,1647,196,1,N\A
1,2003/07/28,7375,5726,34841,546,3614,466,951,4239,2506,-85,209,1,N\A
1,2003/08/13,8561,6876,2185,347,4477,206,836,2077,2378,140,239,1,N\A
1,2003/08/29,8465,7849,35878,433,5209,346,919,5661,2955,130,243,3,N\A
1,2003/09/14,7851,6119,2261,508,4221,280,987,6175,3417,294,268,1,N\A
1,2003/09/30,8482,4932,2257,234,2851,132,697,671,3028,427,278,1,N\A
1,2003/10/16,4736,2502,2257,755,2114,409,1370,662,3493,499,294,1,N\A
1,2003/11/01,4002,2162,2185,923,2155,460,1564,848,4088,2426,317,1,N\A
1,2003/11/17,4761,2409,2116,707,1992,387,1484,2219,4211,2410,324,0,N\A
1,2003/12/03,4338,2367,2185,860,2178,456,1583,3415,4561,2425,347,1,N\A
1,2003/12/19,3765,1654,3298,799,1764,264,1301,5711,4485,2427,3,3,N\A
2,2003/01/01,3131,1246,2257,692,1323,376,240,1100,4645,2366,13,1,N\A
2,2003/01/17,1973,759,36070,797,1189,410,262,2431,4486,2339,20,3,N\A
2,2003/02/02,2632,1956,36074,1223,2097,1102,676,6486,4916,397,37,3,N\A
2,2003/02/18,6472,3100,2185,439,2050,226,631,1721,3605,384,63,1,N\A
2,2003/03/06,3248,3880,2062,2182,4282,1846,1667,2933,3414,333,72,3,N\A
